type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2882	2813	636	798	0.8192	0.779	0.7986	0
INS	2172	2103	529	576	0.8041	0.785	0.7944	0
DEL	710	710	107	222	0.869	0.7618	0.8119	0
Total	2694	2635	565	976	0.8266	0.7297	0.7751	36.3269
INS	1988	1929	461	750	0.8118	0.72	0.7631	36.3269
DEL	706	706	104	226	0.8716	0.7575	0.8106	36.3269
Total	2487	2434	493	1177	0.8346	0.6741	0.7458	63.0648
INS	1789	1736	397	943	0.8184	0.648	0.7233	63.0648
DEL	698	698	96	234	0.8791	0.7489	0.8088	63.0648
Total	2221	2170	415	1441	0.8426	0.6009	0.7015	87
INS	1554	1503	336	1176	0.8222	0.561	0.6669	87
DEL	667	667	79	265	0.8941	0.7157	0.795	87
Total	1936	1891	364	1720	0.8417	0.5237	0.6457	115
INS	1316	1272	297	1407	0.8159	0.4748	0.6003	115
DEL	620	619	67	313	0.9025	0.6642	0.7652	115
Total	1648	1606	305	2005	0.8438	0.4448	0.5825	144.975
INS	1093	1051	256	1628	0.8102	0.3923	0.5286	144.975
DEL	555	555	49	377	0.9189	0.5955	0.7227	144.975
Total	1373	1338	251	2273	0.8454	0.3705	0.5152	182.382
INS	884	849	216	1830	0.8036	0.3169	0.4545	182.382
DEL	489	489	35	443	0.9332	0.5247	0.6717	182.382
Total	1054	1025	182	2586	0.8528	0.2839	0.426	235
INS	669	640	161	2039	0.806	0.2389	0.3686	235
DEL	385	385	21	547	0.9483	0.4131	0.5755	235
Total	732	712	119	2899	0.8602	0.1972	0.3208	308
INS	476	456	111	2223	0.8109	0.1702	0.2813	308
DEL	256	256	8	676	0.9697	0.2747	0.4281	308
Total	424	419	55	3192	0.8852	0.116	0.2051	435.601
INS	285	280	53	2399	0.8432	0.1045	0.186	435.601
DEL	139	139	2	793	0.9858	0.1491	0.259	435.601
Total	0	0	0	3611	NA	0	NA	14144.4
INS	0	0	0	2679	NA	0	NA	14144.4
DEL	0	0	0	932	NA	0	NA	14144.4
