type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	3233	3125	288	490	0.9182	0.8645	0.8905	0
INS	2416	2308	285	371	0.8945	0.8615	0.8777	0
DEL	817	817	3	119	0.9963	0.8729	0.9305	0
Total	3000	2904	262	711	0.9197	0.8033	0.8576	36.33007
INS	2190	2094	259	585	0.8942	0.7816	0.8341	36.33007
DEL	810	810	3	126	0.9963	0.8654	0.9262	36.33007
Total	2748	2663	235	952	0.9212	0.7367	0.8187	63.00482
INS	1954	1869	232	810	0.8939	0.6976	0.7836	63.00482
DEL	794	794	3	142	0.9962	0.8483	0.9163	63.00482
Total	2444	2362	195	1253	0.9261	0.6534	0.7662	87
INS	1697	1615	193	1064	0.8979	0.6028	0.7213	87
DEL	747	747	2	189	0.9973	0.7981	0.8866	87
Total	2136	2064	166	1551	0.9279	0.571	0.707	115
INS	1449	1377	164	1302	0.8983	0.514	0.6539	115
DEL	687	687	2	249	0.9971	0.734	0.8456	115
Total	1815	1749	142	1866	0.9274	0.4838	0.6359	144.898
INS	1210	1144	140	1535	0.8963	0.427	0.5784	144.898
DEL	605	605	2	331	0.9967	0.6464	0.7842	144.898
Total	1508	1451	119	2164	0.9269	0.4014	0.5602	182.3336
INS	983	926	118	1753	0.8928	0.3457	0.4984	182.3336
DEL	525	525	1	411	0.9981	0.5609	0.7182	182.3336
Total	1161	1116	77	2499	0.9378	0.3087	0.4645	234.9293
INS	753	708	77	1971	0.9072	0.2643	0.4093	234.9293
DEL	408	408	0	528	1	0.4359	0.6071	234.9293
Total	799	767	52	2848	0.9389	0.2122	0.3462	308
INS	535	503	52	2176	0.9114	0.1878	0.3114	308
DEL	264	264	0	672	1	0.2821	0.4401	308
Total	452	442	27	3173	0.9436	0.1223	0.2165	435.3283
INS	311	301	27	2378	0.9201	0.1124	0.2003	435.3283
DEL	141	141	0	795	1	0.1506	0.2618	435.3283
Total	0	0	0	3615	NA	0	NA	14144.4
INS	0	0	0	2679	NA	0	NA	14144.4
DEL	0	0	0	936	NA	0	NA	14144.4
