type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	7420	7420	3601	5083	0.6733	0.5935	0.6309	0
INS	4803	4802	2416	2464	0.6653	0.6609	0.6631	0
DEL	2617	2618	1185	2619	0.6883	0.4999	0.5792	0
Total	6888	6889	3031	5614	0.6944	0.551	0.6144	36.3269
INS	4384	4384	2006	2882	0.6861	0.6034	0.6421	36.3269
DEL	2504	2505	1025	2732	0.7095	0.4783	0.5714	36.3269
Total	6280	6280	2537	6223	0.7123	0.5023	0.5891	63.0648
INS	3949	3948	1678	3318	0.7018	0.5434	0.6125	63.0648
DEL	2331	2332	859	2905	0.7307	0.4453	0.5534	63.0648
Total	5634	5633	2089	6870	0.7295	0.4505	0.557	87
INS	3493	3492	1395	3774	0.7146	0.4806	0.5747	87
DEL	2141	2141	694	3096	0.7552	0.4088	0.5305	87
Total	4912	4911	1703	7592	0.7426	0.3928	0.5138	115
INS	3006	3005	1169	4261	0.72	0.4136	0.5254	115
DEL	1906	1906	534	3331	0.7811	0.3639	0.4965	115
Total	4198	4197	1313	8306	0.7617	0.3357	0.466	144.975
INS	2544	2543	946	4723	0.7289	0.35	0.4729	144.975
DEL	1654	1654	367	3583	0.8184	0.3158	0.4557	144.975
Total	3435	3435	973	9068	0.7793	0.2747	0.4062	182.382
INS	2078	2078	747	5188	0.7356	0.286	0.4119	182.382
DEL	1357	1357	226	3880	0.8572	0.2591	0.3979	182.382
Total	2631	2630	676	9873	0.7956	0.2103	0.3327	235
INS	1600	1599	548	5667	0.7449	0.2201	0.3398	235
DEL	1031	1031	128	4206	0.8896	0.1969	0.3224	235
Total	1801	1801	414	10702	0.8131	0.144	0.2447	308
INS	1137	1137	353	6129	0.7631	0.1565	0.2597	308
DEL	664	664	61	4573	0.9159	0.1268	0.2228	308
Total	922	922	181	11581	0.8359	0.0737	0.1355	435.601
INS	607	607	163	6659	0.7883	0.0835	0.151	435.601
DEL	315	315	18	4922	0.9459	0.0601	0.113	435.601
Total	0	0	1	12503	0	0	NA	14144.4
INS	0	0	1	7266	0	0	NA	14144.4
DEL	0	0	0	5237	NA	0	NA	14144.4
