type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9423	9415	1369	3085	0.8731	0.7532	0.8087	0
INS	5796	5789	1192	1467	0.8294	0.7978	0.8133	0
DEL	3627	3626	177	1618	0.9535	0.6915	0.8016	0
Total	8562	8556	1150	3944	0.8816	0.6845	0.7706	39.43116
INS	5205	5200	1007	2056	0.8379	0.7166	0.7725	39.43116
DEL	3357	3356	143	1888	0.9591	0.64	0.7677	39.43116
Total	7690	7685	955	4815	0.8895	0.6148	0.7271	67
INS	4631	4627	853	2629	0.8445	0.6377	0.7267	67
DEL	3059	3058	102	2186	0.9677	0.5831	0.7277	67
Total	6788	6784	766	5716	0.8986	0.5427	0.6767	90.62999
INS	4060	4057	699	3199	0.8531	0.5591	0.6755	90.62999
DEL	2728	2727	67	2517	0.976	0.52	0.6785	90.62999
Total	5885	5883	614	6617	0.9055	0.4706	0.6193	118
INS	3521	3519	563	3737	0.8621	0.485	0.6208	118
DEL	2364	2364	51	2880	0.9789	0.4508	0.6173	118
Total	4920	4919	476	7581	0.9118	0.3935	0.5497	147.993
INS	2958	2957	449	4299	0.8682	0.4075	0.5547	147.993
DEL	1962	1962	27	3282	0.9864	0.3741	0.5425	147.993
Total	3957	3957	363	8543	0.916	0.3166	0.4706	186
INS	2417	2417	348	4839	0.8741	0.3331	0.4824	186
DEL	1540	1540	15	3704	0.9904	0.2937	0.453	186
Total	2980	2980	258	9520	0.9203	0.2384	0.3787	237.4741
INS	1852	1852	251	5404	0.8806	0.2552	0.3957	237.4741
DEL	1128	1128	7	4116	0.9938	0.2151	0.3537	237.4741
Total	1999	1999	161	10501	0.9255	0.1599	0.2727	312
INS	1293	1293	158	5963	0.8911	0.1782	0.297	312
DEL	706	706	3	4538	0.9958	0.1346	0.2371	312
Total	1011	1011	69	11489	0.9361	0.0809	0.1489	440.3213
INS	688	688	67	6568	0.9113	0.0948	0.1717	440.3213
DEL	323	323	2	4921	0.9938	0.0616	0.116	440.3213
Total	1	1	0	12499	1	1e-04	2e-04	14262.2
INS	1	1	0	7255	1	1e-04	2e-04	14262.2
DEL	0	0	0	5244	NA	0	NA	14262.2
