type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	7234	7233	1959	5270	0.7869	0.5785	0.6668	0
INS	3933	3932	1367	3334	0.7421	0.5412	0.6259	0
DEL	3301	3301	592	1936	0.8479	0.6303	0.7231	0
Total	7234	7233	1959	5270	0.7869	0.5785	0.6668	2
INS	3933	3932	1367	3334	0.7421	0.5412	0.6259	2
DEL	3301	3301	592	1936	0.8479	0.6303	0.7231	2
Total	7233	7232	1956	5271	0.7871	0.5784	0.6668	3
INS	3933	3932	1366	3334	0.7422	0.5412	0.626	3
DEL	3300	3300	590	1937	0.8483	0.6301	0.7231	3
Total	7223	7222	1918	5281	0.7902	0.5776	0.6674	4
INS	3930	3929	1336	3337	0.7463	0.5407	0.6271	4
DEL	3293	3293	582	1944	0.8498	0.6288	0.7228	4
Total	7168	7167	1806	5336	0.7988	0.5732	0.6675	5
INS	3897	3896	1251	3370	0.757	0.5362	0.6278	5
DEL	3271	3271	555	1966	0.8549	0.6246	0.7218	5
Total	7063	7062	1707	5441	0.8054	0.5648	0.664	7
INS	3855	3854	1189	3412	0.7643	0.5304	0.6262	7
DEL	3208	3208	518	2029	0.861	0.6126	0.7159	7
Total	6927	6926	1592	5577	0.8131	0.5539	0.6589	10
INS	3778	3777	1111	3489	0.7728	0.5198	0.6215	10
DEL	3149	3149	481	2088	0.8675	0.6013	0.7103	10
Total	6832	6831	1553	5672	0.8148	0.5463	0.6541	12
INS	3725	3724	1084	3542	0.7746	0.5125	0.6169	12
DEL	3107	3107	469	2130	0.8688	0.5933	0.7051	12
Total	6832	6831	1551	5672	0.815	0.5463	0.6541	14
INS	3725	3724	1082	3542	0.7749	0.5125	0.617	14
DEL	3107	3107	469	2130	0.8688	0.5933	0.7051	14
Total	6798	6797	1524	5706	0.8169	0.5436	0.6528	21
INS	3709	3708	1064	3558	0.7771	0.5103	0.6161	21
DEL	3089	3089	460	2148	0.8704	0.5898	0.7031	21
Total	6798	6797	1523	5706	0.817	0.5436	0.6528	27
INS	3709	3708	1064	3558	0.7771	0.5103	0.6161	27
DEL	3089	3089	459	2148	0.8706	0.5898	0.7032	27
Total	6798	6797	1523	5706	0.817	0.5436	0.6528	35
INS	3709	3708	1064	3558	0.7771	0.5103	0.6161	35
DEL	3089	3089	459	2148	0.8706	0.5898	0.7032	35
Total	6798	6797	1523	5706	0.817	0.5436	0.6528	45
INS	3709	3708	1064	3558	0.7771	0.5103	0.6161	45
DEL	3089	3089	459	2148	0.8706	0.5898	0.7032	45
Total	6798	6797	1523	5706	0.817	0.5436	0.6528	50
INS	3709	3708	1064	3558	0.7771	0.5103	0.6161	50
DEL	3089	3089	459	2148	0.8706	0.5898	0.7032	50
Total	6798	6797	1523	5706	0.817	0.5436	0.6528	60
INS	3709	3708	1064	3558	0.7771	0.5103	0.6161	60
DEL	3089	3089	459	2148	0.8706	0.5898	0.7032	60
Total	6798	6797	1523	5706	0.817	0.5436	0.6528	75
INS	3709	3708	1064	3558	0.7771	0.5103	0.6161	75
DEL	3089	3089	459	2148	0.8706	0.5898	0.7032	75
Total	6798	6797	1523	5706	0.817	0.5436	0.6528	90
INS	3709	3708	1064	3558	0.7771	0.5103	0.6161	90
DEL	3089	3089	459	2148	0.8706	0.5898	0.7032	90
Total	6798	6797	1523	5706	0.817	0.5436	0.6528	99
INS	3709	3708	1064	3558	0.7771	0.5103	0.6161	99
DEL	3089	3089	459	2148	0.8706	0.5898	0.7032	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
