type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2730	2671	203	944	0.9308	0.7389	0.8238	0
INS	1947	1888	191	791	0.9107	0.7047	0.7946	0
DEL	783	783	12	153	0.9849	0.8365	0.9047	0
Total	2730	2671	203	944	0.9308	0.7389	0.8238	2
INS	1947	1888	191	791	0.9107	0.7047	0.7946	2
DEL	783	783	12	153	0.9849	0.8365	0.9047	2
Total	2730	2671	203	944	0.9308	0.7389	0.8238	3
INS	1947	1888	191	791	0.9107	0.7047	0.7946	3
DEL	783	783	12	153	0.9849	0.8365	0.9047	3
Total	2729	2670	200	945	0.9317	0.7386	0.824	4
INS	1947	1888	188	791	0.9119	0.7047	0.795	4
DEL	782	782	12	154	0.9849	0.8355	0.9041	4
Total	2719	2662	189	953	0.935	0.7364	0.8239	5
INS	1942	1885	178	794	0.916	0.7036	0.7959	5
DEL	777	777	11	159	0.986	0.8301	0.9014	5
Total	2692	2636	180	979	0.9373	0.7292	0.8203	7
INS	1932	1876	171	803	0.9187	0.7003	0.7948	7
DEL	760	760	9	176	0.9883	0.812	0.8915	7
Total	2649	2596	174	1019	0.9384	0.7181	0.8136	10
INS	1905	1852	166	827	0.9198	0.6913	0.7893	10
DEL	744	744	8	192	0.9894	0.7949	0.8815	10
Total	2618	2565	169	1050	0.9394	0.7095	0.8084	12
INS	1880	1827	161	852	0.9211	0.682	0.7837	12
DEL	738	738	8	198	0.9893	0.7885	0.8776	12
Total	2617	2564	169	1051	0.9393	0.7093	0.8083	14
INS	1879	1826	161	853	0.9211	0.6816	0.7835	14
DEL	738	738	8	198	0.9893	0.7885	0.8776	14
Total	2607	2554	168	1061	0.9395	0.7065	0.8065	21
INS	1870	1817	160	862	0.9212	0.6782	0.7812	21
DEL	737	737	8	199	0.9893	0.7874	0.8769	21
Total	2607	2554	168	1061	0.9395	0.7065	0.8065	27
INS	1870	1817	160	862	0.9212	0.6782	0.7812	27
DEL	737	737	8	199	0.9893	0.7874	0.8769	27
Total	2607	2554	168	1061	0.9395	0.7065	0.8065	35
INS	1870	1817	160	862	0.9212	0.6782	0.7812	35
DEL	737	737	8	199	0.9893	0.7874	0.8769	35
Total	2607	2554	168	1061	0.9395	0.7065	0.8065	45
INS	1870	1817	160	862	0.9212	0.6782	0.7812	45
DEL	737	737	8	199	0.9893	0.7874	0.8769	45
Total	2607	2554	168	1061	0.9395	0.7065	0.8065	50
INS	1870	1817	160	862	0.9212	0.6782	0.7812	50
DEL	737	737	8	199	0.9893	0.7874	0.8769	50
Total	2607	2554	168	1061	0.9395	0.7065	0.8065	60
INS	1870	1817	160	862	0.9212	0.6782	0.7812	60
DEL	737	737	8	199	0.9893	0.7874	0.8769	60
Total	2607	2554	168	1061	0.9395	0.7065	0.8065	75
INS	1870	1817	160	862	0.9212	0.6782	0.7812	75
DEL	737	737	8	199	0.9893	0.7874	0.8769	75
Total	2607	2554	168	1061	0.9395	0.7065	0.8065	90
INS	1870	1817	160	862	0.9212	0.6782	0.7812	90
DEL	737	737	8	199	0.9893	0.7874	0.8769	90
Total	2607	2554	168	1061	0.9395	0.7065	0.8065	99
INS	1870	1817	160	862	0.9212	0.6782	0.7812	99
DEL	737	737	8	199	0.9893	0.7874	0.8769	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
