type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2637	2592	292	1019	0.9003	0.7178	0.7988	0
INS	1869	1824	269	855	0.8742	0.6809	0.7655	0
DEL	768	768	23	164	0.9709	0.824	0.8914	0
Total	2637	2592	292	1019	0.9003	0.7178	0.7988	2
INS	1869	1824	269	855	0.8742	0.6809	0.7655	2
DEL	768	768	23	164	0.9709	0.824	0.8914	2
Total	2637	2592	292	1019	0.9003	0.7178	0.7988	3
INS	1869	1824	269	855	0.8742	0.6809	0.7655	3
DEL	768	768	23	164	0.9709	0.824	0.8914	3
Total	2636	2591	289	1020	0.9012	0.7175	0.7989	4
INS	1869	1824	266	855	0.8754	0.6809	0.766	4
DEL	767	767	23	165	0.9709	0.823	0.8909	4
Total	2628	2584	276	1027	0.905	0.7156	0.7992	5
INS	1865	1821	255	858	0.8797	0.6797	0.7669	5
DEL	763	763	21	169	0.9732	0.8187	0.8893	5
Total	2604	2560	264	1051	0.9079	0.7089	0.7962	7
INS	1858	1814	245	865	0.8835	0.6771	0.7667	7
DEL	746	746	19	186	0.9752	0.8004	0.8792	7
Total	2563	2522	256	1089	0.9092	0.6984	0.79	10
INS	1833	1792	238	887	0.8851	0.6689	0.762	10
DEL	730	730	18	202	0.9759	0.7833	0.8691	10
Total	2532	2491	251	1120	0.9098	0.6898	0.7847	12
INS	1808	1767	233	912	0.8858	0.6596	0.7561	12
DEL	724	724	18	208	0.9757	0.7768	0.865	12
Total	2532	2491	250	1120	0.9101	0.6898	0.7848	14
INS	1808	1767	232	912	0.8863	0.6596	0.7563	14
DEL	724	724	18	208	0.9757	0.7768	0.865	14
Total	2524	2483	247	1128	0.9109	0.6876	0.7837	21
INS	1801	1760	229	919	0.8872	0.657	0.7549	21
DEL	723	723	18	209	0.9757	0.7758	0.8643	21
Total	2524	2483	247	1128	0.9109	0.6876	0.7837	27
INS	1801	1760	229	919	0.8872	0.657	0.7549	27
DEL	723	723	18	209	0.9757	0.7758	0.8643	27
Total	2524	2483	247	1128	0.9109	0.6876	0.7837	35
INS	1801	1760	229	919	0.8872	0.657	0.7549	35
DEL	723	723	18	209	0.9757	0.7758	0.8643	35
Total	2524	2483	247	1128	0.9109	0.6876	0.7837	45
INS	1801	1760	229	919	0.8872	0.657	0.7549	45
DEL	723	723	18	209	0.9757	0.7758	0.8643	45
Total	2524	2483	247	1128	0.9109	0.6876	0.7837	50
INS	1801	1760	229	919	0.8872	0.657	0.7549	50
DEL	723	723	18	209	0.9757	0.7758	0.8643	50
Total	2524	2483	247	1128	0.9109	0.6876	0.7837	60
INS	1801	1760	229	919	0.8872	0.657	0.7549	60
DEL	723	723	18	209	0.9757	0.7758	0.8643	60
Total	2524	2483	247	1128	0.9109	0.6876	0.7837	75
INS	1801	1760	229	919	0.8872	0.657	0.7549	75
DEL	723	723	18	209	0.9757	0.7758	0.8643	75
Total	2524	2483	247	1128	0.9109	0.6876	0.7837	90
INS	1801	1760	229	919	0.8872	0.657	0.7549	90
DEL	723	723	18	209	0.9757	0.7758	0.8643	90
Total	2524	2483	247	1128	0.9109	0.6876	0.7837	99
INS	1801	1760	229	919	0.8872	0.657	0.7549	99
DEL	723	723	18	209	0.9757	0.7758	0.8643	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
