type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9610	9597	1422	2912	0.8711	0.7672	0.8159	0
INS	5981	5969	1245	1297	0.8277	0.8215	0.8246	0
DEL	3629	3628	177	1615	0.9535	0.692	0.802	0
Total	9557	9544	1400	2965	0.8722	0.763	0.814	2
INS	5934	5922	1223	1344	0.8291	0.815	0.822	2
DEL	3623	3622	177	1621	0.9534	0.6908	0.8011	2
Total	9546	9533	1396	2976	0.8724	0.7621	0.8135	3
INS	5927	5915	1220	1351	0.8293	0.8141	0.8216	3
DEL	3619	3618	176	1625	0.9536	0.6901	0.8007	3
Total	9538	9525	1390	2984	0.8728	0.7615	0.8134	4
INS	5922	5910	1214	1356	0.8299	0.8134	0.8216	4
DEL	3616	3615	176	1628	0.9536	0.6895	0.8003	4
Total	9525	9512	1390	2997	0.8727	0.7604	0.8127	5
INS	5913	5901	1214	1365	0.8297	0.8121	0.8208	5
DEL	3612	3611	176	1632	0.9535	0.6887	0.7998	5
Total	9502	9489	1384	3020	0.8729	0.7586	0.8117	7
INS	5897	5885	1209	1381	0.8299	0.8099	0.8198	7
DEL	3605	3604	175	1639	0.9537	0.6874	0.7989	7
Total	9457	9444	1371	3065	0.8734	0.755	0.8099	10
INS	5870	5858	1197	1408	0.8306	0.8062	0.8182	10
DEL	3587	3586	174	1657	0.9537	0.684	0.7966	10
Total	9407	9394	1361	3115	0.8736	0.751	0.8077	12
INS	5830	5818	1187	1448	0.8308	0.8007	0.8155	12
DEL	3577	3576	174	1667	0.9536	0.6821	0.7953	12
Total	9370	9357	1349	3152	0.8741	0.748	0.8061	14
INS	5798	5786	1178	1480	0.8311	0.7963	0.8133	14
DEL	3572	3571	171	1672	0.9543	0.6811	0.7949	14
Total	9252	9240	1301	3269	0.8767	0.7387	0.8018	21
INS	5707	5696	1140	1570	0.8335	0.7839	0.8079	21
DEL	3545	3544	161	1699	0.9566	0.6759	0.7921	21
Total	9067	9055	1260	3454	0.878	0.7239	0.7935	27
INS	5584	5573	1105	1693	0.8348	0.767	0.7995	27
DEL	3483	3482	155	1761	0.9574	0.6641	0.7842	27
Total	8826	8815	1201	3694	0.8802	0.7047	0.7827	35
INS	5407	5397	1054	1869	0.8369	0.7428	0.787	35
DEL	3419	3418	147	1825	0.9588	0.6519	0.7761	35
Total	8382	8373	1112	4136	0.8829	0.6694	0.7615	45
INS	5124	5116	986	2150	0.8386	0.7041	0.7655	45
DEL	3258	3257	126	1986	0.9628	0.6212	0.7552	45
Total	8235	8226	1073	4283	0.8847	0.6576	0.7544	50
INS	5026	5018	955	2248	0.8403	0.6906	0.7581	50
DEL	3209	3208	118	2035	0.9645	0.6119	0.7488	50
Total	7952	7943	1012	4566	0.8871	0.635	0.7402	60
INS	4824	4816	900	2450	0.8428	0.6628	0.742	60
DEL	3128	3127	112	2116	0.9654	0.5964	0.7373	60
Total	7462	7454	891	5055	0.8933	0.5959	0.7149	75
INS	4496	4489	804	2777	0.8483	0.6178	0.7149	75
DEL	2966	2965	87	2278	0.9715	0.5655	0.7149	75
Total	6835	6827	778	5682	0.8978	0.5458	0.6789	90
INS	4101	4094	711	3172	0.8522	0.5634	0.6783	90
DEL	2734	2733	67	2510	0.9761	0.5213	0.6796	90
Total	6517	6510	734	5999	0.8988	0.5204	0.6592	99
INS	3906	3900	669	3366	0.8538	0.5367	0.6591	99
DEL	2611	2610	65	2633	0.9757	0.4978	0.6593	99
Total	6168	6161	667	6348	0.9024	0.4925	0.6372	110
INS	3688	3682	612	3584	0.8577	0.5067	0.6371	110
DEL	2480	2479	55	2764	0.9783	0.4728	0.6375	110
Total	5384	5380	554	7129	0.9067	0.4301	0.5834	133
INS	3228	3224	512	4042	0.8631	0.4437	0.5861	133
DEL	2156	2156	42	3087	0.9809	0.4112	0.5795	133
Total	4383	4379	408	8130	0.9148	0.3501	0.5064	167
INS	2663	2659	390	4607	0.8723	0.366	0.5156	167
DEL	1720	1720	18	3523	0.9896	0.3281	0.4928	167
Total	4107	4105	380	8404	0.9153	0.3282	0.4832	180
INS	2501	2499	364	4767	0.8729	0.3439	0.4934	180
DEL	1606	1606	16	3637	0.9901	0.3063	0.4679	180
Total	2788	2786	230	9723	0.9238	0.2227	0.3589	250
INS	1739	1737	223	5529	0.8863	0.2391	0.3766	250
DEL	1049	1049	7	4194	0.9934	0.2001	0.3331	250
Total	1626	1624	131	10885	0.9254	0.1298	0.2277	350
INS	1070	1068	128	6198	0.8932	0.147	0.2525	350
DEL	556	556	3	4687	0.9946	0.106	0.1916	350
Total	966	965	67	11544	0.9351	0.0771	0.1425	450
INS	656	655	65	6611	0.9098	0.0901	0.164	450
DEL	310	310	2	4933	0.9936	0.0591	0.1116	450
Total	517	517	41	11992	0.9265	0.0413	0.0791	550
INS	376	376	40	6890	0.9038	0.0517	0.0978	550
DEL	141	141	1	5102	0.993	0.0269	0.0524	550
Total	259	259	31	12250	0.8931	0.0207	0.0405	650
INS	200	200	31	7066	0.8658	0.0275	0.0533	650
DEL	59	59	0	5184	1	0.0113	0.0223	650
