type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	7420	7420	3601	5083	0.6733	0.5935	0.6309	0
INS	4803	4802	2416	2464	0.6653	0.6609	0.6631	0
DEL	2617	2618	1185	2619	0.6883	0.4999	0.5792	0
Total	7390	7390	3556	5113	0.6751	0.5911	0.6303	2
INS	4776	4775	2374	2491	0.668	0.6572	0.6626	2
DEL	2614	2615	1182	2622	0.6886	0.4993	0.5789	2
Total	7381	7381	3550	5122	0.6752	0.5903	0.6299	3
INS	4769	4768	2371	2498	0.6679	0.6562	0.662	3
DEL	2612	2613	1179	2624	0.689	0.4989	0.5787	3
Total	7376	7376	3541	5127	0.6756	0.5899	0.6298	4
INS	4765	4764	2364	2502	0.6684	0.6557	0.662	4
DEL	2611	2612	1177	2625	0.6893	0.4988	0.5788	4
Total	7367	7367	3537	5136	0.6756	0.5892	0.6294	5
INS	4759	4758	2361	2508	0.6684	0.6548	0.6615	5
DEL	2608	2609	1176	2628	0.6892	0.4982	0.5783	5
Total	7356	7356	3519	5147	0.6764	0.5883	0.6293	7
INS	4751	4750	2348	2516	0.6692	0.6537	0.6614	7
DEL	2605	2606	1171	2631	0.6899	0.4976	0.5782	7
Total	7328	7328	3489	5175	0.6775	0.5861	0.6285	10
INS	4732	4731	2328	2535	0.6703	0.6511	0.6606	10
DEL	2596	2597	1161	2640	0.691	0.4959	0.5774	10
Total	7295	7295	3462	5208	0.6782	0.5835	0.6273	12
INS	4704	4703	2306	2563	0.671	0.6473	0.6589	12
DEL	2591	2592	1156	2645	0.6915	0.4949	0.5769	12
Total	7273	7273	3435	5230	0.6792	0.5817	0.6267	14
INS	4683	4682	2286	2584	0.672	0.6444	0.6579	14
DEL	2590	2591	1149	2646	0.6927	0.4947	0.5772	14
Total	7195	7196	3347	5307	0.6825	0.5755	0.6244	21
INS	4617	4617	2223	2649	0.675	0.6354	0.6546	21
DEL	2578	2579	1124	2658	0.6964	0.4925	0.577	21
Total	7085	7086	3231	5417	0.6868	0.5667	0.621	27
INS	4532	4532	2150	2734	0.6782	0.6237	0.6498	27
DEL	2553	2554	1081	2683	0.7025	0.4877	0.5757	27
Total	6940	6941	3076	5562	0.6929	0.5551	0.6164	35
INS	4413	4413	2041	2853	0.6838	0.6073	0.6433	35
DEL	2527	2528	1035	2709	0.7094	0.4827	0.5745	35
Total	6663	6664	2823	5839	0.7024	0.533	0.6061	45
INS	4236	4236	1870	3030	0.6937	0.583	0.6336	45
DEL	2427	2428	953	2809	0.718	0.4636	0.5634	45
Total	6556	6557	2745	5946	0.7049	0.5244	0.6014	50
INS	4160	4160	1818	3106	0.6959	0.5725	0.6282	50
DEL	2396	2397	927	2840	0.721	0.4577	0.5599	50
Total	6359	6359	2598	6144	0.7099	0.5086	0.5926	60
INS	4007	4006	1713	3260	0.7005	0.5513	0.617	60
DEL	2352	2353	885	2884	0.7266	0.4493	0.5553	60
Total	6017	6016	2328	6487	0.721	0.4812	0.5772	75
INS	3755	3754	1541	3512	0.709	0.5167	0.5978	75
DEL	2262	2262	787	2975	0.7419	0.4319	0.546	75
Total	5557	5556	2049	6947	0.7306	0.4444	0.5526	90
INS	3434	3433	1375	3833	0.7141	0.4725	0.5687	90
DEL	2123	2123	674	3114	0.759	0.4054	0.5285	90
Total	5315	5314	1931	7189	0.7335	0.425	0.5382	99
INS	3272	3271	1300	3995	0.7157	0.4502	0.5527	99
DEL	2043	2043	631	3194	0.764	0.3901	0.5165	99
Total	5046	5045	1784	7458	0.7388	0.4035	0.5219	110
INS	3083	3082	1214	4184	0.7175	0.4242	0.5332	110
DEL	1963	1963	570	3274	0.775	0.3748	0.5053	110
Total	4460	4458	1474	8045	0.7516	0.3566	0.4837	133
INS	2705	2703	1033	4563	0.7236	0.372	0.4914	133
DEL	1755	1755	441	3482	0.7992	0.3351	0.4722	133
Total	3705	3704	1084	8799	0.7736	0.2962	0.4284	167
INS	2241	2240	812	5026	0.734	0.3083	0.4342	167
DEL	1464	1464	272	3773	0.8433	0.2795	0.4198	167
Total	3494	3494	991	9009	0.779	0.2795	0.4114	180
INS	2106	2106	759	5160	0.7351	0.2898	0.4157	180
DEL	1388	1388	232	3849	0.8568	0.265	0.4048	180
Total	2414	2413	602	10090	0.8004	0.193	0.311	250
INS	1468	1467	494	5799	0.7482	0.2019	0.318	250
DEL	946	946	108	4291	0.8975	0.1806	0.3007	250
Total	1434	1433	323	11070	0.8162	0.1146	0.201	350
INS	922	921	276	6345	0.7696	0.1268	0.2177	350
DEL	512	512	47	4725	0.9159	0.0978	0.1767	350
Total	866	866	167	11637	0.8383	0.0693	0.128	450
INS	572	572	149	6694	0.7933	0.0787	0.1432	450
DEL	294	294	18	4943	0.9423	0.0561	0.1059	450
Total	463	463	95	12040	0.8297	0.037	0.0708	550
INS	326	326	90	6940	0.7837	0.0449	0.0849	550
DEL	137	137	5	5100	0.9648	0.0262	0.051	550
Total	229	229	61	12274	0.7897	0.0183	0.0358	650
INS	174	174	57	7092	0.7532	0.0239	0.0463	650
DEL	55	55	4	5182	0.9322	0.0105	0.0208	650
