type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	3233	3125	288	490	0.9182	0.8645	0.8905	0
INS	2416	2308	285	371	0.8945	0.8615	0.8777	0
DEL	817	817	3	119	0.9963	0.8729	0.9305	0
Total	3227	3121	283	494	0.9194	0.8633	0.8905	2
INS	2411	2305	280	374	0.8959	0.8604	0.8778	2
DEL	816	816	3	120	0.9963	0.8718	0.9299	2
Total	3227	3121	282	494	0.9196	0.8633	0.8906	3
INS	2411	2305	279	374	0.8963	0.8604	0.878	3
DEL	816	816	3	120	0.9963	0.8718	0.9299	3
Total	3226	3120	282	495	0.9196	0.8631	0.8905	4
INS	2410	2304	279	375	0.8962	0.86	0.8777	4
DEL	816	816	3	120	0.9963	0.8718	0.9299	4
Total	3225	3119	282	496	0.9196	0.8628	0.8903	5
INS	2409	2303	279	376	0.8962	0.8596	0.8775	5
DEL	816	816	3	120	0.9963	0.8718	0.9299	5
Total	3221	3115	281	500	0.9198	0.8617	0.8898	7
INS	2405	2299	278	380	0.8964	0.8582	0.8769	7
DEL	816	816	3	120	0.9963	0.8718	0.9299	7
Total	3210	3104	280	511	0.9198	0.8586	0.8881	10
INS	2395	2289	277	390	0.8963	0.8544	0.8748	10
DEL	815	815	3	121	0.9963	0.8707	0.9293	10
Total	3196	3090	279	525	0.9197	0.8548	0.8861	12
INS	2381	2275	276	404	0.8961	0.8492	0.872	12
DEL	815	815	3	121	0.9963	0.8707	0.9293	12
Total	3185	3080	277	535	0.92	0.852	0.8847	14
INS	2370	2265	274	414	0.8964	0.8455	0.8702	14
DEL	815	815	3	121	0.9963	0.8707	0.9293	14
Total	3142	3040	273	575	0.9201	0.8409	0.8787	21
INS	2327	2225	270	454	0.896	0.8305	0.862	21
DEL	815	815	3	121	0.9963	0.8707	0.9293	21
Total	3100	2998	269	617	0.9202	0.8293	0.8724	27
INS	2286	2184	266	495	0.8958	0.8152	0.8536	27
DEL	814	814	3	122	0.9963	0.8697	0.9287	27
Total	3022	2924	264	691	0.9197	0.8089	0.8607	35
INS	2212	2114	261	565	0.8945	0.7891	0.8385	35
DEL	810	810	3	126	0.9963	0.8654	0.9262	35
Total	2906	2813	252	802	0.9202	0.7781	0.8432	45
INS	2105	2012	249	667	0.8942	0.751	0.8164	45
DEL	801	801	3	135	0.9963	0.8558	0.9207	45
Total	2866	2776	247	839	0.9207	0.7679	0.8374	50
INS	2066	1976	244	703	0.8944	0.7376	0.8085	50
DEL	800	800	3	136	0.9963	0.8547	0.9201	50
Total	2781	2694	237	921	0.9215	0.7452	0.824	60
INS	1985	1898	234	781	0.8945	0.7085	0.7907	60
DEL	796	796	3	140	0.9962	0.8504	0.9175	60
Total	2624	2541	212	1074	0.9252	0.7029	0.7989	75
INS	1843	1760	210	919	0.8977	0.657	0.7587	75
DEL	781	781	2	155	0.9974	0.8344	0.9086	75
Total	2412	2332	192	1283	0.9263	0.6451	0.7605	90
INS	1668	1588	190	1091	0.8977	0.5928	0.7141	90
DEL	744	744	2	192	0.9973	0.7949	0.8847	90
Total	2316	2238	187	1377	0.9253	0.6191	0.7418	99
INS	1592	1514	185	1165	0.8959	0.5651	0.6931	99
DEL	724	724	2	212	0.9972	0.7735	0.8712	99
Total	2195	2121	173	1494	0.9269	0.5867	0.7186	110
INS	1492	1418	171	1261	0.8972	0.5293	0.6658	110
DEL	703	703	2	233	0.9972	0.7511	0.8568	110
Total	1923	1854	152	1761	0.9267	0.5129	0.6603	133
INS	1278	1209	150	1470	0.895	0.4513	0.6	133
DEL	645	645	2	291	0.9969	0.6891	0.8149	133
Total	1618	1559	127	2056	0.9272	0.4313	0.5887	167
INS	1058	999	126	1680	0.8936	0.3729	0.5262	167
DEL	560	560	1	376	0.9982	0.5983	0.7482	167
Total	1531	1473	120	2142	0.9273	0.4075	0.5662	180
INS	999	941	119	1738	0.8936	0.3513	0.5043	180
DEL	532	532	1	404	0.9981	0.5684	0.7243	180
Total	1074	1034	68	2581	0.9405	0.286	0.4386	250
INS	696	656	68	2023	0.911	0.2449	0.386	250
DEL	378	378	0	558	1	0.4038	0.5753	250
Total	657	634	42	2981	0.9399	0.1754	0.2956	350
INS	449	426	42	2253	0.9145	0.159	0.2709	350
DEL	208	208	0	728	1	0.2222	0.3636	350
Total	429	420	25	3195	0.9449	0.1162	0.207	450
INS	297	288	25	2391	0.9224	0.1075	0.1926	450
DEL	132	132	0	804	1	0.141	0.2472	450
Total	264	257	14	3358	0.9496	0.0711	0.1323	550
INS	197	190	14	2489	0.9336	0.0709	0.1318	550
DEL	67	67	0	869	1	0.0716	0.1336	550
Total	151	149	11	3466	0.9321	0.0412	0.0789	650
INS	115	113	11	2566	0.9127	0.0422	0.0807	650
DEL	36	36	0	900	1	0.0385	0.0741	650
