type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2882	2813	636	798	0.8192	0.779	0.7986	0
INS	2172	2103	529	576	0.8041	0.785	0.7944	0
DEL	710	710	107	222	0.869	0.7618	0.8119	0
Total	2878	2810	629	801	0.8206	0.7782	0.7988	2
INS	2169	2101	522	578	0.806	0.7842	0.795	2
DEL	709	709	107	223	0.8689	0.7607	0.8112	2
Total	2878	2810	628	801	0.8209	0.7782	0.799	3
INS	2169	2101	521	578	0.8063	0.7842	0.7951	3
DEL	709	709	107	223	0.8689	0.7607	0.8112	3
Total	2877	2809	628	802	0.8208	0.7779	0.7988	4
INS	2168	2100	521	579	0.8062	0.7839	0.7949	4
DEL	709	709	107	223	0.8689	0.7607	0.8112	4
Total	2876	2808	628	803	0.8208	0.7776	0.7986	5
INS	2167	2099	521	580	0.8062	0.7835	0.7947	5
DEL	709	709	107	223	0.8689	0.7607	0.8112	5
Total	2872	2804	627	807	0.8208	0.7765	0.798	7
INS	2163	2095	520	584	0.8062	0.782	0.7939	7
DEL	709	709	107	223	0.8689	0.7607	0.8112	7
Total	2862	2794	625	817	0.8208	0.7737	0.7966	10
INS	2154	2086	518	593	0.8061	0.7786	0.7921	10
DEL	708	708	107	224	0.8687	0.7597	0.8106	10
Total	2852	2784	620	827	0.8214	0.771	0.7954	12
INS	2144	2076	513	603	0.8069	0.7749	0.7906	12
DEL	708	708	107	224	0.8687	0.7597	0.8106	12
Total	2843	2776	616	835	0.8219	0.7688	0.7945	14
INS	2135	2068	509	611	0.8075	0.7719	0.7893	14
DEL	708	708	107	224	0.8687	0.7597	0.8106	14
Total	2807	2743	605	868	0.8227	0.7596	0.7899	21
INS	2099	2035	498	644	0.8082	0.7596	0.7831	21
DEL	708	708	107	224	0.8687	0.7597	0.8106	21
Total	2772	2708	594	903	0.8235	0.7499	0.785	27
INS	2065	2001	487	678	0.8092	0.7469	0.7768	27
DEL	707	707	107	225	0.8686	0.7586	0.8099	27
Total	2707	2646	576	965	0.8246	0.7328	0.776	35
INS	2001	1940	472	739	0.8091	0.7242	0.7643	35
DEL	706	706	104	226	0.8716	0.7575	0.8106	35
Total	2626	2568	529	1043	0.8323	0.7112	0.767	45
INS	1924	1866	430	813	0.8173	0.6965	0.7521	45
DEL	702	702	99	230	0.8764	0.7532	0.8101	45
Total	2590	2534	520	1077	0.8328	0.7017	0.7616	50
INS	1889	1833	421	846	0.8177	0.6842	0.745	50
DEL	701	701	99	231	0.8762	0.7521	0.8094	50
Total	2515	2460	500	1151	0.8342	0.6813	0.75	60
INS	1816	1761	403	918	0.8184	0.6573	0.7291	60
DEL	699	699	97	233	0.8781	0.75	0.809	60
Total	2377	2325	456	1286	0.839	0.6439	0.7286	75
INS	1687	1635	366	1044	0.8217	0.6103	0.7004	75
DEL	690	690	90	242	0.8846	0.7403	0.806	75
Total	2190	2141	411	1470	0.842	0.5929	0.6958	90
INS	1526	1477	332	1202	0.8213	0.5513	0.6597	90
DEL	664	664	79	268	0.8937	0.7124	0.7928	90
Total	2102	2053	399	1558	0.8405	0.5685	0.6782	99
INS	1453	1405	324	1274	0.8177	0.5244	0.639	99
DEL	649	648	75	284	0.8964	0.6953	0.7831	99
Total	1988	1942	378	1669	0.8402	0.5378	0.6558	110
INS	1356	1311	307	1368	0.8154	0.4894	0.6117	110
DEL	632	631	71	301	0.899	0.677	0.7724	110
Total	1742	1697	331	1914	0.8403	0.47	0.6028	133
INS	1157	1113	271	1566	0.8102	0.4155	0.5493	133
DEL	585	584	60	348	0.907	0.6266	0.7412	133
Total	1473	1437	270	2174	0.8451	0.398	0.5411	167
INS	954	918	230	1761	0.8057	0.3427	0.4809	167
DEL	519	519	40	413	0.9284	0.5569	0.6962	167
Total	1396	1361	253	2250	0.8466	0.3769	0.5216	180
INS	900	865	218	1814	0.805	0.3229	0.4609	180
DEL	496	496	35	436	0.9341	0.5322	0.6781	180
Total	973	948	167	2663	0.8535	0.2625	0.4015	250
INS	615	590	149	2089	0.805	0.2202	0.3458	250
DEL	358	358	18	574	0.9521	0.3841	0.5474	250
Total	606	594	93	3017	0.867	0.1645	0.2765	350
INS	402	390	89	2289	0.8187	0.1456	0.2472	350
DEL	204	204	4	728	0.9808	0.2189	0.3579	350
Total	403	399	51	3212	0.8877	0.1105	0.1965	450
INS	273	269	49	2410	0.8478	0.1004	0.1795	450
DEL	130	130	2	802	0.9848	0.1395	0.2444	450
Total	245	241	33	3370	0.8813	0.0667	0.124	550
INS	179	175	32	2504	0.8483	0.0653	0.1213	550
DEL	66	66	1	866	0.9851	0.0708	0.1321	550
Total	139	137	23	3474	0.858	0.0379	0.0726	650
INS	104	102	22	2577	0.8254	0.0381	0.0728	650
DEL	35	35	1	897	0.9722	0.0376	0.0724	650
