type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	8165	8536	867	10881	0.904	0.4396	0.5915	0
INS	3749	3899	276	7297	0.9314	0.3482	0.5069	0
DEL	4416	4637	591	3584	0.882	0.564	0.688	0
Total	8162	8533	867	10884	0.904	0.4395	0.5915	2
INS	3747	3897	276	7299	0.9314	0.3481	0.5068	2
DEL	4415	4636	591	3585	0.8819	0.5639	0.6879	2
Total	8147	8514	866	10903	0.9039	0.4385	0.5905	3
INS	3737	3887	275	7309	0.9315	0.3472	0.5059	3
DEL	4410	4627	591	3594	0.8818	0.5628	0.6871	3
Total	7999	8366	830	11051	0.906	0.4309	0.584	4
INS	3664	3815	262	7381	0.9333	0.3407	0.4992	4
DEL	4335	4551	568	3670	0.8842	0.5536	0.6809	4
Total	7912	8279	794	11138	0.9088	0.4264	0.5805	5
INS	3621	3773	245	7423	0.9366	0.337	0.4957	5
DEL	4291	4506	549	3715	0.8866	0.5481	0.6774	5
Total	7741	8097	743	11320	0.9124	0.417	0.5724	7
INS	3534	3679	228	7517	0.9394	0.3286	0.4869	7
DEL	4207	4418	515	3803	0.8909	0.5374	0.6704	7
Total	7536	7890	694	11527	0.9157	0.4063	0.5629	10
INS	3442	3590	217	7606	0.9407	0.3207	0.4783	10
DEL	4094	4300	477	3921	0.8956	0.5231	0.6604	10
Total	7364	7713	647	11704	0.9192	0.3972	0.5547	12
INS	3373	3520	204	7676	0.943	0.3144	0.4716	12
DEL	3991	4193	443	4028	0.9001	0.51	0.6511	12
Total	7155	7497	594	11920	0.9233	0.3861	0.5445	14
INS	3288	3434	190	7762	0.9454	0.3067	0.4631	14
DEL	3867	4063	404	4158	0.9054	0.4942	0.6394	14
Total	6785	7122	540	12295	0.9263	0.3668	0.5255	21
INS	3150	3296	175	7900	0.9474	0.2944	0.4492	21
DEL	3635	3826	365	4395	0.9088	0.4654	0.6156	21
Total	6673	7010	510	12407	0.929	0.361	0.52	27
INS	3115	3261	167	7935	0.9491	0.2913	0.4458	27
DEL	3558	3749	343	4472	0.9121	0.456	0.608	27
Total	6585	6919	485	12498	0.9314	0.3563	0.5154	35
INS	3087	3230	161	7966	0.9504	0.2885	0.4426	35
DEL	3498	3689	324	4532	0.9152	0.4487	0.6022	35
Total	6562	6896	477	12521	0.9322	0.3552	0.5144	45
INS	3080	3223	158	7973	0.9512	0.2879	0.442	45
DEL	3482	3673	319	4548	0.9161	0.4468	0.6007	45
Total	6562	6896	477	12521	0.9322	0.3552	0.5144	50
INS	3080	3223	158	7973	0.9512	0.2879	0.442	50
DEL	3482	3673	319	4548	0.9161	0.4468	0.6007	50
Total	6562	6896	477	12521	0.9322	0.3552	0.5144	60
INS	3080	3223	158	7973	0.9512	0.2879	0.442	60
DEL	3482	3673	319	4548	0.9161	0.4468	0.6007	60
Total	6562	6896	477	12521	0.9322	0.3552	0.5144	75
INS	3080	3223	158	7973	0.9512	0.2879	0.442	75
DEL	3482	3673	319	4548	0.9161	0.4468	0.6007	75
Total	6562	6896	477	12521	0.9322	0.3552	0.5144	90
INS	3080	3223	158	7973	0.9512	0.2879	0.442	90
DEL	3482	3673	319	4548	0.9161	0.4468	0.6007	90
Total	6562	6896	477	12521	0.9322	0.3552	0.5144	99
INS	3080	3223	158	7973	0.9512	0.2879	0.442	99
DEL	3482	3673	319	4548	0.9161	0.4468	0.6007	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
