type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	7159	7395	1865	11958	0.7933	0.3821	0.5158	0
INS	3121	3192	903	7952	0.7756	0.2864	0.4183	0
DEL	4038	4203	962	4006	0.8076	0.512	0.6267	0
Total	7156	7392	1865	11961	0.7933	0.382	0.5157	2
INS	3119	3190	903	7954	0.7755	0.2863	0.4182	2
DEL	4037	4202	962	4007	0.8076	0.5119	0.6266	2
Total	7146	7380	1859	11973	0.7936	0.3813	0.5151	3
INS	3113	3185	898	7959	0.7761	0.2858	0.4178	3
DEL	4033	4195	961	4014	0.8076	0.511	0.6259	3
Total	7040	7269	1786	12084	0.7976	0.3756	0.5107	4
INS	3063	3134	865	8010	0.7798	0.2812	0.4133	4
DEL	3977	4135	921	4074	0.812	0.5037	0.6217	4
Total	6970	7194	1733	12159	0.8009	0.3717	0.5078	5
INS	3031	3097	838	8047	0.7834	0.2779	0.4103	5
DEL	3939	4097	895	4112	0.8149	0.4991	0.6191	5
Total	6850	7071	1634	12282	0.8074	0.3654	0.5031	7
INS	2979	3044	789	8100	0.7906	0.2732	0.4061	7
DEL	3871	4027	845	4182	0.8208	0.4906	0.6141	7
Total	6702	6920	1528	12433	0.8143	0.3576	0.497	10
INS	2918	2985	747	8159	0.7962	0.2679	0.4009	10
DEL	3784	3935	781	4274	0.8289	0.4794	0.6075	10
Total	6569	6780	1444	12573	0.8198	0.3503	0.4909	12
INS	2868	2934	714	8210	0.8007	0.2633	0.3963	12
DEL	3701	3846	730	4363	0.8353	0.4685	0.6003	12
Total	6409	6614	1349	12739	0.8261	0.3418	0.4835	14
INS	2806	2873	680	8271	0.8049	0.2578	0.3905	14
DEL	3603	3741	669	4468	0.8434	0.4557	0.5917	14
Total	6128	6322	1213	13031	0.8348	0.3267	0.4696	21
INS	2708	2773	627	8371	0.812	0.2488	0.3809	21
DEL	3420	3549	586	4660	0.8537	0.4323	0.574	21
Total	6036	6231	1171	13122	0.8375	0.322	0.4652	27
INS	2682	2748	615	8396	0.8135	0.2466	0.3785	27
DEL	3354	3483	556	4726	0.8578	0.4243	0.5678	27
Total	5962	6154	1133	13199	0.8403	0.318	0.4614	35
INS	2661	2725	601	8419	0.8158	0.2445	0.3762	35
DEL	3301	3429	532	4780	0.8612	0.4177	0.5626	35
Total	5939	6130	1124	13223	0.8409	0.3167	0.4601	45
INS	2655	2719	597	8425	0.8164	0.244	0.3757	45
DEL	3284	3411	527	4798	0.8617	0.4155	0.5607	45
Total	5939	6130	1124	13223	0.8409	0.3167	0.4601	50
INS	2655	2719	597	8425	0.8164	0.244	0.3757	50
DEL	3284	3411	527	4798	0.8617	0.4155	0.5607	50
Total	5915	6108	1113	13245	0.8416	0.3156	0.4591	60
INS	2634	2700	588	8444	0.8175	0.2423	0.3738	60
DEL	3281	3408	525	4801	0.8621	0.4152	0.5605	60
Total	5912	6106	1110	13247	0.8419	0.3155	0.459	75
INS	2632	2699	585	8445	0.8182	0.2422	0.3738	75
DEL	3280	3407	525	4802	0.862	0.415	0.5603	75
Total	5912	6106	1110	13247	0.8419	0.3155	0.459	90
INS	2632	2699	585	8445	0.8182	0.2422	0.3738	90
DEL	3280	3407	525	4802	0.862	0.415	0.5603	90
Total	5912	6106	1110	13247	0.8419	0.3155	0.459	99
INS	2632	2699	585	8445	0.8182	0.2422	0.3738	99
DEL	3280	3407	525	4802	0.862	0.415	0.5603	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
