type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5078	5093	316	4163	0.9414	0.5502	0.6945	0
INS	2227	2231	46	3043	0.9798	0.423	0.5909	0
DEL	2851	2862	270	1120	0.9135	0.7187	0.8045	0
Total	5077	5092	316	4164	0.9414	0.5501	0.6944	2
INS	2226	2230	46	3044	0.9798	0.4228	0.5907	2
DEL	2851	2862	270	1120	0.9135	0.7187	0.8045	2
Total	5072	5087	316	4169	0.9414	0.5496	0.694	3
INS	2222	2226	46	3048	0.9797	0.4221	0.59	3
DEL	2850	2861	270	1121	0.9135	0.7185	0.8044	3
Total	5027	5040	306	4216	0.9426	0.5445	0.6903	4
INS	2199	2201	41	3073	0.9817	0.4173	0.5857	4
DEL	2828	2839	265	1143	0.9143	0.713	0.8012	4
Total	4999	5012	295	4244	0.9443	0.5415	0.6883	5
INS	2187	2189	40	3085	0.982	0.4151	0.5835	5
DEL	2812	2823	255	1159	0.9169	0.7089	0.7996	5
Total	4945	4958	275	4298	0.9473	0.5357	0.6844	7
INS	2156	2158	36	3116	0.9836	0.4092	0.578	7
DEL	2789	2800	239	1182	0.9211	0.7032	0.7975	7
Total	4874	4886	253	4370	0.9507	0.5279	0.6789	10
INS	2126	2128	33	3146	0.9847	0.4035	0.5724	10
DEL	2748	2758	220	1224	0.9259	0.6926	0.7924	10
Total	4819	4830	238	4426	0.9529	0.5218	0.6743	12
INS	2104	2106	30	3168	0.9859	0.3993	0.5684	12
DEL	2715	2724	208	1258	0.9288	0.6841	0.7879	12
Total	4736	4745	216	4511	0.9564	0.5126	0.6675	14
INS	2071	2073	27	3201	0.9871	0.3931	0.5623	14
DEL	2665	2672	189	1310	0.9338	0.671	0.7809	14
Total	4565	4576	199	4680	0.9582	0.4944	0.6523	21
INS	2012	2014	26	3260	0.9872	0.3819	0.5507	21
DEL	2553	2562	173	1420	0.9365	0.6434	0.7628	21
Total	4504	4514	189	4742	0.9597	0.4877	0.6467	27
INS	1998	2000	26	3274	0.9872	0.3792	0.5479	27
DEL	2506	2514	163	1468	0.9389	0.6313	0.755	27
Total	4446	4456	176	4800	0.9619	0.4814	0.6417	35
INS	1983	1985	26	3289	0.9871	0.3764	0.545	35
DEL	2463	2471	150	1511	0.9426	0.6205	0.7484	35
Total	4429	4439	172	4817	0.9626	0.4796	0.6402	45
INS	1979	1981	25	3293	0.9875	0.3756	0.5442	45
DEL	2450	2458	147	1524	0.9434	0.6173	0.7463	45
Total	4429	4439	172	4817	0.9626	0.4796	0.6402	50
INS	1979	1981	25	3293	0.9875	0.3756	0.5442	50
DEL	2450	2458	147	1524	0.9434	0.6173	0.7463	50
Total	4429	4439	172	4817	0.9626	0.4796	0.6402	60
INS	1979	1981	25	3293	0.9875	0.3756	0.5442	60
DEL	2450	2458	147	1524	0.9434	0.6173	0.7463	60
Total	4429	4439	172	4817	0.9626	0.4796	0.6402	75
INS	1979	1981	25	3293	0.9875	0.3756	0.5442	75
DEL	2450	2458	147	1524	0.9434	0.6173	0.7463	75
Total	4429	4439	172	4817	0.9626	0.4796	0.6402	90
INS	1979	1981	25	3293	0.9875	0.3756	0.5442	90
DEL	2450	2458	147	1524	0.9434	0.6173	0.7463	90
Total	4429	4439	172	4817	0.9626	0.4796	0.6402	99
INS	1979	1981	25	3293	0.9875	0.3756	0.5442	99
DEL	2450	2458	147	1524	0.9434	0.6173	0.7463	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
