type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	4759	4767	633	4484	0.8826	0.5153	0.6507	0
INS	1998	2000	276	3273	0.8786	0.3793	0.5299	0
DEL	2761	2767	357	1211	0.8855	0.6956	0.7791	0
Total	4758	4766	633	4485	0.8826	0.5152	0.6506	2
INS	1997	1999	276	3274	0.8786	0.3791	0.5297	2
DEL	2761	2767	357	1211	0.8855	0.6956	0.7791	2
Total	4755	4763	631	4488	0.8828	0.5149	0.6504	3
INS	1994	1996	275	3277	0.8788	0.3785	0.5291	3
DEL	2761	2767	356	1211	0.8858	0.6956	0.7793	3
Total	4719	4725	612	4526	0.8852	0.5108	0.6478	4
INS	1976	1976	265	3297	0.8817	0.3747	0.5259	4
DEL	2743	2749	347	1229	0.8877	0.6911	0.7772	4
Total	4694	4700	597	4551	0.8872	0.5081	0.6461	5
INS	1966	1966	261	3307	0.8828	0.3728	0.5242	5
DEL	2728	2734	336	1244	0.8903	0.6873	0.7757	5
Total	4650	4656	568	4595	0.8911	0.5033	0.6433	7
INS	1944	1944	249	3329	0.8865	0.3687	0.5208	7
DEL	2706	2712	319	1266	0.8945	0.6817	0.7737	7
Total	4588	4593	539	4658	0.8949	0.4965	0.6387	10
INS	1920	1920	240	3353	0.8889	0.3641	0.5166	10
DEL	2668	2673	299	1305	0.8992	0.6719	0.7691	10
Total	4542	4546	515	4705	0.8982	0.4914	0.6353	12
INS	1904	1904	231	3369	0.8918	0.3611	0.5141	12
DEL	2638	2642	284	1336	0.9028	0.6642	0.7653	12
Total	4473	4476	480	4775	0.9031	0.4838	0.6301	14
INS	1880	1880	220	3393	0.8952	0.3565	0.5099	14
DEL	2593	2596	260	1382	0.9089	0.6526	0.7597	14
Total	4333	4336	433	4915	0.9091	0.4687	0.6185	21
INS	1835	1835	205	3438	0.8995	0.348	0.5018	21
DEL	2498	2501	228	1477	0.9164	0.6287	0.7458	21
Total	4276	4279	419	4972	0.9108	0.4625	0.6135	27
INS	1822	1822	204	3451	0.8993	0.3455	0.4992	27
DEL	2454	2457	215	1521	0.9194	0.6176	0.7389	27
Total	4226	4229	398	5022	0.9139	0.4571	0.6094	35
INS	1812	1812	199	3461	0.901	0.3436	0.4975	35
DEL	2414	2417	199	1561	0.9238	0.6076	0.7331	35
Total	4209	4212	394	5039	0.9144	0.4553	0.6079	45
INS	1808	1808	198	3465	0.9013	0.3429	0.4968	45
DEL	2401	2404	196	1574	0.9245	0.6043	0.7309	45
Total	4209	4212	394	5039	0.9144	0.4553	0.6079	50
INS	1808	1808	198	3465	0.9013	0.3429	0.4968	50
DEL	2401	2404	196	1574	0.9245	0.6043	0.7309	50
Total	4207	4210	394	5041	0.9144	0.4551	0.6077	60
INS	1806	1806	198	3467	0.9012	0.3425	0.4964	60
DEL	2401	2404	196	1574	0.9245	0.6043	0.7309	60
Total	4207	4210	394	5041	0.9144	0.4551	0.6077	75
INS	1806	1806	198	3467	0.9012	0.3425	0.4964	75
DEL	2401	2404	196	1574	0.9245	0.6043	0.7309	75
Total	4207	4210	394	5041	0.9144	0.4551	0.6077	90
INS	1806	1806	198	3467	0.9012	0.3425	0.4964	90
DEL	2401	2404	196	1574	0.9245	0.6043	0.7309	90
Total	4207	4210	394	5041	0.9144	0.4551	0.6077	99
INS	1806	1806	198	3467	0.9012	0.3425	0.4964	99
DEL	2401	2404	196	1574	0.9245	0.6043	0.7309	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
