type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	8262	8256	1613	11161	0.8367	0.4252	0.5639	0
INS	2184	2244	136	8952	0.9414	0.2004	0.3305	0
DEL	6078	6012	1477	2209	0.8045	0.7313	0.7662	0
Total	8220	8208	1591	11209	0.8378	0.4227	0.5619	2
INS	2144	2201	114	8995	0.9495	0.1966	0.3258	2
DEL	6076	6007	1477	2214	0.8044	0.7307	0.7658	2
Total	8218	8206	1590	11211	0.8379	0.4226	0.5618	3
INS	2144	2201	114	8995	0.9495	0.1966	0.3258	3
DEL	6074	6005	1476	2216	0.8045	0.7304	0.7657	3
Total	8210	8196	1583	11221	0.8384	0.4221	0.5615	4
INS	2142	2199	114	8997	0.9495	0.1964	0.3255	4
DEL	6068	5997	1469	2224	0.8051	0.7295	0.7654	4
Total	8165	8156	1566	11261	0.8391	0.42	0.5598	5
INS	2130	2189	114	9007	0.9492	0.1955	0.3242	5
DEL	6035	5967	1452	2254	0.8061	0.7258	0.7638	5
Total	8084	8088	1518	11329	0.8419	0.4165	0.5573	7
INS	2115	2175	112	9021	0.9497	0.1943	0.3226	7
DEL	5969	5913	1406	2308	0.8094	0.7193	0.7617	7
Total	7993	7995	1488	11422	0.8431	0.4118	0.5533	10
INS	2102	2161	110	9035	0.9503	0.193	0.3208	10
DEL	5891	5834	1378	2387	0.8104	0.7096	0.7567	10
Total	7910	7913	1460	11504	0.8442	0.4075	0.5497	12
INS	2082	2140	108	9056	0.9507	0.1911	0.3182	12
DEL	5828	5773	1352	2448	0.8117	0.7022	0.753	12
Total	7850	7860	1440	11557	0.845	0.4048	0.5474	14
INS	2066	2123	107	9073	0.9508	0.1896	0.3162	14
DEL	5784	5737	1333	2484	0.8127	0.6978	0.7509	14
Total	7668	7699	1377	11718	0.8478	0.3965	0.5403	21
INS	2025	2084	105	9112	0.9507	0.1861	0.3113	21
DEL	5643	5615	1272	2606	0.8161	0.683	0.7436	21
Total	7526	7568	1320	11849	0.8508	0.3898	0.5346	27
INS	1993	2053	99	9143	0.9527	0.1834	0.3076	27
DEL	5533	5515	1221	2706	0.8192	0.6708	0.7376	27
Total	7316	7371	1256	12046	0.8535	0.3796	0.5255	35
INS	1938	2001	97	9195	0.9523	0.1787	0.3009	35
DEL	5378	5370	1159	2851	0.8227	0.6532	0.7282	35
Total	7059	7110	1170	12307	0.8578	0.3662	0.5133	45
INS	1878	1943	88	9253	0.9552	0.1735	0.2937	45
DEL	5181	5167	1082	3054	0.8272	0.6285	0.7143	45
Total	6931	6979	1147	12438	0.858	0.3594	0.5066	50
INS	1850	1914	88	9282	0.9546	0.171	0.29	50
DEL	5081	5065	1059	3156	0.8275	0.6161	0.7063	50
Total	6696	6758	1089	12659	0.8601	0.348	0.4955	60
INS	1802	1870	85	9326	0.955	0.167	0.2843	60
DEL	4894	4888	1004	3333	0.8298	0.5946	0.6928	60
Total	6310	6370	1000	13047	0.8632	0.3281	0.4755	75
INS	1700	1760	78	9436	0.9561	0.1572	0.27	75
DEL	4610	4610	922	3611	0.8333	0.5608	0.6704	75
Total	5890	5956	916	13461	0.8654	0.3067	0.4529	90
INS	1600	1656	72	9540	0.9569	0.1479	0.2562	90
DEL	4290	4300	844	3921	0.8356	0.5231	0.6434	90
Total	5641	5700	876	13717	0.8656	0.2936	0.4385	99
INS	1542	1596	69	9600	0.9572	0.1426	0.2482	99
DEL	4099	4104	807	4117	0.8355	0.4992	0.625	99
Total	5313	5360	833	14057	0.8645	0.276	0.4184	110
INS	1476	1528	68	9668	0.956	0.1365	0.2389	110
DEL	3837	3832	765	4389	0.8338	0.4661	0.5979	110
Total	4589	4637	743	14780	0.8607	0.2388	0.3739	133
INS	1327	1368	62	9828	0.9554	0.1222	0.2167	133
DEL	3262	3269	681	4952	0.8273	0.3976	0.5371	133
Total	4012	4046	656	15371	0.8595	0.2084	0.3355	167
INS	1208	1244	56	9952	0.9557	0.1111	0.1991	167
DEL	2804	2802	600	5419	0.8237	0.3408	0.4821	167
Total	4012	4046	656	15371	0.8595	0.2084	0.3355	180
INS	1208	1244	56	9952	0.9557	0.1111	0.1991	180
DEL	2804	2802	600	5419	0.8237	0.3408	0.4821	180
Total	4012	4046	656	15371	0.8595	0.2084	0.3355	250
INS	1208	1244	56	9952	0.9557	0.1111	0.1991	250
DEL	2804	2802	600	5419	0.8237	0.3408	0.4821	250
Total	4012	4046	656	15371	0.8595	0.2084	0.3355	350
INS	1208	1244	56	9952	0.9557	0.1111	0.1991	350
DEL	2804	2802	600	5419	0.8237	0.3408	0.4821	350
Total	4012	4046	656	15371	0.8595	0.2084	0.3355	450
INS	1208	1244	56	9952	0.9557	0.1111	0.1991	450
DEL	2804	2802	600	5419	0.8237	0.3408	0.4821	450
Total	4012	4046	656	15371	0.8595	0.2084	0.3355	550
INS	1208	1244	56	9952	0.9557	0.1111	0.1991	550
DEL	2804	2802	600	5419	0.8237	0.3408	0.4821	550
Total	4012	4046	656	15371	0.8595	0.2084	0.3355	650
INS	1208	1244	56	9952	0.9557	0.1111	0.1991	650
DEL	2804	2802	600	5419	0.8237	0.3408	0.4821	650
