type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	7334	7313	2603	12040	0.738	0.3779	0.4998	0
INS	1937	1972	421	9172	0.8215	0.177	0.2912	0
DEL	5397	5341	2182	2868	0.7121	0.6506	0.68	0
Total	7301	7277	2572	12076	0.7395	0.376	0.4985	2
INS	1905	1939	391	9205	0.8297	0.174	0.2877	2
DEL	5396	5338	2181	2871	0.7122	0.6503	0.6798	2
Total	7301	7277	2569	12076	0.7397	0.376	0.4986	3
INS	1905	1939	391	9205	0.8297	0.174	0.2877	3
DEL	5396	5338	2178	2871	0.7124	0.6503	0.6799	3
Total	7298	7274	2557	12079	0.7405	0.3759	0.4987	4
INS	1904	1938	390	9206	0.83	0.1739	0.2876	4
DEL	5394	5336	2167	2873	0.7134	0.65	0.6802	4
Total	7273	7253	2521	12100	0.7426	0.3748	0.4982	5
INS	1896	1930	387	9214	0.8305	0.1732	0.2866	5
DEL	5377	5323	2134	2886	0.7159	0.6484	0.6805	5
Total	7223	7211	2443	12142	0.7473	0.3726	0.4973	7
INS	1884	1918	382	9226	0.8314	0.1721	0.2852	7
DEL	5339	5293	2061	2916	0.7215	0.6448	0.681	7
Total	7164	7148	2381	12205	0.7506	0.3693	0.495	10
INS	1874	1905	377	9239	0.8325	0.1709	0.2836	10
DEL	5290	5243	2004	2966	0.7253	0.6387	0.6793	10
Total	7105	7090	2330	12263	0.753	0.3664	0.4929	12
INS	1857	1888	372	9256	0.8331	0.1694	0.2816	12
DEL	5248	5202	1958	3007	0.7283	0.6337	0.6777	12
Total	7058	7047	2298	12306	0.7544	0.3641	0.4912	14
INS	1843	1874	369	9270	0.8332	0.1682	0.2799	14
DEL	5215	5173	1929	3036	0.73	0.6302	0.6764	14
Total	6936	6932	2178	12421	0.761	0.3582	0.4871	21
INS	1815	1847	356	9297	0.836	0.1657	0.2766	21
DEL	5121	5085	1822	3124	0.7376	0.6194	0.6734	21
Total	6830	6836	2086	12517	0.766	0.3532	0.4835	27
INS	1790	1823	341	9321	0.84	0.1636	0.2739	27
DEL	5040	5013	1745	3196	0.7428	0.6107	0.6703	27
Total	6666	6678	1978	12675	0.7712	0.3451	0.4768	35
INS	1749	1786	325	9358	0.8433	0.1603	0.2694	35
DEL	4917	4892	1653	3317	0.7484	0.5959	0.6635	35
Total	6471	6475	1828	12878	0.7797	0.3346	0.4683	45
INS	1704	1740	301	9404	0.8499	0.1561	0.2638	45
DEL	4767	4735	1527	3474	0.7574	0.5768	0.6549	45
Total	6373	6374	1772	12979	0.7824	0.3294	0.4636	50
INS	1684	1717	292	9427	0.8522	0.1541	0.261	50
DEL	4689	4657	1480	3552	0.7601	0.5673	0.6497	50
Total	6188	6194	1667	13159	0.7878	0.3201	0.4552	60
INS	1650	1686	274	9458	0.8576	0.1513	0.2572	60
DEL	4538	4508	1393	3701	0.7651	0.5492	0.6394	60
Total	5881	5888	1500	13465	0.7968	0.3042	0.4403	75
INS	1573	1602	243	9542	0.8662	0.1438	0.2467	75
DEL	4308	4286	1257	3923	0.7741	0.5221	0.6236	75
Total	5542	5558	1335	13795	0.8059	0.2872	0.4235	90
INS	1493	1517	218	9627	0.8726	0.1361	0.2355	90
DEL	4049	4041	1117	4168	0.7838	0.4923	0.6048	90
Total	5315	5323	1272	14030	0.8069	0.275	0.4102	99
INS	1441	1463	209	9681	0.8733	0.1313	0.2283	99
DEL	3874	3860	1063	4349	0.7847	0.4702	0.588	99
Total	5023	5022	1193	14331	0.8081	0.2595	0.3928	110
INS	1391	1410	192	9734	0.8787	0.1265	0.2212	110
DEL	3632	3612	1001	4597	0.7839	0.44	0.5636	110
Total	4355	4363	1049	14990	0.8059	0.2254	0.3523	133
INS	1256	1270	172	9874	0.8796	0.114	0.2018	133
DEL	3099	3093	877	5116	0.7794	0.3768	0.508	133
Total	3832	3829	913	15524	0.8076	0.1979	0.3179	167
INS	1153	1163	153	9981	0.8828	0.1044	0.1867	167
DEL	2679	2666	760	5543	0.779	0.3248	0.4585	167
Total	3832	3829	913	15524	0.8076	0.1979	0.3179	180
INS	1153	1163	153	9981	0.8828	0.1044	0.1867	180
DEL	2679	2666	760	5543	0.779	0.3248	0.4585	180
Total	3832	3829	913	15524	0.8076	0.1979	0.3179	250
INS	1153	1163	153	9981	0.8828	0.1044	0.1867	250
DEL	2679	2666	760	5543	0.779	0.3248	0.4585	250
Total	3832	3829	913	15524	0.8076	0.1979	0.3179	350
INS	1153	1163	153	9981	0.8828	0.1044	0.1867	350
DEL	2679	2666	760	5543	0.779	0.3248	0.4585	350
Total	3832	3829	913	15524	0.8076	0.1979	0.3179	450
INS	1153	1163	153	9981	0.8828	0.1044	0.1867	450
DEL	2679	2666	760	5543	0.779	0.3248	0.4585	450
Total	3832	3829	913	15524	0.8076	0.1979	0.3179	550
INS	1153	1163	153	9981	0.8828	0.1044	0.1867	550
DEL	2679	2666	760	5543	0.779	0.3248	0.4585	550
Total	3832	3829	913	15524	0.8076	0.1979	0.3179	650
INS	1153	1163	153	9981	0.8828	0.1044	0.1867	650
DEL	2679	2666	760	5543	0.779	0.3248	0.4585	650
