type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	4776	4787	649	4469	0.8804	0.5172	0.6516	0
INS	1529	1533	47	3741	0.9702	0.2907	0.4474	0
DEL	3247	3254	602	728	0.8436	0.8172	0.8302	0
Total	4769	4779	646	4477	0.8807	0.5163	0.651	2
INS	1522	1526	44	3748	0.9719	0.2893	0.4459	2
DEL	3247	3253	602	729	0.8436	0.8169	0.83	2
Total	4769	4779	645	4477	0.8809	0.5163	0.651	3
INS	1522	1526	44	3748	0.9719	0.2893	0.4459	3
DEL	3247	3253	601	729	0.8438	0.8169	0.8301	3
Total	4766	4776	643	4480	0.8811	0.516	0.6508	4
INS	1521	1525	44	3749	0.9719	0.2892	0.4458	4
DEL	3245	3251	599	731	0.8442	0.8164	0.8301	4
Total	4759	4770	635	4486	0.8823	0.5153	0.6506	5
INS	1519	1523	44	3751	0.9718	0.2888	0.4453	5
DEL	3240	3247	591	735	0.8457	0.8154	0.8303	5
Total	4733	4744	617	4512	0.8847	0.5125	0.649	7
INS	1510	1515	44	3759	0.9717	0.2873	0.4435	7
DEL	3223	3229	573	753	0.8491	0.8109	0.8296	7
Total	4704	4715	603	4541	0.8864	0.5094	0.647	10
INS	1501	1506	44	3768	0.9715	0.2856	0.4414	10
DEL	3203	3209	559	773	0.8514	0.8059	0.828	10
Total	4671	4683	590	4573	0.8879	0.5059	0.6446	12
INS	1488	1493	42	3781	0.9725	0.2831	0.4385	12
DEL	3183	3190	548	792	0.8531	0.8011	0.8263	12
Total	4649	4661	584	4595	0.8884	0.5036	0.6428	14
INS	1478	1483	42	3791	0.9724	0.2812	0.4362	14
DEL	3171	3178	542	804	0.854	0.7981	0.8251	14
Total	4594	4607	558	4649	0.8917	0.4977	0.6388	21
INS	1459	1464	41	3810	0.9727	0.2776	0.4319	21
DEL	3135	3143	517	839	0.8584	0.7893	0.8224	21
Total	4535	4550	533	4706	0.8948	0.4916	0.6346	27
INS	1443	1448	41	3826	0.9724	0.2746	0.4283	27
DEL	3092	3102	492	880	0.8627	0.779	0.8187	27
Total	4451	4465	508	4791	0.8976	0.4824	0.6275	35
INS	1413	1418	40	3856	0.9725	0.2689	0.4213	35
DEL	3038	3047	468	935	0.8665	0.7652	0.8127	35
Total	4352	4366	468	4890	0.9029	0.4717	0.6197	45
INS	1378	1384	33	3890	0.9766	0.2624	0.4137	45
DEL	2974	2982	435	1000	0.8724	0.7489	0.8059	45
Total	4305	4316	461	4940	0.9033	0.4663	0.6151	50
INS	1361	1367	33	3907	0.9763	0.2592	0.4096	50
DEL	2944	2949	428	1033	0.8731	0.7406	0.8014	50
Total	4218	4232	441	5024	0.9053	0.4572	0.6076	60
INS	1333	1341	33	3933	0.9758	0.2543	0.4035	60
DEL	2885	2891	408	1091	0.8761	0.726	0.794	60
Total	4031	4042	414	5214	0.9069	0.4367	0.5895	75
INS	1278	1286	29	3988	0.9778	0.2438	0.3903	75
DEL	2753	2756	385	1226	0.8773	0.6921	0.7738	75
Total	3829	3836	376	5420	0.9106	0.4144	0.5696	90
INS	1214	1219	27	4055	0.9782	0.2311	0.3739	90
DEL	2615	2617	349	1365	0.8823	0.6572	0.7533	90
Total	3683	3688	364	5568	0.9101	0.3984	0.5542	99
INS	1174	1178	26	4096	0.9783	0.2234	0.3637	99
DEL	2509	2510	338	1472	0.8813	0.6303	0.735	99
Total	3472	3476	349	5780	0.9087	0.3755	0.5314	110
INS	1133	1137	26	4137	0.9776	0.2156	0.3533	110
DEL	2339	2339	323	1643	0.8787	0.5874	0.7041	110
Total	3005	3008	318	6248	0.9043	0.325	0.4782	133
INS	1035	1039	24	4235	0.9773	0.197	0.3279	133
DEL	1970	1969	294	2013	0.8701	0.4945	0.6306	133
Total	2625	2628	281	6628	0.9033	0.2839	0.432	167
INS	941	945	22	4329	0.9772	0.1792	0.3029	167
DEL	1684	1683	259	2299	0.8667	0.4227	0.5683	167
Total	2625	2628	281	6628	0.9033	0.2839	0.432	180
INS	941	945	22	4329	0.9772	0.1792	0.3029	180
DEL	1684	1683	259	2299	0.8667	0.4227	0.5683	180
Total	2625	2628	281	6628	0.9033	0.2839	0.432	250
INS	941	945	22	4329	0.9772	0.1792	0.3029	250
DEL	1684	1683	259	2299	0.8667	0.4227	0.5683	250
Total	2625	2628	281	6628	0.9033	0.2839	0.432	350
INS	941	945	22	4329	0.9772	0.1792	0.3029	350
DEL	1684	1683	259	2299	0.8667	0.4227	0.5683	350
Total	2625	2628	281	6628	0.9033	0.2839	0.432	450
INS	941	945	22	4329	0.9772	0.1792	0.3029	450
DEL	1684	1683	259	2299	0.8667	0.4227	0.5683	450
Total	2625	2628	281	6628	0.9033	0.2839	0.432	550
INS	941	945	22	4329	0.9772	0.1792	0.3029	550
DEL	1684	1683	259	2299	0.8667	0.4227	0.5683	550
Total	2625	2628	281	6628	0.9033	0.2839	0.432	650
INS	941	945	22	4329	0.9772	0.1792	0.3029	650
DEL	1684	1683	259	2299	0.8667	0.4227	0.5683	650
