type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	4504	4514	920	4737	0.8304	0.4879	0.6147	0
INS	1409	1413	167	3860	0.894	0.268	0.4124	0
DEL	3095	3101	753	877	0.8043	0.7795	0.7917	0
Total	4497	4507	917	4744	0.8306	0.4872	0.6142	2
INS	1402	1407	164	3866	0.8953	0.2668	0.4111	2
DEL	3095	3100	753	878	0.8043	0.7793	0.7916	2
Total	4497	4507	916	4744	0.8308	0.4872	0.6142	3
INS	1402	1407	164	3866	0.8953	0.2668	0.4111	3
DEL	3095	3100	752	878	0.8045	0.7793	0.7917	3
Total	4496	4506	912	4745	0.8314	0.4871	0.6143	4
INS	1401	1406	164	3867	0.8952	0.2666	0.4108	4
DEL	3095	3100	748	878	0.8054	0.7793	0.7921	4
Total	4493	4504	900	4747	0.8331	0.4869	0.6146	5
INS	1400	1405	163	3868	0.8957	0.2665	0.4108	5
DEL	3093	3099	737	879	0.8076	0.779	0.793	5
Total	4474	4484	876	4767	0.8363	0.4847	0.6137	7
INS	1392	1397	162	3876	0.8958	0.2649	0.4089	7
DEL	3082	3087	714	891	0.8119	0.776	0.7935	7
Total	4455	4465	852	4786	0.8395	0.4827	0.613	10
INS	1386	1391	159	3882	0.8971	0.2638	0.4077	10
DEL	3069	3074	693	904	0.8158	0.7728	0.7937	10
Total	4431	4441	830	4810	0.8422	0.4801	0.6116	12
INS	1374	1379	156	3894	0.898	0.2615	0.405	12
DEL	3057	3062	674	916	0.8194	0.7697	0.7938	12
Total	4416	4426	817	4825	0.8439	0.4784	0.6106	14
INS	1365	1370	155	3903	0.898	0.2598	0.403	14
DEL	3051	3056	662	922	0.8217	0.7682	0.794	14
Total	4371	4381	781	4870	0.8484	0.4736	0.6079	21
INS	1351	1356	149	3917	0.9007	0.2572	0.4001	21
DEL	3020	3025	632	953	0.8269	0.7604	0.7923	21
Total	4324	4335	745	4916	0.853	0.4686	0.6049	27
INS	1338	1343	146	3930	0.9016	0.2547	0.3972	27
DEL	2986	2992	599	986	0.8329	0.7521	0.7904	27
Total	4247	4256	712	4995	0.8564	0.4601	0.5986	35
INS	1314	1319	139	3954	0.9043	0.2501	0.3918	35
DEL	2933	2937	573	1041	0.8366	0.7383	0.7844	35
Total	4166	4176	654	5075	0.8643	0.4514	0.5931	45
INS	1289	1294	122	3979	0.9135	0.2454	0.3869	45
DEL	2877	2882	532	1096	0.8439	0.7245	0.7797	45
Total	4128	4136	637	5115	0.8663	0.4471	0.5898	50
INS	1278	1283	116	3990	0.9168	0.2433	0.3845	50
DEL	2850	2853	521	1125	0.8454	0.7172	0.776	50
Total	4055	4063	604	5188	0.8704	0.4392	0.5838	60
INS	1257	1262	109	4011	0.9202	0.2393	0.3798	60
DEL	2798	2801	495	1177	0.8497	0.7041	0.7701	60
Total	3895	3903	550	5348	0.8763	0.4219	0.5696	75
INS	1215	1220	92	4053	0.9296	0.2314	0.3706	75
DEL	2680	2683	458	1295	0.854	0.6745	0.7537	75
Total	3717	3723	489	5528	0.8837	0.4024	0.553	90
INS	1161	1164	81	4109	0.9348	0.2207	0.3571	90
DEL	2556	2559	408	1419	0.8623	0.6433	0.7369	90
Total	3580	3585	468	5666	0.8844	0.3875	0.5389	99
INS	1124	1127	77	4146	0.9359	0.2137	0.348	99
DEL	2456	2458	391	1520	0.8627	0.6179	0.7201	99
Total	3381	3385	441	5866	0.8846	0.3659	0.5177	110
INS	1089	1092	71	4181	0.9388	0.2071	0.3393	110
DEL	2292	2293	370	1685	0.861	0.5764	0.6905	110
Total	2932	2936	392	6315	0.8821	0.3174	0.4668	133
INS	997	1000	63	4273	0.9406	0.1896	0.3156	133
DEL	1935	1936	329	2042	0.8547	0.4867	0.6202	133
Total	2566	2570	342	6681	0.8824	0.2778	0.4226	167
INS	913	916	52	4357	0.9461	0.1737	0.2935	167
DEL	1653	1654	290	2324	0.8507	0.4158	0.5586	167
Total	2566	2570	342	6681	0.8824	0.2778	0.4226	180
INS	913	916	52	4357	0.9461	0.1737	0.2935	180
DEL	1653	1654	290	2324	0.8507	0.4158	0.5586	180
Total	2566	2570	342	6681	0.8824	0.2778	0.4226	250
INS	913	916	52	4357	0.9461	0.1737	0.2935	250
DEL	1653	1654	290	2324	0.8507	0.4158	0.5586	250
Total	2566	2570	342	6681	0.8824	0.2778	0.4226	350
INS	913	916	52	4357	0.9461	0.1737	0.2935	350
DEL	1653	1654	290	2324	0.8507	0.4158	0.5586	350
Total	2566	2570	342	6681	0.8824	0.2778	0.4226	450
INS	913	916	52	4357	0.9461	0.1737	0.2935	450
DEL	1653	1654	290	2324	0.8507	0.4158	0.5586	450
Total	2566	2570	342	6681	0.8824	0.2778	0.4226	550
INS	913	916	52	4357	0.9461	0.1737	0.2935	550
DEL	1653	1654	290	2324	0.8507	0.4158	0.5586	550
Total	2566	2570	342	6681	0.8824	0.2778	0.4226	650
INS	913	916	52	4357	0.9461	0.1737	0.2935	650
DEL	1653	1654	290	2324	0.8507	0.4158	0.5586	650
