type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	3284	3416	432	16001	0.8837	0.1759	0.2934	0
INS	0	0	0	11196	NA	0	NA	0
DEL	3284	3416	432	4805	0.8837	0.4155	0.5652	0
Total	3284	3416	432	16001	0.8837	0.1759	0.2934	2
INS	0	0	0	11196	NA	0	NA	2
DEL	3284	3416	432	4805	0.8837	0.4155	0.5652	2
Total	3284	3416	432	16001	0.8837	0.1759	0.2934	3
INS	0	0	0	11196	NA	0	NA	3
DEL	3284	3416	432	4805	0.8837	0.4155	0.5652	3
Total	3284	3416	432	16001	0.8837	0.1759	0.2934	4
INS	0	0	0	11196	NA	0	NA	4
DEL	3284	3416	432	4805	0.8837	0.4155	0.5652	4
Total	3271	3401	430	16016	0.8838	0.1752	0.2924	5
INS	0	0	0	11196	NA	0	NA	5
DEL	3271	3401	430	4820	0.8838	0.4137	0.5636	5
Total	3261	3391	428	16026	0.884	0.1746	0.2916	7
INS	0	0	0	11196	NA	0	NA	7
DEL	3261	3391	428	4830	0.884	0.4125	0.5625	7
Total	3253	3383	422	16034	0.8852	0.1742	0.2911	10
INS	0	0	0	11196	NA	0	NA	10
DEL	3253	3383	422	4838	0.8852	0.4115	0.5618	10
Total	3252	3382	420	16035	0.8856	0.1742	0.2911	12
INS	0	0	0	11196	NA	0	NA	12
DEL	3252	3382	420	4839	0.8856	0.4114	0.5618	12
Total	3247	3376	418	16041	0.8859	0.1739	0.2907	14
INS	0	0	0	11196	NA	0	NA	14
DEL	3247	3376	418	4845	0.8859	0.4107	0.5612	14
Total	3220	3345	407	16072	0.8878	0.1723	0.2886	21
INS	0	0	0	11196	NA	0	NA	21
DEL	3220	3345	407	4876	0.8878	0.4069	0.558	21
Total	3191	3314	398	16103	0.8891	0.1707	0.2864	27
INS	0	0	0	11196	NA	0	NA	27
DEL	3191	3314	398	4907	0.8891	0.4031	0.5547	27
Total	3159	3278	385	16139	0.8914	0.1688	0.2838	35
INS	0	0	0	11196	NA	0	NA	35
DEL	3159	3278	385	4943	0.8914	0.3987	0.551	35
Total	3119	3233	368	16184	0.8945	0.1665	0.2807	45
INS	0	0	0	11196	NA	0	NA	45
DEL	3119	3233	368	4988	0.8945	0.3933	0.5464	45
Total	3108	3221	366	16196	0.8946	0.1659	0.2799	50
INS	0	0	0	11196	NA	0	NA	50
DEL	3108	3221	366	5000	0.8946	0.3918	0.5449	50
Total	3063	3174	348	16243	0.898	0.1635	0.2766	60
INS	0	0	0	11196	NA	0	NA	60
DEL	3063	3174	348	5047	0.898	0.3861	0.54	60
Total	3000	3109	332	16308	0.9004	0.1601	0.2719	75
INS	0	0	0	11196	NA	0	NA	75
DEL	3000	3109	332	5112	0.9004	0.3782	0.5327	75
Total	2942	3048	317	16369	0.9027	0.157	0.2675	90
INS	0	0	0	11196	NA	0	NA	90
DEL	2942	3048	317	5173	0.9027	0.3708	0.5257	90
Total	2894	3000	311	16417	0.903	0.1545	0.2639	99
INS	0	0	0	11196	NA	0	NA	99
DEL	2894	3000	311	5221	0.903	0.3649	0.5198	99
Total	2860	2966	302	16451	0.9045	0.1528	0.2614	110
INS	0	0	0	11196	NA	0	NA	110
DEL	2860	2966	302	5255	0.9045	0.3608	0.5158	110
Total	2759	2858	276	16559	0.9091	0.1472	0.2534	133
INS	0	0	0	11196	NA	0	NA	133
DEL	2759	2858	276	5363	0.9091	0.3476	0.5029	133
Total	2623	2714	256	16703	0.9111	0.1398	0.2424	167
INS	0	0	0	11196	NA	0	NA	167
DEL	2623	2714	256	5507	0.9111	0.3301	0.4846	167
Total	2563	2659	247	16758	0.9121	0.1369	0.2381	180
INS	0	0	0	11196	NA	0	NA	180
DEL	2563	2659	247	5562	0.9121	0.3234	0.4775	180
Total	2308	2400	198	17017	0.921	0.1236	0.218	250
INS	0	0	0	11196	NA	0	NA	250
DEL	2308	2400	198	5821	0.921	0.2919	0.4433	250
Total	2040	2116	156	17301	0.929	0.109	0.1951	350
INS	0	0	0	11196	NA	0	NA	350
DEL	2040	2116	156	6105	0.929	0.2574	0.4031	350
Total	1735	1808	132	17609	0.9293	0.0931	0.1692	450
INS	0	0	0	11196	NA	0	NA	450
DEL	1735	1808	132	6413	0.9293	0.2199	0.3556	450
Total	1456	1506	103	17911	0.9339	0.0776	0.1433	550
INS	0	0	0	11196	NA	0	NA	550
DEL	1456	1506	103	6715	0.9339	0.1832	0.3063	550
Total	1209	1249	80	18168	0.9379	0.0643	0.1203	650
INS	0	0	0	11196	NA	0	NA	650
DEL	1209	1249	80	6972	0.9379	0.1519	0.2615	650
