type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2753	2810	957	16543	0.742	0.1452	0.2429	0
INS	0	0	0	11144	NA	0	NA	0
DEL	2753	2810	957	5399	0.742	0.3423	0.4685	0
Total	2753	2810	957	16543	0.742	0.1452	0.2429	2
INS	0	0	0	11144	NA	0	NA	2
DEL	2753	2810	957	5399	0.742	0.3423	0.4685	2
Total	2753	2810	957	16543	0.742	0.1452	0.2429	3
INS	0	0	0	11144	NA	0	NA	3
DEL	2753	2810	957	5399	0.742	0.3423	0.4685	3
Total	2753	2810	957	16543	0.742	0.1452	0.2429	4
INS	0	0	0	11144	NA	0	NA	4
DEL	2753	2810	957	5399	0.742	0.3423	0.4685	4
Total	2742	2800	953	16553	0.7421	0.1447	0.2422	5
INS	0	0	0	11144	NA	0	NA	5
DEL	2742	2800	953	5409	0.7421	0.3411	0.4674	5
Total	2734	2793	949	16560	0.7423	0.1443	0.2416	7
INS	0	0	0	11144	NA	0	NA	7
DEL	2734	2793	949	5416	0.7423	0.3402	0.4666	7
Total	2729	2787	940	16566	0.7438	0.144	0.2413	10
INS	0	0	0	11144	NA	0	NA	10
DEL	2729	2787	940	5422	0.7438	0.3395	0.4662	10
Total	2728	2786	938	16567	0.7441	0.144	0.2413	12
INS	0	0	0	11144	NA	0	NA	12
DEL	2728	2786	938	5423	0.7441	0.3394	0.4662	12
Total	2725	2782	934	16571	0.7447	0.1438	0.2411	14
INS	0	0	0	11144	NA	0	NA	14
DEL	2725	2782	934	5427	0.7447	0.3389	0.4658	14
Total	2705	2763	916	16590	0.747	0.1428	0.2398	21
INS	0	0	0	11144	NA	0	NA	21
DEL	2705	2763	916	5446	0.747	0.3366	0.4641	21
Total	2685	2745	898	16608	0.7494	0.1418	0.2385	27
INS	0	0	0	11144	NA	0	NA	27
DEL	2685	2745	898	5464	0.7494	0.3344	0.4624	27
Total	2658	2715	880	16638	0.7513	0.1403	0.2364	35
INS	0	0	0	11144	NA	0	NA	35
DEL	2658	2715	880	5494	0.7513	0.3307	0.4593	35
Total	2627	2681	855	16672	0.7545	0.1385	0.234	45
INS	0	0	0	11144	NA	0	NA	45
DEL	2627	2681	855	5528	0.7545	0.3266	0.4559	45
Total	2619	2673	850	16680	0.755	0.1381	0.2335	50
INS	0	0	0	11144	NA	0	NA	50
DEL	2619	2673	850	5536	0.755	0.3256	0.455	50
Total	2578	2631	828	16722	0.7569	0.1359	0.2304	60
INS	0	0	0	11144	NA	0	NA	60
DEL	2578	2631	828	5578	0.7569	0.3205	0.4503	60
Total	2525	2578	803	16775	0.7587	0.1332	0.2266	75
INS	0	0	0	11144	NA	0	NA	75
DEL	2525	2578	803	5631	0.7587	0.314	0.4442	75
Total	2477	2531	779	16822	0.7607	0.1308	0.2232	90
INS	0	0	0	11144	NA	0	NA	90
DEL	2477	2531	779	5678	0.7607	0.3083	0.4388	90
Total	2436	2489	766	16864	0.7608	0.1286	0.22	99
INS	0	0	0	11144	NA	0	NA	99
DEL	2436	2489	766	5720	0.7608	0.3032	0.4336	99
Total	2407	2458	751	16895	0.7622	0.127	0.2177	110
INS	0	0	0	11144	NA	0	NA	110
DEL	2407	2458	751	5751	0.7622	0.2994	0.4299	110
Total	2328	2377	706	16976	0.7673	0.1228	0.2117	133
INS	0	0	0	11144	NA	0	NA	133
DEL	2328	2377	706	5832	0.7673	0.2896	0.4205	133
Total	2211	2253	665	17100	0.7688	0.1164	0.2022	167
INS	0	0	0	11144	NA	0	NA	167
DEL	2211	2253	665	5956	0.7688	0.2745	0.4046	167
Total	2158	2204	652	17149	0.768	0.1139	0.1984	180
INS	0	0	0	11144	NA	0	NA	180
DEL	2158	2204	652	6005	0.768	0.2685	0.3979	180
Total	1937	1981	565	17372	0.7742	0.1024	0.1809	250
INS	0	0	0	11144	NA	0	NA	250
DEL	1937	1981	565	6228	0.7742	0.2413	0.3679	250
Total	1699	1737	492	17616	0.7754	0.0898	0.161	350
INS	0	0	0	11144	NA	0	NA	350
DEL	1699	1737	492	6472	0.7754	0.2116	0.3325	350
Total	1412	1448	452	17905	0.7575	0.0748	0.1362	450
INS	0	0	0	11144	NA	0	NA	450
DEL	1412	1448	452	6761	0.7575	0.1764	0.2862	450
Total	1160	1184	396	18169	0.7455	0.0612	0.1131	550
INS	0	0	0	11144	NA	0	NA	550
DEL	1160	1184	396	7025	0.7455	0.1442	0.2417	550
Total	938	957	349	18396	0.7288	0.0494	0.0925	650
INS	0	0	0	11144	NA	0	NA	650
DEL	938	957	349	7252	0.7288	0.1166	0.201	650
