type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2296	2288	123	6968	0.9492	0.2472	0.3922	0
INS	0	0	0	5274	NA	0	NA	0
DEL	2296	2288	123	1694	0.9492	0.5746	0.7159	0
Total	2296	2288	123	6968	0.9492	0.2472	0.3922	2
INS	0	0	0	5274	NA	0	NA	2
DEL	2296	2288	123	1694	0.9492	0.5746	0.7159	2
Total	2296	2288	123	6968	0.9492	0.2472	0.3922	3
INS	0	0	0	5274	NA	0	NA	3
DEL	2296	2288	123	1694	0.9492	0.5746	0.7159	3
Total	2296	2288	123	6968	0.9492	0.2472	0.3922	4
INS	0	0	0	5274	NA	0	NA	4
DEL	2296	2288	123	1694	0.9492	0.5746	0.7159	4
Total	2292	2284	122	6972	0.9495	0.2468	0.3918	5
INS	0	0	0	5274	NA	0	NA	5
DEL	2292	2284	122	1698	0.9495	0.5736	0.7152	5
Total	2289	2281	121	6975	0.9498	0.2464	0.3913	7
INS	0	0	0	5274	NA	0	NA	7
DEL	2289	2281	121	1701	0.9498	0.5728	0.7146	7
Total	2286	2277	116	6979	0.9517	0.246	0.3909	10
INS	0	0	0	5274	NA	0	NA	10
DEL	2286	2277	116	1705	0.9517	0.5718	0.7144	10
Total	2286	2277	115	6979	0.9521	0.246	0.391	12
INS	0	0	0	5274	NA	0	NA	12
DEL	2286	2277	115	1705	0.9521	0.5718	0.7145	12
Total	2283	2274	115	6982	0.952	0.2457	0.3906	14
INS	0	0	0	5274	NA	0	NA	14
DEL	2283	2274	115	1708	0.952	0.5711	0.7139	14
Total	2273	2264	108	6992	0.9546	0.2446	0.3894	21
INS	0	0	0	5274	NA	0	NA	21
DEL	2273	2264	108	1718	0.9546	0.5686	0.7127	21
Total	2267	2258	102	6998	0.9569	0.2439	0.3887	27
INS	0	0	0	5274	NA	0	NA	27
DEL	2267	2258	102	1724	0.9569	0.5671	0.7121	27
Total	2255	2246	98	7010	0.9584	0.2427	0.3873	35
INS	0	0	0	5274	NA	0	NA	35
DEL	2255	2246	98	1736	0.9584	0.564	0.7101	35
Total	2235	2225	91	7031	0.9609	0.2404	0.3846	45
INS	0	0	0	5274	NA	0	NA	45
DEL	2235	2225	91	1757	0.9609	0.5588	0.7067	45
Total	2232	2222	89	7034	0.9617	0.2401	0.3843	50
INS	0	0	0	5274	NA	0	NA	50
DEL	2232	2222	89	1760	0.9617	0.558	0.7062	50
Total	2205	2196	83	7060	0.9637	0.2373	0.3808	60
INS	0	0	0	5274	NA	0	NA	60
DEL	2205	2196	83	1786	0.9637	0.5515	0.7015	60
Total	2166	2157	79	7099	0.9648	0.233	0.3754	75
INS	0	0	0	5274	NA	0	NA	75
DEL	2166	2157	79	1825	0.9648	0.5417	0.6938	75
Total	2142	2134	76	7122	0.9657	0.2306	0.3723	90
INS	0	0	0	5274	NA	0	NA	90
DEL	2142	2134	76	1848	0.9657	0.5359	0.6893	90
Total	2113	2106	74	7150	0.9662	0.2275	0.3683	99
INS	0	0	0	5274	NA	0	NA	99
DEL	2113	2106	74	1876	0.9662	0.5289	0.6836	99
Total	2094	2087	72	7169	0.9668	0.2255	0.3657	110
INS	0	0	0	5274	NA	0	NA	110
DEL	2094	2087	72	1895	0.9668	0.5241	0.6797	110
Total	2036	2030	63	7226	0.97	0.2193	0.3577	133
INS	0	0	0	5274	NA	0	NA	133
DEL	2036	2030	63	1952	0.97	0.5098	0.6683	133
Total	1943	1938	59	7318	0.9705	0.2094	0.3445	167
INS	0	0	0	5274	NA	0	NA	167
DEL	1943	1938	59	2044	0.9705	0.4867	0.6483	167
Total	1910	1905	57	7351	0.971	0.2058	0.3396	180
INS	0	0	0	5274	NA	0	NA	180
DEL	1910	1905	57	2077	0.971	0.4784	0.641	180
Total	1740	1738	36	7518	0.9797	0.1878	0.3152	250
INS	0	0	0	5274	NA	0	NA	250
DEL	1740	1738	36	2244	0.9797	0.4365	0.6039	250
Total	1559	1558	30	7698	0.9811	0.1683	0.2873	350
INS	0	0	0	5274	NA	0	NA	350
DEL	1559	1558	30	2424	0.9811	0.3913	0.5595	350
Total	1342	1343	25	7913	0.9817	0.1451	0.2528	450
INS	0	0	0	5274	NA	0	NA	450
DEL	1342	1343	25	2639	0.9817	0.3373	0.5021	450
Total	1146	1146	18	8110	0.9845	0.1238	0.2199	550
INS	0	0	0	5274	NA	0	NA	550
DEL	1146	1146	18	2836	0.9845	0.2878	0.4454	550
Total	959	958	15	8298	0.9846	0.1035	0.1873	650
INS	0	0	0	5274	NA	0	NA	650
DEL	959	958	15	3024	0.9846	0.2406	0.3867	650
