type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1979	1974	440	7277	0.8181	0.2134	0.3385	0
INS	0	0	0	5273	NA	0	NA	0
DEL	1979	1974	440	2004	0.8181	0.4962	0.6177	0
Total	1979	1974	440	7277	0.8181	0.2134	0.3385	2
INS	0	0	0	5273	NA	0	NA	2
DEL	1979	1974	440	2004	0.8181	0.4962	0.6177	2
Total	1979	1974	440	7277	0.8181	0.2134	0.3385	3
INS	0	0	0	5273	NA	0	NA	3
DEL	1979	1974	440	2004	0.8181	0.4962	0.6177	3
Total	1979	1974	440	7277	0.8181	0.2134	0.3385	4
INS	0	0	0	5273	NA	0	NA	4
DEL	1979	1974	440	2004	0.8181	0.4962	0.6177	4
Total	1975	1970	439	7281	0.8181	0.2129	0.3379	5
INS	0	0	0	5273	NA	0	NA	5
DEL	1975	1970	439	2008	0.8181	0.4952	0.617	5
Total	1972	1967	438	7284	0.8183	0.2126	0.3375	7
INS	0	0	0	5273	NA	0	NA	7
DEL	1972	1967	438	2011	0.8183	0.4945	0.6165	7
Total	1970	1964	432	7287	0.8201	0.2123	0.3373	10
INS	0	0	0	5273	NA	0	NA	10
DEL	1970	1964	432	2014	0.8201	0.4937	0.6164	10
Total	1970	1964	431	7287	0.8205	0.2123	0.3373	12
INS	0	0	0	5273	NA	0	NA	12
DEL	1970	1964	431	2014	0.8205	0.4937	0.6165	12
Total	1969	1963	429	7288	0.8211	0.2122	0.3372	14
INS	0	0	0	5273	NA	0	NA	14
DEL	1969	1963	429	2015	0.8211	0.4935	0.6165	14
Total	1961	1955	420	7296	0.8236	0.2113	0.3363	21
INS	0	0	0	5273	NA	0	NA	21
DEL	1961	1955	420	2023	0.8236	0.4915	0.6156	21
Total	1957	1951	412	7300	0.8261	0.2109	0.336	27
INS	0	0	0	5273	NA	0	NA	27
DEL	1957	1951	412	2027	0.8261	0.4904	0.6154	27
Total	1945	1939	408	7312	0.8266	0.2096	0.3344	35
INS	0	0	0	5273	NA	0	NA	35
DEL	1945	1939	408	2039	0.8266	0.4874	0.6132	35
Total	1927	1921	399	7330	0.8285	0.2077	0.3321	45
INS	0	0	0	5273	NA	0	NA	45
DEL	1927	1921	399	2057	0.8285	0.4829	0.6102	45
Total	1925	1919	396	7332	0.8294	0.2074	0.3318	50
INS	0	0	0	5273	NA	0	NA	50
DEL	1925	1919	396	2059	0.8294	0.4824	0.61	50
Total	1900	1895	388	7356	0.8304	0.2048	0.3286	60
INS	0	0	0	5273	NA	0	NA	60
DEL	1900	1895	388	2083	0.8304	0.4764	0.6055	60
Total	1866	1861	379	7390	0.8312	0.2012	0.324	75
INS	0	0	0	5273	NA	0	NA	75
DEL	1866	1861	379	2117	0.8312	0.4678	0.5987	75
Total	1843	1839	375	7412	0.8309	0.1988	0.3208	90
INS	0	0	0	5273	NA	0	NA	90
DEL	1843	1839	375	2139	0.8309	0.4623	0.5941	90
Total	1818	1815	369	7436	0.8313	0.1962	0.3175	99
INS	0	0	0	5273	NA	0	NA	99
DEL	1818	1815	369	2163	0.8313	0.4563	0.5892	99
Total	1802	1799	364	7452	0.8319	0.1945	0.3153	110
INS	0	0	0	5273	NA	0	NA	110
DEL	1802	1799	364	2179	0.8319	0.4522	0.5859	110
Total	1751	1748	348	7503	0.8342	0.189	0.3082	133
INS	0	0	0	5273	NA	0	NA	133
DEL	1751	1748	348	2230	0.8342	0.4394	0.5756	133
Total	1669	1666	333	7585	0.8337	0.1801	0.2962	167
INS	0	0	0	5273	NA	0	NA	167
DEL	1669	1666	333	2312	0.8337	0.4188	0.5575	167
Total	1636	1633	331	7618	0.8317	0.1765	0.2912	180
INS	0	0	0	5273	NA	0	NA	180
DEL	1636	1633	331	2345	0.8317	0.4105	0.5497	180
Total	1482	1481	294	7770	0.8345	0.1601	0.2687	250
INS	0	0	0	5273	NA	0	NA	250
DEL	1482	1481	294	2497	0.8345	0.3723	0.5149	250
Total	1318	1317	271	7934	0.8295	0.1424	0.2431	350
INS	0	0	0	5273	NA	0	NA	350
DEL	1318	1317	271	2661	0.8295	0.3311	0.4733	350
Total	1109	1109	258	8142	0.8113	0.1199	0.2089	450
INS	0	0	0	5273	NA	0	NA	450
DEL	1109	1109	258	2869	0.8113	0.2788	0.415	450
Total	922	921	242	8330	0.7921	0.0996	0.177	550
INS	0	0	0	5273	NA	0	NA	550
DEL	922	921	242	3057	0.7921	0.2315	0.3583	550
Total	746	744	228	8507	0.7659	0.0804	0.1455	650
INS	0	0	0	5273	NA	0	NA	650
DEL	746	744	228	3234	0.7659	0.187	0.3006	650
