type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	15662	16027	2721	3390	0.852	0.8254	0.8385	0
INS	9347	9394	1566	1802	0.8565	0.839	0.8477	0
DEL	6315	6633	1155	1588	0.8454	0.8068	0.8256	0
Total	15646	16012	2702	3405	0.8527	0.8246	0.8384	2
INS	9332	9380	1548	1816	0.8577	0.8378	0.8476	2
DEL	6314	6632	1154	1589	0.8455	0.8067	0.8256	2
Total	15643	16009	2701	3408	0.8528	0.8245	0.8384	3
INS	9330	9378	1547	1818	0.8578	0.8376	0.8476	3
DEL	6313	6631	1154	1590	0.8455	0.8066	0.8256	3
Total	15639	16006	2699	3411	0.8528	0.8243	0.8383	4
INS	9326	9375	1546	1821	0.8578	0.8374	0.8475	4
DEL	6313	6631	1153	1590	0.8456	0.8066	0.8256	4
Total	15631	15999	2698	3418	0.8528	0.824	0.8382	5
INS	9320	9370	1546	1826	0.8577	0.8369	0.8472	5
DEL	6311	6629	1152	1592	0.8456	0.8063	0.8255	5
Total	15615	15983	2691	3434	0.853	0.8231	0.8378	7
INS	9309	9359	1543	1837	0.8578	0.8359	0.8467	7
DEL	6306	6624	1148	1597	0.846	0.8057	0.8254	7
Total	15602	15969	2687	3448	0.8531	0.8224	0.8375	10
INS	9299	9348	1539	1848	0.858	0.8349	0.8463	10
DEL	6303	6621	1148	1600	0.8459	0.8054	0.8252	10
Total	15590	15958	2681	3459	0.8533	0.8219	0.8373	12
INS	9289	9338	1535	1858	0.8582	0.834	0.8459	12
DEL	6301	6620	1146	1601	0.8461	0.8053	0.8252	12
Total	15577	15944	2675	3473	0.8534	0.8211	0.8369	14
INS	9277	9326	1530	1870	0.8584	0.833	0.8455	14
DEL	6300	6618	1145	1603	0.8462	0.805	0.8251	14
Total	15538	15902	2663	3515	0.8537	0.819	0.836	21
INS	9243	9290	1523	1906	0.8585	0.8298	0.8439	21
DEL	6295	6612	1140	1609	0.8467	0.8043	0.825	21
Total	15498	15862	2641	3555	0.8544	0.8169	0.8352	27
INS	9212	9258	1511	1938	0.8591	0.8269	0.8427	27
DEL	6286	6604	1130	1617	0.8476	0.8033	0.8249	27
Total	15427	15789	2618	3628	0.8549	0.8132	0.8335	35
INS	9158	9203	1497	1993	0.8595	0.822	0.8403	35
DEL	6269	6586	1121	1635	0.8483	0.8011	0.824	35
Total	15323	15679	2589	3738	0.8555	0.8075	0.8308	45
INS	9078	9117	1479	2079	0.8599	0.8143	0.8365	45
DEL	6245	6562	1110	1659	0.8491	0.7982	0.8229	45
Total	15270	15623	2574	3794	0.8557	0.8046	0.8294	50
INS	9036	9074	1469	2122	0.8602	0.8105	0.8346	50
DEL	6234	6549	1105	1672	0.8494	0.7966	0.8222	50
Total	15196	15548	2545	3869	0.8565	0.8007	0.8277	60
INS	8979	9018	1454	2178	0.8606	0.8055	0.8321	60
DEL	6217	6530	1091	1691	0.8507	0.7943	0.8215	60
Total	15040	15394	2513	4023	0.8568	0.7928	0.8236	75
INS	8872	8914	1434	2282	0.8609	0.7962	0.8273	75
DEL	6168	6480	1079	1741	0.8511	0.7882	0.8184	75
Total	14920	15278	2470	4139	0.858	0.7868	0.8209	90
INS	8787	8832	1410	2364	0.8617	0.7889	0.8237	90
DEL	6133	6446	1060	1775	0.8526	0.7841	0.8169	90
Total	14835	15191	2449	4226	0.8583	0.7824	0.8186	99
INS	8732	8777	1396	2419	0.8622	0.7839	0.8212	99
DEL	6103	6414	1053	1807	0.8529	0.7802	0.8149	99
Total	14752	15106	2411	4311	0.8595	0.778	0.8167	110
INS	8677	8721	1381	2475	0.8627	0.7789	0.8187	110
DEL	6075	6385	1030	1836	0.855	0.7767	0.814	110
Total	14509	14852	2357	4565	0.8603	0.7649	0.8098	133
INS	8518	8560	1356	2636	0.8627	0.7646	0.8107	133
DEL	5991	6292	1001	1929	0.8568	0.7654	0.8085	133
Total	14165	14500	2236	4917	0.8637	0.7468	0.801	167
INS	8283	8323	1304	2873	0.864	0.7434	0.7992	167
DEL	5882	6177	932	2044	0.8632	0.7514	0.8034	167
Total	14042	14375	2204	5042	0.8643	0.7403	0.7975	180
INS	8211	8252	1290	2944	0.8642	0.737	0.7955	180
DEL	5831	6123	914	2098	0.8645	0.7448	0.8002	180
Total	13183	13488	1976	5929	0.8696	0.6946	0.7723	250
INS	7668	7707	1170	3489	0.8676	0.6884	0.7677	250
DEL	5515	5781	806	2440	0.8725	0.7032	0.7788	250
Total	11805	12103	1691	7314	0.8747	0.6233	0.7279	350
INS	6840	6890	1010	4306	0.8713	0.6154	0.7213	350
DEL	4965	5213	681	3008	0.8794	0.6341	0.7369	350
Total	10443	10705	1425	8712	0.8799	0.5513	0.6779	450
INS	6044	6094	863	5102	0.8751	0.5443	0.6712	450
DEL	4399	4611	562	3610	0.8867	0.5609	0.6871	450
Total	9176	9421	1162	9996	0.8876	0.4852	0.6274	550
INS	5317	5374	719	5822	0.8809	0.48	0.6214	550
DEL	3859	4047	443	4174	0.897	0.4923	0.6357	550
Total	8039	8259	960	11158	0.8933	0.4253	0.5762	650
INS	4678	4732	601	6464	0.8862	0.4227	0.5724	650
DEL	3361	3527	359	4694	0.9035	0.429	0.5818	650
