type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	12212	12485	6124	6868	0.666	0.6451	0.6554	0
INS	7145	7204	3735	3940	0.6567	0.6464	0.6515	0
DEL	5067	5281	2389	2928	0.6796	0.6433	0.661	0
Total	12202	12476	6099	6877	0.6667	0.6447	0.6555	2
INS	7136	7196	3711	3948	0.6579	0.6457	0.6517	2
DEL	5066	5280	2388	2929	0.6796	0.6432	0.6609	2
Total	12200	12474	6097	6879	0.6668	0.6446	0.6555	3
INS	7134	7194	3710	3950	0.6579	0.6455	0.6516	3
DEL	5066	5280	2387	2929	0.6797	0.6432	0.6609	3
Total	12197	12472	6094	6881	0.6668	0.6444	0.6554	4
INS	7131	7192	3708	3952	0.6579	0.6454	0.6516	4
DEL	5066	5280	2386	2929	0.6798	0.6432	0.661	4
Total	12194	12469	6088	6884	0.667	0.6443	0.6555	5
INS	7129	7190	3704	3954	0.6581	0.6452	0.6516	5
DEL	5065	5279	2384	2930	0.68	0.6431	0.661	5
Total	12187	12462	6073	6891	0.6674	0.6439	0.6554	7
INS	7124	7185	3695	3959	0.6585	0.6447	0.6515	7
DEL	5063	5277	2378	2932	0.6804	0.6428	0.6611	7
Total	12178	12453	6065	6900	0.6675	0.6435	0.6553	10
INS	7118	7179	3687	3965	0.6588	0.6442	0.6514	10
DEL	5060	5274	2378	2935	0.6803	0.6425	0.6609	10
Total	12172	12448	6053	6905	0.6679	0.6432	0.6553	12
INS	7114	7175	3677	3969	0.6593	0.6438	0.6515	12
DEL	5058	5273	2376	2936	0.6804	0.6423	0.6608	12
Total	12161	12438	6045	6915	0.668	0.6427	0.6551	14
INS	7104	7166	3670	3978	0.6594	0.643	0.6511	14
DEL	5057	5272	2375	2937	0.6804	0.6422	0.6607	14
Total	12135	12411	6020	6942	0.6684	0.6413	0.6546	21
INS	7083	7145	3650	3999	0.6599	0.6412	0.6504	21
DEL	5052	5266	2370	2943	0.6807	0.6415	0.6605	21
Total	12115	12388	5982	6965	0.6694	0.6401	0.6544	27
INS	7068	7127	3625	4017	0.661	0.6395	0.6501	27
DEL	5047	5261	2357	2948	0.6817	0.6409	0.6607	27
Total	12089	12361	5915	6992	0.6715	0.6387	0.6547	35
INS	7055	7113	3571	4031	0.6639	0.6383	0.6508	35
DEL	5034	5248	2344	2961	0.6823	0.6393	0.6601	35
Total	12037	12305	5837	7048	0.6734	0.6358	0.6541	45
INS	7018	7072	3511	4072	0.6665	0.6346	0.6502	45
DEL	5019	5233	2326	2976	0.6833	0.6375	0.6596	45
Total	12008	12275	5796	7078	0.6745	0.6343	0.6538	50
INS	6996	7051	3479	4093	0.6679	0.6327	0.6498	50
DEL	5012	5224	2317	2985	0.6839	0.6364	0.6593	50
Total	11960	12226	5741	7127	0.6757	0.6317	0.653	60
INS	6960	7015	3443	4129	0.669	0.6295	0.6486	60
DEL	5000	5211	2298	2998	0.6851	0.6348	0.659	60
Total	11883	12149	5635	7204	0.6783	0.6278	0.6521	75
INS	6907	6964	3371	4180	0.672	0.6249	0.6476	75
DEL	4976	5185	2264	3024	0.6873	0.6316	0.6583	75
Total	11822	12085	5538	7268	0.681	0.6245	0.6515	90
INS	6866	6922	3304	4222	0.6751	0.6211	0.647	90
DEL	4956	5163	2234	3046	0.6893	0.6289	0.6577	90
Total	11777	12040	5481	7313	0.6824	0.6221	0.6509	99
INS	6837	6892	3267	4252	0.6767	0.6184	0.6462	99
DEL	4940	5148	2214	3061	0.6905	0.6271	0.6573	99
Total	11731	11991	5407	7362	0.6845	0.6196	0.6504	110
INS	6809	6863	3226	4281	0.6785	0.6158	0.6456	110
DEL	4922	5128	2181	3081	0.6929	0.6247	0.657	110
Total	11567	11820	5280	7533	0.6866	0.6108	0.6465	133
INS	6706	6758	3149	4386	0.6805	0.6064	0.6413	133
DEL	4861	5062	2131	3147	0.6952	0.6166	0.6535	133
Total	11334	11577	5052	7776	0.6917	0.5982	0.6416	167
INS	6554	6600	3015	4544	0.6849	0.5922	0.6352	167
DEL	4780	4977	2037	3232	0.7012	0.6063	0.6503	167
Total	11243	11482	4989	7871	0.6926	0.5933	0.6391	180
INS	6503	6549	2979	4595	0.6858	0.5877	0.633	180
DEL	4740	4933	2010	3276	0.7022	0.6009	0.6476	180
Total	10601	10818	4552	8535	0.6996	0.559	0.6214	250
INS	6101	6138	2723	5006	0.6914	0.5508	0.6131	250
DEL	4500	4680	1829	3529	0.711	0.5701	0.6328	250
Total	9543	9744	3979	9609	0.7057	0.5035	0.5877	350
INS	5469	5507	2388	5637	0.6961	0.4942	0.578	350
DEL	4074	4237	1591	3972	0.7192	0.5161	0.601	350
Total	8442	8624	3437	10729	0.7107	0.4456	0.5478	450
INS	4832	4867	2069	6277	0.7002	0.4367	0.5379	450
DEL	3610	3757	1368	4452	0.7252	0.4577	0.5612	450
Total	7430	7591	2923	11762	0.7177	0.3922	0.5072	550
INS	4260	4292	1768	6852	0.7067	0.3851	0.4985	550
DEL	3170	3299	1155	4910	0.7329	0.4019	0.5191	550
Total	6530	6685	2469	12668	0.7256	0.3454	0.468	650
INS	3759	3798	1499	7346	0.7149	0.3408	0.4616	650
DEL	2771	2887	970	5322	0.7407	0.3517	0.4769	650
