type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	8103	8112	827	1144	0.9074	0.8764	0.8916	0
INS	4582	4575	437	699	0.9129	0.8675	0.8896	0
DEL	3521	3537	390	445	0.9003	0.8882	0.8942	0
Total	8100	8109	825	1147	0.9076	0.8761	0.8916	2
INS	4580	4573	435	701	0.9133	0.8671	0.8896	2
DEL	3520	3536	390	446	0.9003	0.888	0.8941	2
Total	8099	8108	825	1148	0.9076	0.876	0.8915	3
INS	4580	4573	435	701	0.9133	0.8671	0.8896	3
DEL	3519	3535	390	447	0.9002	0.8877	0.8939	3
Total	8098	8107	824	1149	0.9076	0.8759	0.8915	4
INS	4579	4572	434	702	0.9134	0.8669	0.8895	4
DEL	3519	3535	390	447	0.9002	0.8877	0.8939	4
Total	8096	8105	824	1151	0.9076	0.8756	0.8913	5
INS	4578	4571	434	703	0.9134	0.8667	0.8894	5
DEL	3518	3534	390	448	0.9002	0.8875	0.8938	5
Total	8091	8100	823	1156	0.9077	0.8751	0.8911	7
INS	4574	4567	433	707	0.9135	0.8659	0.8891	7
DEL	3517	3533	390	449	0.9002	0.8872	0.8937	7
Total	8087	8096	823	1160	0.9076	0.8747	0.8908	10
INS	4571	4564	433	710	0.9135	0.8654	0.8888	10
DEL	3516	3532	390	450	0.9002	0.887	0.8936	10
Total	8085	8094	822	1162	0.9077	0.8745	0.8908	12
INS	4569	4562	433	712	0.9134	0.865	0.8885	12
DEL	3516	3532	389	450	0.9004	0.887	0.8936	12
Total	8081	8090	821	1166	0.9078	0.874	0.8906	14
INS	4565	4558	433	716	0.9134	0.8642	0.8881	14
DEL	3516	3532	388	450	0.9006	0.887	0.8937	14
Total	8064	8073	821	1183	0.9076	0.8722	0.8895	21
INS	4548	4541	433	733	0.9131	0.861	0.8863	21
DEL	3516	3532	388	450	0.9006	0.887	0.8937	21
Total	8057	8066	819	1190	0.9077	0.8714	0.8892	27
INS	4541	4534	433	740	0.9129	0.8597	0.8855	27
DEL	3516	3532	386	450	0.9011	0.887	0.894	27
Total	8036	8045	814	1211	0.908	0.8692	0.8882	35
INS	4525	4518	430	756	0.9132	0.8567	0.884	35
DEL	3511	3527	384	455	0.9014	0.8857	0.8935	35
Total	8001	8010	808	1246	0.9083	0.8654	0.8863	45
INS	4501	4494	428	780	0.9132	0.8521	0.8816	45
DEL	3500	3516	380	466	0.9021	0.883	0.8924	45
Total	7985	7994	805	1262	0.9084	0.8637	0.8855	50
INS	4488	4481	426	793	0.9133	0.8496	0.8803	50
DEL	3497	3513	379	469	0.9022	0.8822	0.8921	50
Total	7965	7974	799	1282	0.9088	0.8615	0.8845	60
INS	4470	4463	423	811	0.9135	0.8462	0.8786	60
DEL	3495	3511	376	471	0.9029	0.8817	0.8922	60
Total	7910	7917	792	1339	0.909	0.8553	0.8813	75
INS	4431	4423	421	851	0.9132	0.8386	0.8743	75
DEL	3479	3494	371	488	0.9036	0.8774	0.8903	75
Total	7871	7878	783	1378	0.9095	0.8511	0.8793	90
INS	4402	4394	418	880	0.9133	0.8331	0.8714	90
DEL	3469	3484	365	498	0.9048	0.8749	0.8896	90
Total	7841	7849	781	1407	0.9094	0.848	0.8776	99
INS	4383	4375	417	899	0.9131	0.8295	0.8693	99
DEL	3458	3474	364	508	0.9048	0.8724	0.8883	99
Total	7817	7825	769	1431	0.9104	0.8454	0.8767	110
INS	4366	4358	414	916	0.9134	0.8263	0.8677	110
DEL	3451	3467	355	515	0.9067	0.8707	0.8883	110
Total	7740	7746	755	1510	0.9111	0.8369	0.8724	133
INS	4313	4305	409	969	0.9134	0.8163	0.8621	133
DEL	3427	3441	346	541	0.9083	0.8641	0.8856	133
Total	7620	7625	719	1631	0.9138	0.8238	0.8665	167
INS	4225	4216	393	1058	0.9149	0.7994	0.8533	167
DEL	3395	3409	326	573	0.9124	0.8561	0.8834	167
Total	7562	7568	704	1688	0.9148	0.8176	0.8635	180
INS	4186	4177	389	1097	0.915	0.792	0.8491	180
DEL	3376	3391	315	591	0.9147	0.8516	0.882	180
Total	7206	7214	636	2042	0.9189	0.7794	0.8434	250
INS	3937	3933	354	1341	0.9175	0.7457	0.8227	250
DEL	3269	3281	282	701	0.9206	0.824	0.8696	250
Total	6534	6541	549	2715	0.9225	0.7067	0.8003	350
INS	3523	3520	306	1754	0.9201	0.6674	0.7736	350
DEL	3011	3021	243	961	0.9253	0.7587	0.8338	350
Total	5866	5874	458	3382	0.9276	0.6346	0.7536	450
INS	3126	3126	261	2148	0.9229	0.5927	0.7218	450
DEL	2740	2748	197	1234	0.9329	0.6901	0.7933	450
Total	5220	5227	366	4029	0.9345	0.5647	0.704	550
INS	2762	2762	212	2512	0.9287	0.5237	0.6697	550
DEL	2458	2465	154	1517	0.941	0.619	0.7468	550
Total	4609	4615	287	4641	0.9414	0.4986	0.6519	650
INS	2439	2440	168	2834	0.9356	0.4626	0.6191	650
DEL	2170	2175	119	1807	0.948	0.5462	0.6931	650
