type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	6835	6839	2086	2412	0.7662	0.7393	0.7525	0
INS	3878	3878	1134	1395	0.7737	0.7354	0.7541	0
DEL	2957	2961	952	1017	0.7565	0.7443	0.7504	0
Total	6833	6837	2083	2414	0.7664	0.7391	0.7525	2
INS	3877	3877	1131	1396	0.7742	0.7353	0.7542	2
DEL	2956	2960	952	1018	0.7564	0.7441	0.7502	2
Total	6833	6837	2082	2414	0.7665	0.7391	0.7526	3
INS	3877	3877	1131	1396	0.7742	0.7353	0.7542	3
DEL	2956	2960	951	1018	0.7566	0.7441	0.7503	3
Total	6832	6836	2081	2415	0.7665	0.7389	0.7524	4
INS	3876	3876	1130	1397	0.7743	0.7351	0.7542	4
DEL	2956	2960	951	1018	0.7566	0.7441	0.7503	4
Total	6830	6834	2081	2417	0.7665	0.7387	0.7523	5
INS	3875	3875	1130	1398	0.7742	0.7349	0.754	5
DEL	2955	2959	951	1019	0.7565	0.7438	0.7501	5
Total	6828	6832	2077	2419	0.7668	0.7385	0.7524	7
INS	3873	3873	1127	1400	0.7746	0.7345	0.754	7
DEL	2955	2959	950	1019	0.7567	0.7438	0.7502	7
Total	6826	6830	2075	2421	0.7669	0.7383	0.7523	10
INS	3872	3872	1125	1401	0.7749	0.7343	0.7541	10
DEL	2954	2958	950	1020	0.7567	0.7436	0.7501	10
Total	6826	6830	2072	2421	0.7671	0.7383	0.7524	12
INS	3872	3872	1123	1401	0.7752	0.7343	0.7542	12
DEL	2954	2958	949	1020	0.7569	0.7436	0.7502	12
Total	6822	6826	2071	2425	0.7671	0.7379	0.7522	14
INS	3868	3868	1123	1405	0.775	0.7335	0.7537	14
DEL	2954	2958	948	1020	0.757	0.7436	0.7502	14
Total	6812	6816	2064	2435	0.7675	0.7368	0.7518	21
INS	3858	3858	1116	1415	0.7756	0.7317	0.753	21
DEL	2954	2958	948	1020	0.757	0.7436	0.7502	21
Total	6808	6812	2059	2439	0.7678	0.7364	0.7518	27
INS	3854	3854	1113	1419	0.7759	0.7309	0.7527	27
DEL	2954	2958	946	1020	0.7574	0.7436	0.7504	27
Total	6800	6804	2041	2447	0.7691	0.7355	0.7519	35
INS	3850	3850	1098	1423	0.7781	0.7301	0.7533	35
DEL	2950	2954	943	1024	0.7578	0.7426	0.7501	35
Total	6782	6786	2018	2465	0.7707	0.7335	0.7516	45
INS	3836	3836	1086	1437	0.7794	0.7275	0.7526	45
DEL	2946	2950	932	1028	0.7597	0.7416	0.7505	45
Total	6770	6774	2011	2477	0.771	0.7322	0.7511	50
INS	3826	3826	1081	1447	0.7797	0.7256	0.7517	50
DEL	2944	2948	930	1030	0.7599	0.7411	0.7504	50
Total	6756	6760	1999	2491	0.7717	0.7307	0.7506	60
INS	3814	3814	1072	1459	0.7806	0.7233	0.7509	60
DEL	2942	2946	927	1032	0.7604	0.7406	0.7504	60
Total	6730	6733	1964	2518	0.7741	0.7278	0.7502	75
INS	3795	3795	1051	1478	0.7831	0.7197	0.7501	75
DEL	2935	2938	913	1040	0.7627	0.7386	0.7505	75
Total	6713	6716	1933	2535	0.7764	0.726	0.7504	90
INS	3782	3782	1032	1491	0.7856	0.7172	0.7498	90
DEL	2931	2934	901	1044	0.7649	0.7376	0.751	90
Total	6694	6697	1921	2554	0.777	0.7239	0.7495	99
INS	3770	3769	1025	1504	0.7862	0.7148	0.7488	99
DEL	2924	2928	896	1050	0.7654	0.736	0.7504	99
Total	6681	6684	1898	2567	0.7788	0.7225	0.7496	110
INS	3760	3759	1015	1514	0.7874	0.7129	0.7483	110
DEL	2921	2925	883	1053	0.7679	0.7353	0.7512	110
Total	6627	6629	1861	2622	0.7807	0.7166	0.7473	133
INS	3722	3721	995	1552	0.7891	0.7057	0.7451	133
DEL	2905	2908	866	1070	0.7704	0.731	0.7502	133
Total	6537	6538	1795	2713	0.7846	0.7067	0.7436	167
INS	3656	3654	957	1619	0.7925	0.693	0.7394	167
DEL	2881	2884	838	1094	0.7747	0.725	0.749	167
Total	6491	6492	1768	2759	0.7859	0.7018	0.7415	180
INS	3626	3624	943	1649	0.7936	0.6873	0.7366	180
DEL	2865	2868	825	1110	0.7764	0.721	0.7477	180
Total	6195	6196	1642	3055	0.7905	0.6698	0.7252	250
INS	3413	3411	874	1862	0.7961	0.6469	0.7138	250
DEL	2782	2785	768	1193	0.7837	0.7001	0.7395	250
Total	5606	5606	1474	3645	0.7918	0.606	0.6866	350
INS	3047	3045	780	2228	0.7962	0.5775	0.6694	350
DEL	2559	2561	694	1417	0.7867	0.6438	0.7081	350
Total	5007	5007	1314	4244	0.7921	0.5412	0.643	450
INS	2685	2683	700	2590	0.7932	0.5088	0.6199	450
DEL	2322	2324	614	1654	0.7909	0.5842	0.672	450
Total	4440	4440	1144	4811	0.7951	0.4799	0.5985	550
INS	2360	2358	613	2915	0.7938	0.4472	0.5721	550
DEL	2080	2082	531	1896	0.7966	0.5234	0.6317	550
Total	3921	3921	971	5330	0.8015	0.4238	0.5544	650
INS	2085	2082	518	3191	0.801	0.3948	0.5289	650
DEL	1836	1839	453	2139	0.8021	0.4623	0.5865	650
