type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9600	10719	2470	17769	0.7954	0.3763	0.5109	0
INS	5262	5823	1067	11529	0.8314	0.3356	0.4782	0
DEL	4338	4896	1403	6240	0.7556	0.4397	0.5559	0
Total	9593	10710	2469	17778	0.7953	0.3759	0.5105	2
INS	5256	5814	1066	11538	0.8314	0.3351	0.4777	2
DEL	4337	4896	1403	6240	0.7556	0.4397	0.5559	2
Total	9531	10637	2464	17851	0.7946	0.3734	0.5081	3
INS	5209	5758	1062	11594	0.8306	0.3318	0.4742	3
DEL	4322	4879	1402	6257	0.7551	0.4381	0.5545	3
Total	9315	10392	2389	18096	0.7959	0.3648	0.5003	4
INS	5048	5562	1027	11790	0.8309	0.3205	0.4626	4
DEL	4267	4830	1362	6306	0.758	0.4337	0.5517	4
Total	9118	10168	2334	18320	0.7962	0.3569	0.4929	5
INS	4914	5403	995	11949	0.8316	0.3114	0.4531	5
DEL	4204	4765	1339	6371	0.7584	0.4279	0.5471	5
Total	8853	9904	2215	18584	0.7999	0.3477	0.4847	7
INS	4747	5229	922	12123	0.8374	0.3013	0.4432	7
DEL	4106	4675	1293	6461	0.7605	0.4198	0.541	7
Total	8500	9519	2106	18969	0.8014	0.3341	0.4716	10
INS	4520	4978	874	12374	0.838	0.2869	0.4275	10
DEL	3980	4541	1232	6595	0.7636	0.4078	0.5317	10
Total	8288	9292	2022	19196	0.8039	0.3262	0.4641	12
INS	4404	4847	825	12505	0.8422	0.2793	0.4195	12
DEL	3884	4445	1197	6691	0.7644	0.3992	0.5245	12
Total	7989	8955	1908	19533	0.8072	0.3143	0.4524	14
INS	4222	4638	775	12714	0.8449	0.2673	0.4061	14
DEL	3767	4317	1133	6819	0.7688	0.3877	0.5155	14
Total	7500	8431	1698	20057	0.8154	0.2959	0.4342	21
INS	3983	4377	686	12975	0.8531	0.2522	0.3893	21
DEL	3517	4054	1012	7082	0.7766	0.364	0.4957	21
Total	7363	8287	1609	20201	0.8207	0.2909	0.4295	27
INS	3921	4308	656	13044	0.8567	0.2483	0.385	27
DEL	3442	3979	953	7157	0.7832	0.3573	0.4907	27
Total	7224	8137	1521	20351	0.8261	0.2856	0.4245	35
INS	3843	4224	630	13128	0.8592	0.2434	0.3793	35
DEL	3381	3913	891	7223	0.7914	0.3514	0.4867	35
Total	7145	8048	1479	20440	0.8285	0.2825	0.4213	45
INS	3812	4191	621	13161	0.8599	0.2415	0.3771	45
DEL	3333	3857	858	7279	0.7953	0.3464	0.4826	45
Total	7145	8048	1479	20440	0.8285	0.2825	0.4213	50
INS	3812	4191	621	13161	0.8599	0.2415	0.3771	50
DEL	3333	3857	858	7279	0.7953	0.3464	0.4826	50
Total	7145	8048	1479	20440	0.8285	0.2825	0.4213	60
INS	3812	4191	621	13161	0.8599	0.2415	0.3771	60
DEL	3333	3857	858	7279	0.7953	0.3464	0.4826	60
Total	7145	8048	1479	20440	0.8285	0.2825	0.4213	75
INS	3812	4191	621	13161	0.8599	0.2415	0.3771	75
DEL	3333	3857	858	7279	0.7953	0.3464	0.4826	75
Total	7145	8048	1479	20440	0.8285	0.2825	0.4213	90
INS	3812	4191	621	13161	0.8599	0.2415	0.3771	90
DEL	3333	3857	858	7279	0.7953	0.3464	0.4826	90
Total	7145	8048	1479	20440	0.8285	0.2825	0.4213	99
INS	3812	4191	621	13161	0.8599	0.2415	0.3771	99
DEL	3333	3857	858	7279	0.7953	0.3464	0.4826	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
