type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2379	2374	609	3318	0.7962	0.4171	0.5474	0
INS	1665	1661	534	2340	0.7572	0.4151	0.5362	0
DEL	714	713	75	978	0.9049	0.4216	0.5752	0
Total	2376	2371	609	3321	0.796	0.4165	0.5469	2
INS	1662	1658	534	2343	0.7568	0.4144	0.5355	2
DEL	714	713	75	978	0.9049	0.4216	0.5752	2
Total	2349	2344	606	3348	0.7949	0.4118	0.5425	3
INS	1635	1631	531	2370	0.7548	0.4076	0.5293	3
DEL	714	713	75	978	0.9049	0.4216	0.5752	3
Total	2291	2287	585	3405	0.7966	0.4018	0.5342	4
INS	1577	1574	510	2427	0.7556	0.3934	0.5174	4
DEL	714	713	75	978	0.9049	0.4216	0.5752	4
Total	2236	2232	572	3460	0.7963	0.3921	0.5255	5
INS	1522	1519	497	2482	0.7538	0.3797	0.505	5
DEL	714	713	75	978	0.9049	0.4216	0.5752	5
Total	2181	2177	557	3515	0.7966	0.3825	0.5168	7
INS	1468	1465	482	2536	0.7528	0.3662	0.4927	7
DEL	713	712	75	979	0.9048	0.4211	0.5747	7
Total	2131	2129	537	3563	0.7987	0.374	0.5094	10
INS	1420	1419	462	2582	0.7545	0.3547	0.4825	10
DEL	711	710	75	981	0.9046	0.4199	0.5736	10
Total	2099	2096	528	3596	0.799	0.3682	0.5041	12
INS	1390	1388	453	2613	0.7542	0.3469	0.4752	12
DEL	709	708	75	983	0.9043	0.4187	0.5724	12
Total	2053	2050	514	3642	0.7998	0.3602	0.4967	14
INS	1345	1343	440	2658	0.7535	0.3357	0.4645	14
DEL	708	707	74	984	0.9054	0.4181	0.572	14
Total	2010	2007	490	3685	0.804	0.3526	0.4902	21
INS	1303	1301	417	2700	0.7576	0.3252	0.4551	21
DEL	707	706	73	985	0.9064	0.4175	0.5717	21
Total	1993	1990	485	3702	0.8043	0.3496	0.4874	27
INS	1288	1286	412	2715	0.7576	0.3214	0.4513	27
DEL	705	704	73	987	0.9062	0.4163	0.5705	27
Total	1967	1964	480	3728	0.8038	0.345	0.4828	35
INS	1263	1261	407	2740	0.7563	0.3152	0.445	35
DEL	704	703	73	988	0.906	0.4157	0.5699	35
Total	1962	1959	474	3733	0.8054	0.3442	0.4823	45
INS	1259	1257	401	2744	0.7584	0.3142	0.4443	45
DEL	703	702	73	989	0.9059	0.4151	0.5693	45
Total	1962	1959	474	3733	0.8054	0.3442	0.4823	50
INS	1259	1257	401	2744	0.7584	0.3142	0.4443	50
DEL	703	702	73	989	0.9059	0.4151	0.5693	50
Total	1959	1956	473	3736	0.8055	0.3436	0.4817	60
INS	1256	1254	400	2747	0.7585	0.3134	0.4435	60
DEL	703	702	73	989	0.9059	0.4151	0.5693	60
Total	1959	1956	473	3736	0.8055	0.3436	0.4817	75
INS	1256	1254	400	2747	0.7585	0.3134	0.4435	75
DEL	703	702	73	989	0.9059	0.4151	0.5693	75
Total	1959	1956	473	3736	0.8055	0.3436	0.4817	90
INS	1256	1254	400	2747	0.7585	0.3134	0.4435	90
DEL	703	702	73	989	0.9059	0.4151	0.5693	90
Total	1959	1956	473	3736	0.8055	0.3436	0.4817	99
INS	1256	1254	400	2747	0.7585	0.3134	0.4435	99
DEL	703	702	73	989	0.9059	0.4151	0.5693	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
