type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	7934	7949	4243	19180	0.6516	0.293	0.4042	0
INS	4360	4358	2080	11874	0.677	0.2685	0.3845	0
DEL	3574	3591	2163	7306	0.623	0.3295	0.431	0
Total	7931	7946	4237	19183	0.6518	0.2929	0.4042	2
INS	4357	4355	2076	11877	0.6773	0.2683	0.3843	2
DEL	3574	3591	2161	7306	0.6232	0.3295	0.4311	2
Total	7888	7903	4220	19226	0.6515	0.2913	0.4026	3
INS	4319	4317	2066	11915	0.6764	0.266	0.3818	3
DEL	3569	3586	2154	7311	0.6236	0.3291	0.4308	3
Total	7710	7734	4120	19395	0.6517	0.2851	0.3967	4
INS	4184	4182	2012	12050	0.6753	0.2576	0.3729	4
DEL	3526	3552	2108	7345	0.6258	0.326	0.4287	4
Total	7554	7582	4013	19547	0.6531	0.2795	0.3915	5
INS	4073	4073	1953	12159	0.6759	0.2509	0.366	5
DEL	3481	3509	2060	7388	0.6282	0.322	0.4258	5
Total	7296	7331	3859	19798	0.6541	0.2702	0.3824	7
INS	3884	3884	1870	12348	0.675	0.2393	0.3533	7
DEL	3412	3447	1989	7450	0.6317	0.3163	0.4215	7
Total	7007	7041	3659	20088	0.6569	0.2595	0.372	10
INS	3694	3695	1765	12537	0.6767	0.2276	0.3406	10
DEL	3313	3346	1894	7551	0.6363	0.3071	0.4143	10
Total	6840	6876	3550	20253	0.6583	0.2535	0.366	12
INS	3592	3593	1702	12639	0.6785	0.2214	0.3339	12
DEL	3248	3283	1848	7614	0.6374	0.3013	0.4092	12
Total	6547	6587	3382	20542	0.6594	0.2428	0.3549	14
INS	3404	3406	1623	12826	0.6771	0.2098	0.3203	14
DEL	3143	3181	1759	7716	0.6412	0.2919	0.4012	14
Total	6180	6227	3045	20902	0.6699	0.2295	0.3419	21
INS	3217	3221	1466	13011	0.687	0.1984	0.3079	21
DEL	2963	3006	1579	7891	0.6524	0.2759	0.3878	21
Total	6057	6106	2942	21023	0.6731	0.2251	0.3374	27
INS	3153	3155	1433	13077	0.6875	0.1944	0.3031	27
DEL	2904	2951	1509	7946	0.6581	0.2708	0.3837	27
Total	5940	5986	2837	21143	0.6768	0.2206	0.3327	35
INS	3085	3088	1402	13144	0.6875	0.1902	0.298	35
DEL	2855	2898	1435	7999	0.6655	0.2659	0.38	35
Total	5886	5930	2774	21199	0.6797	0.2186	0.3308	45
INS	3067	3070	1389	13162	0.6883	0.1891	0.2967	45
DEL	2819	2860	1385	8037	0.6706	0.2625	0.3773	45
Total	5886	5930	2774	21199	0.6797	0.2186	0.3308	50
INS	3067	3070	1389	13162	0.6883	0.1891	0.2967	50
DEL	2819	2860	1385	8037	0.6706	0.2625	0.3773	50
Total	5861	5895	2758	21234	0.68	0.2173	0.3294	60
INS	3050	3046	1377	13186	0.689	0.1877	0.295	60
DEL	2811	2849	1381	8048	0.6706	0.2614	0.3762	60
Total	5861	5895	2758	21234	0.68	0.2173	0.3294	75
INS	3050	3046	1377	13186	0.689	0.1877	0.295	75
DEL	2811	2849	1381	8048	0.6706	0.2614	0.3762	75
Total	5861	5895	2758	21234	0.68	0.2173	0.3294	90
INS	3050	3046	1377	13186	0.689	0.1877	0.295	90
DEL	2811	2849	1381	8048	0.6706	0.2614	0.3762	90
Total	5861	5895	2758	21234	0.68	0.2173	0.3294	99
INS	3050	3046	1377	13186	0.689	0.1877	0.295	99
DEL	2811	2849	1381	8048	0.6706	0.2614	0.3762	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
