type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	3423	3751	154	3585	0.9569	0.5113	0.6665	0
INS	2649	2833	118	2357	0.9574	0.5459	0.6953	0
DEL	774	918	36	1228	0.9556	0.4278	0.591	0
Total	3420	3748	154	3588	0.9569	0.5109	0.6661	2
INS	2646	2830	118	2360	0.9573	0.5453	0.6948	2
DEL	774	918	36	1228	0.9556	0.4278	0.591	2
Total	3391	3712	154	3624	0.9566	0.506	0.6619	3
INS	2617	2794	118	2396	0.9569	0.5383	0.689	3
DEL	774	918	36	1228	0.9556	0.4278	0.591	3
Total	3304	3603	151	3733	0.9563	0.4911	0.6489	4
INS	2530	2685	115	2505	0.9565	0.5173	0.6715	4
DEL	774	918	36	1228	0.9556	0.4278	0.591	4
Total	3235	3512	144	3824	0.9574	0.4787	0.6383	5
INS	2462	2595	108	2595	0.958	0.5	0.6571	5
DEL	773	917	36	1229	0.9555	0.4273	0.5905	5
Total	3157	3428	135	3908	0.959	0.4673	0.6284	7
INS	2385	2512	99	2678	0.9601	0.484	0.6436	7
DEL	772	916	36	1230	0.9554	0.4268	0.59	7
Total	3079	3341	131	3995	0.9592	0.4554	0.6176	10
INS	2308	2426	95	2764	0.9605	0.4674	0.6288	10
DEL	771	915	36	1231	0.9554	0.4264	0.5896	10
Total	3046	3304	129	4032	0.9594	0.4504	0.613	12
INS	2276	2390	93	2800	0.9607	0.4605	0.6226	12
DEL	770	914	36	1232	0.9553	0.4259	0.5891	12
Total	2956	3206	125	4130	0.9594	0.437	0.6005	14
INS	2188	2294	90	2896	0.9605	0.442	0.6054	14
DEL	768	912	35	1234	0.9564	0.425	0.5885	14
Total	2879	3122	122	4214	0.9593	0.4256	0.5896	21
INS	2114	2213	87	2977	0.9605	0.4264	0.5906	21
DEL	765	909	35	1237	0.9562	0.4236	0.5871	21
Total	2847	3089	120	4247	0.9596	0.4211	0.5853	27
INS	2083	2181	85	3009	0.9608	0.4202	0.5847	27
DEL	764	908	35	1238	0.9562	0.4231	0.5866	27
Total	2805	3048	119	4288	0.9593	0.4155	0.5799	35
INS	2044	2143	84	3047	0.9605	0.4129	0.5775	35
DEL	761	905	35	1241	0.956	0.4217	0.5852	35
Total	2791	3033	118	4303	0.9594	0.4134	0.5778	45
INS	2033	2131	83	3059	0.9608	0.4106	0.5753	45
DEL	758	902	35	1244	0.9559	0.4203	0.5839	45
Total	2791	3033	118	4303	0.9594	0.4134	0.5778	50
INS	2033	2131	83	3059	0.9608	0.4106	0.5753	50
DEL	758	902	35	1244	0.9559	0.4203	0.5839	50
Total	2791	3033	118	4303	0.9594	0.4134	0.5778	60
INS	2033	2131	83	3059	0.9608	0.4106	0.5753	60
DEL	758	902	35	1244	0.9559	0.4203	0.5839	60
Total	2791	3033	118	4303	0.9594	0.4134	0.5778	75
INS	2033	2131	83	3059	0.9608	0.4106	0.5753	75
DEL	758	902	35	1244	0.9559	0.4203	0.5839	75
Total	2791	3033	118	4303	0.9594	0.4134	0.5778	90
INS	2033	2131	83	3059	0.9608	0.4106	0.5753	90
DEL	758	902	35	1244	0.9559	0.4203	0.5839	90
Total	2791	3033	118	4303	0.9594	0.4134	0.5778	99
INS	2033	2131	83	3059	0.9608	0.4106	0.5753	99
DEL	758	902	35	1244	0.9559	0.4203	0.5839	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
