type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9098	9883	2978	16370	0.7534	0.3765	0.5021	0
INS	4230	4754	1895	8659	0.6906	0.3544	0.4684	0
DEL	4868	5129	1083	7711	0.818	0.3995	0.5368	0
Total	9093	9875	2977	16378	0.7534	0.3761	0.5017	2
INS	4226	4747	1894	8666	0.6905	0.3539	0.468	2
DEL	4867	5128	1083	7712	0.818	0.3994	0.5367	2
Total	9043	9810	2960	16443	0.7534	0.3737	0.4996	3
INS	4186	4692	1883	8721	0.6897	0.3498	0.4642	3
DEL	4857	5118	1077	7722	0.8185	0.3986	0.5361	3
Total	8840	9585	2891	16668	0.7536	0.3651	0.4919	4
INS	4055	4539	1838	8874	0.6881	0.3384	0.4537	4
DEL	4785	5046	1053	7794	0.8196	0.393	0.5313	4
Total	8697	9427	2820	16826	0.7551	0.3591	0.4867	5
INS	3960	4431	1794	8982	0.6882	0.3304	0.4465	5
DEL	4737	4996	1026	7844	0.822	0.3891	0.5282	5
Total	8452	9170	2691	17083	0.7585	0.3493	0.4783	7
INS	3813	4265	1712	9148	0.6901	0.318	0.4354	7
DEL	4639	4905	979	7935	0.8257	0.382	0.5223	7
Total	8136	8831	2550	17422	0.7614	0.3364	0.4666	10
INS	3647	4068	1610	9345	0.6937	0.3033	0.4221	10
DEL	4489	4763	940	8077	0.8269	0.371	0.5122	10
Total	7950	8637	2448	17616	0.7646	0.329	0.46	12
INS	3566	3980	1550	9433	0.697	0.2967	0.4162	12
DEL	4384	4657	898	8183	0.83	0.3627	0.5048	12
Total	7631	8304	2335	17949	0.7657	0.3163	0.4477	14
INS	3404	3803	1482	9610	0.6967	0.2835	0.403	14
DEL	4227	4501	853	8339	0.8321	0.3505	0.4932	14
Total	7152	7809	2105	18444	0.7726	0.2975	0.4296	21
INS	3216	3594	1362	9819	0.7025	0.2679	0.3879	21
DEL	3936	4215	743	8625	0.8412	0.3283	0.4723	21
Total	6990	7639	2021	18614	0.7757	0.291	0.4232	27
INS	3171	3544	1321	9869	0.7059	0.2642	0.3845	27
DEL	3819	4095	700	8745	0.8451	0.3189	0.4631	27
Total	6838	7480	1965	18773	0.7768	0.2849	0.4169	35
INS	3111	3476	1294	9937	0.7062	0.2592	0.3792	35
DEL	3727	4004	671	8836	0.8474	0.3118	0.4559	35
Total	6749	7383	1929	18870	0.7777	0.2812	0.413	45
INS	3084	3447	1281	9966	0.7065	0.257	0.3769	45
DEL	3665	3936	648	8904	0.8498	0.3065	0.4505	45
Total	6749	7383	1929	18870	0.7777	0.2812	0.413	50
INS	3084	3447	1281	9966	0.7065	0.257	0.3769	50
DEL	3665	3936	648	8904	0.8498	0.3065	0.4505	50
Total	6749	7383	1929	18870	0.7777	0.2812	0.413	60
INS	3084	3447	1281	9966	0.7065	0.257	0.3769	60
DEL	3665	3936	648	8904	0.8498	0.3065	0.4505	60
Total	6749	7383	1929	18870	0.7777	0.2812	0.413	75
INS	3084	3447	1281	9966	0.7065	0.257	0.3769	75
DEL	3665	3936	648	8904	0.8498	0.3065	0.4505	75
Total	6749	7383	1929	18870	0.7777	0.2812	0.413	90
INS	3084	3447	1281	9966	0.7065	0.257	0.3769	90
DEL	3665	3936	648	8904	0.8498	0.3065	0.4505	90
Total	6749	7383	1929	18870	0.7777	0.2812	0.413	99
INS	3084	3447	1281	9966	0.7065	0.257	0.3769	99
DEL	3665	3936	648	8904	0.8498	0.3065	0.4505	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
