type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	6702	6717	4715	16648	0.587	0.2875	0.386	0
INS	2913	2912	2648	8208	0.5238	0.2619	0.3492	0
DEL	3789	3805	2067	8440	0.647	0.3107	0.4198	0
Total	6700	6715	4711	16650	0.5872	0.2874	0.3859	2
INS	2911	2910	2645	8210	0.5239	0.2617	0.349	2
DEL	3789	3805	2066	8440	0.6471	0.3107	0.4198	2
Total	6661	6677	4684	16688	0.5871	0.2858	0.3844	3
INS	2880	2878	2626	8242	0.5231	0.2588	0.3463	3
DEL	3781	3799	2058	8446	0.6475	0.3102	0.4195	3
Total	6510	6528	4570	16837	0.5875	0.2794	0.3787	4
INS	2777	2776	2557	8344	0.5206	0.2496	0.3374	4
DEL	3733	3752	2013	8493	0.6497	0.3064	0.4164	4
Total	6399	6414	4477	16951	0.5884	0.2745	0.3744	5
INS	2699	2697	2503	8423	0.5188	0.2425	0.3305	5
DEL	3700	3717	1974	8528	0.6521	0.3036	0.4143	5
Total	6207	6226	4308	17139	0.5903	0.2665	0.3672	7
INS	2587	2582	2397	8538	0.5191	0.2322	0.3209	7
DEL	3620	3644	1911	8601	0.6545	0.2976	0.4092	7
Total	5987	6017	4094	17348	0.5939	0.2575	0.3592	10
INS	2476	2473	2259	8647	0.5229	0.2224	0.3121	10
DEL	3511	3544	1835	8701	0.6568	0.2894	0.4018	10
Total	5853	5887	3949	17478	0.5971	0.252	0.3544	12
INS	2415	2411	2183	8709	0.5252	0.2168	0.3069	12
DEL	3438	3476	1766	8769	0.6606	0.2839	0.3971	12
Total	5630	5666	3775	17699	0.5986	0.2425	0.3452	14
INS	2302	2298	2091	8822	0.524	0.2067	0.2965	14
DEL	3328	3368	1684	8877	0.664	0.2751	0.389	14
Total	5306	5345	3414	18020	0.6085	0.2288	0.3326	21
INS	2173	2167	1924	8953	0.5304	0.1949	0.2851	21
DEL	3133	3178	1490	9067	0.6777	0.2595	0.3753	21
Total	5184	5220	3299	18145	0.6111	0.2234	0.3272	27
INS	2138	2132	1876	8988	0.5326	0.1917	0.2819	27
DEL	3046	3088	1423	9157	0.6816	0.2522	0.3682	27
Total	5076	5109	3209	18256	0.6127	0.2187	0.3223	35
INS	2102	2094	1832	9026	0.5343	0.1883	0.2785	35
DEL	2974	3015	1377	9230	0.6835	0.2462	0.362	35
Total	5023	5056	3143	18309	0.6151	0.2164	0.3202	45
INS	2089	2082	1810	9038	0.5358	0.1872	0.2775	45
DEL	2934	2974	1333	9271	0.6876	0.2429	0.359	45
Total	5023	5056	3143	18309	0.6151	0.2164	0.3202	50
INS	2089	2082	1810	9038	0.5358	0.1872	0.2775	50
DEL	2934	2974	1333	9271	0.6876	0.2429	0.359	50
Total	5004	5034	3127	18331	0.6154	0.2155	0.3192	60
INS	2077	2067	1800	9053	0.5357	0.1859	0.276	60
DEL	2927	2967	1327	9278	0.6881	0.2423	0.3584	60
Total	4997	5026	3124	18339	0.6153	0.2151	0.3188	75
INS	2075	2065	1798	9055	0.5358	0.1857	0.2758	75
DEL	2922	2961	1326	9284	0.6879	0.2418	0.3578	75
Total	4996	5023	3124	18342	0.6153	0.215	0.3187	90
INS	2074	2062	1798	9058	0.5356	0.1854	0.2755	90
DEL	2922	2961	1326	9284	0.6879	0.2418	0.3578	90
Total	4996	5023	3124	18342	0.6153	0.215	0.3187	99
INS	2074	2062	1798	9058	0.5356	0.1854	0.2755	99
DEL	2922	2961	1326	9284	0.6879	0.2418	0.3578	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
