type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2807	3111	557	3531	0.8344	0.4684	0.6	0
INS	2091	2362	531	2175	0.7975	0.5206	0.63	0
DEL	716	749	26	1356	0.965	0.3558	0.5199	0
Total	2804	3106	557	3536	0.8343	0.4676	0.5993	2
INS	2088	2357	531	2180	0.7973	0.5195	0.6291	2
DEL	716	749	26	1356	0.965	0.3558	0.5199	2
Total	2778	3070	553	3572	0.834	0.4622	0.5948	3
INS	2063	2322	527	2215	0.7965	0.5118	0.6232	3
DEL	715	748	26	1357	0.9649	0.3553	0.5194	3
Total	2707	2978	541	3664	0.8334	0.4484	0.5831	4
INS	1992	2230	515	2307	0.7946	0.4915	0.6073	4
DEL	715	748	26	1357	0.9649	0.3553	0.5194	4
Total	2657	2919	530	3723	0.8337	0.4395	0.5756	5
INS	1942	2171	504	2366	0.7939	0.4785	0.5971	5
DEL	715	748	26	1357	0.9649	0.3553	0.5194	5
Total	2587	2838	515	3804	0.834	0.4273	0.5651	7
INS	1875	2093	489	2444	0.7931	0.4613	0.5833	7
DEL	712	745	26	1360	0.9648	0.3539	0.5178	7
Total	2505	2742	494	3900	0.8353	0.4128	0.5525	10
INS	1793	1997	469	2540	0.7927	0.4402	0.5661	10
DEL	712	745	25	1360	0.9661	0.3539	0.518	10
Total	2480	2713	490	3929	0.835	0.4085	0.5486	12
INS	1769	1969	465	2568	0.7919	0.434	0.5607	12
DEL	711	744	25	1361	0.966	0.3534	0.5175	12
Total	2411	2638	480	4004	0.834	0.3972	0.5381	14
INS	1700	1894	456	2643	0.7885	0.4175	0.5459	14
DEL	711	744	24	1361	0.9673	0.3534	0.5177	14
Total	2367	2584	457	4058	0.8382	0.389	0.5314	21
INS	1659	1844	433	2693	0.793	0.4064	0.5374	21
DEL	708	740	24	1365	0.9672	0.3515	0.5156	21
Total	2350	2566	449	4076	0.8396	0.3863	0.5291	27
INS	1644	1828	425	2709	0.7946	0.4029	0.5347	27
DEL	706	738	24	1367	0.9671	0.3506	0.5146	27
Total	2332	2542	444	4100	0.8401	0.3827	0.5259	35
INS	1627	1805	420	2732	0.7948	0.3978	0.5302	35
DEL	705	737	24	1368	0.9671	0.3501	0.5141	35
Total	2320	2528	440	4114	0.8406	0.3806	0.524	45
INS	1616	1792	416	2745	0.7953	0.395	0.5278	45
DEL	704	736	24	1369	0.967	0.3496	0.5135	45
Total	2320	2528	440	4114	0.8406	0.3806	0.524	50
INS	1616	1792	416	2745	0.7953	0.395	0.5278	50
DEL	704	736	24	1369	0.967	0.3496	0.5135	50
Total	2320	2528	440	4114	0.8406	0.3806	0.524	60
INS	1616	1792	416	2745	0.7953	0.395	0.5278	60
DEL	704	736	24	1369	0.967	0.3496	0.5135	60
Total	2320	2528	440	4114	0.8406	0.3806	0.524	75
INS	1616	1792	416	2745	0.7953	0.395	0.5278	75
DEL	704	736	24	1369	0.967	0.3496	0.5135	75
Total	2320	2528	440	4114	0.8406	0.3806	0.524	90
INS	1616	1792	416	2745	0.7953	0.395	0.5278	90
DEL	704	736	24	1369	0.967	0.3496	0.5135	90
Total	2320	2528	440	4114	0.8406	0.3806	0.524	99
INS	1616	1792	416	2745	0.7953	0.395	0.5278	99
DEL	704	736	24	1369	0.967	0.3496	0.5135	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
