type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2206	2213	810	3387	0.7314	0.3952	0.5131	0
INS	1538	1541	737	2045	0.676	0.4297	0.5254	0
DEL	668	672	73	1342	0.9015	0.3337	0.4871	0
Total	2204	2211	809	3389	0.7315	0.3948	0.5128	2
INS	1536	1539	736	2047	0.6761	0.4292	0.5251	2
DEL	668	672	73	1342	0.9015	0.3337	0.4871	2
Total	2180	2187	803	3413	0.7308	0.3905	0.509	3
INS	1513	1516	730	2070	0.6745	0.4228	0.5198	3
DEL	667	671	73	1343	0.9014	0.3332	0.4865	3
Total	2118	2125	784	3475	0.7298	0.3795	0.4993	4
INS	1451	1454	711	2132	0.6711	0.4055	0.5055	4
DEL	667	671	73	1343	0.9014	0.3332	0.4865	4
Total	2078	2085	768	3515	0.7301	0.3723	0.4931	5
INS	1411	1414	695	2172	0.67	0.3943	0.4964	5
DEL	667	671	73	1343	0.9014	0.3332	0.4865	5
Total	2024	2030	742	3570	0.7317	0.3625	0.4848	7
INS	1360	1362	669	2224	0.6703	0.3798	0.4849	7
DEL	664	668	73	1346	0.9009	0.3317	0.4849	7
Total	1970	1974	707	3626	0.7359	0.3525	0.4767	10
INS	1306	1306	635	2280	0.6728	0.3642	0.4726	10
DEL	664	668	72	1346	0.9022	0.3317	0.4851	10
Total	1951	1955	697	3645	0.7368	0.3491	0.4737	12
INS	1287	1287	626	2299	0.6728	0.3589	0.4681	12
DEL	664	668	71	1346	0.9034	0.3317	0.4852	12
Total	1899	1903	683	3697	0.7355	0.3398	0.4648	14
INS	1235	1235	613	2351	0.6683	0.3444	0.4546	14
DEL	664	668	70	1346	0.9046	0.3317	0.4854	14
Total	1860	1862	657	3738	0.739	0.3325	0.4586	21
INS	1199	1197	587	2389	0.6713	0.3338	0.4459	21
DEL	661	665	70	1349	0.9042	0.3302	0.4837	21
Total	1846	1848	649	3752	0.7399	0.33	0.4564	27
INS	1187	1185	579	2401	0.6721	0.3305	0.4431	27
DEL	659	663	70	1351	0.904	0.3292	0.4826	27
Total	1833	1834	640	3766	0.7412	0.3275	0.4543	35
INS	1175	1172	570	2414	0.6734	0.3268	0.44	35
DEL	658	662	70	1352	0.9038	0.3287	0.4821	35
Total	1825	1826	633	3774	0.7425	0.3261	0.4532	45
INS	1168	1165	563	2421	0.6748	0.3249	0.4386	45
DEL	657	661	70	1353	0.9037	0.3282	0.4815	45
Total	1825	1826	633	3774	0.7425	0.3261	0.4532	50
INS	1168	1165	563	2421	0.6748	0.3249	0.4386	50
DEL	657	661	70	1353	0.9037	0.3282	0.4815	50
Total	1820	1821	633	3779	0.7419	0.3252	0.4522	60
INS	1163	1160	563	2426	0.6738	0.3235	0.4371	60
DEL	657	661	70	1353	0.9037	0.3282	0.4815	60
Total	1819	1820	633	3780	0.7418	0.325	0.452	75
INS	1162	1159	563	2427	0.6736	0.3232	0.4368	75
DEL	657	661	70	1353	0.9037	0.3282	0.4815	75
Total	1819	1820	633	3780	0.7418	0.325	0.452	90
INS	1162	1159	563	2427	0.6736	0.3232	0.4368	90
DEL	657	661	70	1353	0.9037	0.3282	0.4815	90
Total	1819	1820	633	3780	0.7418	0.325	0.452	99
INS	1162	1159	563	2427	0.6736	0.3232	0.4368	99
DEL	657	661	70	1353	0.9037	0.3282	0.4815	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
