type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9261	10209	2676	18279	0.7758	0.3584	0.4903	0
INS	5325	5807	1186	11545	0.8178	0.3347	0.475	0
DEL	3936	4402	1490	6734	0.7254	0.3953	0.5117	0
Total	9253	10197	2676	18291	0.7757	0.3579	0.4898	2
INS	5320	5801	1186	11551	0.8177	0.3343	0.4746	2
DEL	3933	4396	1490	6740	0.7252	0.3948	0.5113	2
Total	9206	10136	2669	18352	0.7752	0.3558	0.4877	3
INS	5285	5755	1182	11597	0.8172	0.3317	0.4719	3
DEL	3921	4381	1487	6755	0.725	0.3934	0.51	3
Total	9015	9935	2612	18553	0.7754	0.3487	0.4811	4
INS	5146	5597	1152	11755	0.8171	0.3226	0.4626	4
DEL	3869	4338	1460	6798	0.726	0.3895	0.507	4
Total	8839	9741	2563	18747	0.7752	0.3419	0.4745	5
INS	5021	5445	1120	11907	0.8176	0.3138	0.4535	5
DEL	3818	4296	1443	6840	0.7257	0.3858	0.5038	5
Total	8608	9489	2470	18999	0.777	0.3331	0.4663	7
INS	4876	5275	1072	12077	0.8198	0.304	0.4435	7
DEL	3732	4214	1398	6922	0.7275	0.3784	0.4978	7
Total	8303	9172	2359	19316	0.7787	0.322	0.4556	10
INS	4692	5082	1027	12270	0.8204	0.2929	0.4317	10
DEL	3611	4090	1332	7046	0.7305	0.3673	0.4888	10
Total	8084	8944	2266	19544	0.7811	0.314	0.4479	12
INS	4561	4947	976	12405	0.8237	0.2851	0.4236	12
DEL	3523	3997	1290	7139	0.732	0.3589	0.4816	12
Total	7824	8668	2129	19820	0.7861	0.3043	0.4388	14
INS	4386	4757	914	12595	0.8275	0.2741	0.4118	14
DEL	3438	3911	1215	7225	0.7389	0.3512	0.4761	14
Total	7400	8202	1898	20286	0.7959	0.2879	0.4228	21
INS	4178	4528	817	12824	0.8364	0.2609	0.3977	21
DEL	3222	3674	1081	7462	0.7488	0.3299	0.458	21
Total	7225	8011	1832	20477	0.7977	0.2812	0.4158	27
INS	4096	4442	792	12910	0.838	0.256	0.3922	27
DEL	3129	3569	1040	7567	0.7505	0.3205	0.4492	27
Total	7072	7848	1742	20640	0.8024	0.2755	0.4102	35
INS	4023	4363	770	12989	0.8393	0.2514	0.3869	35
DEL	3049	3485	972	7651	0.7583	0.3129	0.443	35
Total	6973	7740	1681	20748	0.8058	0.2717	0.4064	45
INS	3977	4314	754	13038	0.8406	0.2486	0.3837	45
DEL	2996	3426	927	7710	0.7637	0.3077	0.4387	45
Total	6973	7740	1681	20748	0.8058	0.2717	0.4064	50
INS	3977	4314	754	13038	0.8406	0.2486	0.3837	50
DEL	2996	3426	927	7710	0.7637	0.3077	0.4387	50
Total	6973	7740	1681	20748	0.8058	0.2717	0.4064	60
INS	3977	4314	754	13038	0.8406	0.2486	0.3837	60
DEL	2996	3426	927	7710	0.7637	0.3077	0.4387	60
Total	6973	7740	1681	20748	0.8058	0.2717	0.4064	75
INS	3977	4314	754	13038	0.8406	0.2486	0.3837	75
DEL	2996	3426	927	7710	0.7637	0.3077	0.4387	75
Total	6973	7740	1681	20748	0.8058	0.2717	0.4064	90
INS	3977	4314	754	13038	0.8406	0.2486	0.3837	90
DEL	2996	3426	927	7710	0.7637	0.3077	0.4387	90
Total	6973	7740	1681	20748	0.8058	0.2717	0.4064	99
INS	3977	4314	754	13038	0.8406	0.2486	0.3837	99
DEL	2996	3426	927	7710	0.7637	0.3077	0.4387	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
