type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	6354	6334	4931	18575	0.563	0.2543	0.3504	0
INS	3409	3386	2550	11358	0.5721	0.2297	0.3278	0
DEL	2945	2948	2381	7217	0.5529	0.29	0.3805	0
Total	6349	6329	4928	18580	0.563	0.2541	0.3502	2
INS	3405	3382	2549	11362	0.5719	0.2294	0.3275	2
DEL	2944	2947	2379	7218	0.5531	0.2899	0.3804	2
Total	6309	6288	4914	18621	0.5621	0.2524	0.3484	3
INS	3373	3350	2542	11394	0.5702	0.2272	0.3249	3
DEL	2936	2938	2372	7227	0.5531	0.289	0.3796	3
Total	6169	6155	4815	18754	0.5616	0.2471	0.3432	4
INS	3263	3239	2487	11505	0.5675	0.2197	0.3168	4
DEL	2906	2916	2328	7249	0.5552	0.2869	0.3783	4
Total	6048	6038	4723	18871	0.5615	0.2424	0.3386	5
INS	3170	3143	2428	11601	0.5663	0.2132	0.3098	5
DEL	2878	2895	2295	7270	0.5564	0.2848	0.3768	5
Total	5878	5878	4582	19031	0.562	0.236	0.3324	7
INS	3069	3042	2348	11702	0.5665	0.2063	0.3025	7
DEL	2809	2836	2234	7329	0.557	0.279	0.3718	7
Total	5686	5693	4383	19216	0.5647	0.2286	0.3255	10
INS	2954	2932	2252	11812	0.5674	0.1989	0.2945	10
DEL	2732	2761	2131	7404	0.5618	0.2716	0.3662	10
Total	5549	5562	4226	19347	0.5677	0.2233	0.3205	12
INS	2870	2851	2166	11893	0.5699	0.1934	0.2888	12
DEL	2679	2711	2060	7454	0.5653	0.2667	0.3624	12
Total	5370	5381	4033	19528	0.5711	0.216	0.3134	14
INS	2753	2732	2064	12012	0.5715	0.1853	0.2799	14
DEL	2617	2649	1969	7516	0.5706	0.2606	0.3578	14
Total	5114	5121	3661	19788	0.5828	0.2056	0.304	21
INS	2634	2615	1896	12129	0.5815	0.1774	0.2719	21
DEL	2480	2506	1765	7659	0.5842	0.2465	0.3467	21
Total	4997	5000	3547	19909	0.5849	0.2007	0.2989	27
INS	2580	2562	1849	12182	0.5825	0.1738	0.2677	27
DEL	2417	2438	1698	7727	0.5874	0.2398	0.3406	27
Total	4896	4897	3421	20012	0.5887	0.1966	0.2948	35
INS	2534	2515	1808	12229	0.5836	0.1706	0.264	35
DEL	2362	2382	1613	7783	0.5942	0.2343	0.3361	35
Total	4821	4823	3339	20086	0.5908	0.1936	0.2916	45
INS	2499	2481	1784	12263	0.5835	0.1683	0.2612	45
DEL	2322	2342	1555	7823	0.5989	0.2304	0.3328	45
Total	4821	4823	3339	20086	0.5908	0.1936	0.2916	50
INS	2499	2481	1784	12263	0.5835	0.1683	0.2612	50
DEL	2322	2342	1555	7823	0.5989	0.2304	0.3328	50
Total	4801	4799	3323	20110	0.591	0.1927	0.2906	60
INS	2486	2467	1778	12277	0.583	0.1673	0.26	60
DEL	2315	2332	1545	7833	0.5997	0.2294	0.3319	60
Total	4795	4793	3321	20116	0.5908	0.1924	0.2903	75
INS	2483	2464	1777	12280	0.5829	0.1671	0.2597	75
DEL	2312	2329	1544	7836	0.5996	0.2291	0.3315	75
Total	4794	4791	3321	20118	0.5908	0.1923	0.2902	90
INS	2482	2462	1777	12282	0.5828	0.167	0.2596	90
DEL	2312	2329	1544	7836	0.5996	0.2291	0.3315	90
Total	4794	4791	3321	20118	0.5908	0.1923	0.2902	99
INS	2482	2462	1777	12282	0.5828	0.167	0.2596	99
DEL	2312	2329	1544	7836	0.5996	0.2291	0.3315	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
