type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2975	3338	236	3505	0.9265	0.4878	0.6391	0
INS	2341	2556	199	2329	0.9217	0.5232	0.6675	0
DEL	634	782	37	1176	0.9449	0.3994	0.5615	0
Total	2970	3332	236	3511	0.9264	0.4869	0.6383	2
INS	2336	2550	199	2335	0.9215	0.522	0.6665	2
DEL	634	782	37	1176	0.9449	0.3994	0.5615	2
Total	2942	3295	234	3548	0.9263	0.4815	0.6336	3
INS	2308	2513	197	2372	0.9214	0.5144	0.6602	3
DEL	634	782	37	1176	0.9449	0.3994	0.5615	3
Total	2863	3203	230	3640	0.9256	0.4681	0.6218	4
INS	2229	2421	193	2464	0.9203	0.4956	0.6443	4
DEL	634	782	37	1176	0.9449	0.3994	0.5615	4
Total	2799	3124	224	3719	0.9259	0.4565	0.6115	5
INS	2166	2343	187	2542	0.9205	0.4796	0.6306	5
DEL	633	781	37	1177	0.9448	0.3989	0.561	5
Total	2735	3046	218	3797	0.9262	0.4451	0.6013	7
INS	2103	2266	182	2619	0.9204	0.4639	0.6169	7
DEL	632	780	36	1178	0.9461	0.3984	0.5607	7
Total	2660	2963	217	3880	0.9246	0.433	0.5898	10
INS	2028	2183	181	2702	0.9181	0.4469	0.6012	10
DEL	632	780	36	1178	0.9461	0.3984	0.5607	10
Total	2624	2923	212	3920	0.9252	0.4272	0.5845	12
INS	1993	2144	176	2741	0.9189	0.4389	0.5941	12
DEL	631	779	36	1179	0.946	0.3979	0.5602	12
Total	2554	2849	201	3994	0.927	0.4163	0.5746	14
INS	1926	2073	166	2812	0.9207	0.4244	0.581	14
DEL	628	776	35	1182	0.9472	0.3963	0.5588	14
Total	2472	2756	186	4087	0.93	0.4027	0.562	21
INS	1847	1983	151	2902	0.9244	0.4059	0.5641	21
DEL	625	773	35	1185	0.947	0.3948	0.5573	21
Total	2449	2731	184	4112	0.9301	0.3991	0.5585	27
INS	1825	1959	149	2926	0.9245	0.401	0.5594	27
DEL	624	772	35	1186	0.9469	0.3943	0.5568	27
Total	2417	2693	179	4150	0.931	0.3935	0.5532	35
INS	1797	1926	144	2959	0.9258	0.3943	0.5531	35
DEL	620	767	35	1191	0.9466	0.3917	0.5541	35
Total	2395	2668	178	4175	0.9308	0.3899	0.5496	45
INS	1776	1902	143	2983	0.9255	0.3894	0.5482	45
DEL	619	766	35	1192	0.9465	0.3912	0.5536	45
Total	2395	2668	178	4175	0.9308	0.3899	0.5496	50
INS	1776	1902	143	2983	0.9255	0.3894	0.5482	50
DEL	619	766	35	1192	0.9465	0.3912	0.5536	50
Total	2395	2668	178	4175	0.9308	0.3899	0.5496	60
INS	1776	1902	143	2983	0.9255	0.3894	0.5482	60
DEL	619	766	35	1192	0.9465	0.3912	0.5536	60
Total	2395	2668	178	4175	0.9308	0.3899	0.5496	75
INS	1776	1902	143	2983	0.9255	0.3894	0.5482	75
DEL	619	766	35	1192	0.9465	0.3912	0.5536	75
Total	2395	2668	178	4175	0.9308	0.3899	0.5496	90
INS	1776	1902	143	2983	0.9255	0.3894	0.5482	90
DEL	619	766	35	1192	0.9465	0.3912	0.5536	90
Total	2395	2668	178	4175	0.9308	0.3899	0.5496	99
INS	1776	1902	143	2983	0.9255	0.3894	0.5482	99
DEL	619	766	35	1192	0.9465	0.3912	0.5536	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
