type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2264	2265	648	3427	0.7775	0.3979	0.5264	0
INS	1678	1679	569	2322	0.7468	0.4196	0.5373	0
DEL	586	586	79	1105	0.8812	0.3465	0.4974	0
Total	2260	2261	647	3431	0.7774	0.3972	0.5258	2
INS	1674	1675	568	2326	0.7467	0.4186	0.5365	2
DEL	586	586	79	1105	0.8812	0.3465	0.4974	2
Total	2234	2235	643	3457	0.7765	0.3927	0.5216	3
INS	1648	1649	564	2352	0.745	0.4121	0.5307	3
DEL	586	586	79	1105	0.8812	0.3465	0.4974	3
Total	2162	2163	633	3529	0.7735	0.38	0.5096	4
INS	1576	1577	554	2424	0.7399	0.3942	0.5144	4
DEL	586	586	79	1105	0.8812	0.3465	0.4974	4
Total	2111	2112	617	3580	0.7738	0.371	0.5015	5
INS	1525	1526	539	2475	0.7389	0.3814	0.5031	5
DEL	586	586	78	1105	0.8825	0.3465	0.4976	5
Total	2060	2061	601	3631	0.7741	0.3621	0.4934	7
INS	1475	1476	524	2525	0.7379	0.3689	0.4919	7
DEL	585	585	77	1106	0.8837	0.3459	0.4972	7
Total	2006	2006	591	3686	0.7724	0.3524	0.484	10
INS	1421	1421	514	2580	0.7344	0.3552	0.4788	10
DEL	585	585	77	1106	0.8837	0.3459	0.4972	10
Total	1976	1976	583	3716	0.7722	0.3472	0.479	12
INS	1392	1392	506	2609	0.7334	0.3479	0.4719	12
DEL	584	584	77	1107	0.8835	0.3454	0.4966	12
Total	1927	1927	559	3765	0.7751	0.3385	0.4712	14
INS	1346	1346	483	2655	0.7359	0.3364	0.4617	14
DEL	581	581	76	1110	0.8843	0.3436	0.4949	14
Total	1867	1866	534	3826	0.7776	0.3278	0.4612	21
INS	1289	1288	458	2713	0.7378	0.3219	0.4482	21
DEL	578	578	76	1113	0.8838	0.3418	0.493	21
Total	1849	1848	527	3844	0.7782	0.3247	0.4582	27
INS	1272	1271	451	2730	0.7382	0.3177	0.4442	27
DEL	577	577	76	1114	0.8836	0.3412	0.4923	27
Total	1824	1822	518	3870	0.7788	0.3201	0.4537	35
INS	1249	1247	443	2754	0.7382	0.3117	0.4383	35
DEL	575	575	75	1116	0.8846	0.34	0.4912	35
Total	1806	1804	514	3888	0.7784	0.3169	0.4504	45
INS	1232	1230	439	2771	0.7373	0.3074	0.4339	45
DEL	574	574	75	1117	0.8844	0.3394	0.4905	45
Total	1806	1804	514	3888	0.7784	0.3169	0.4504	50
INS	1232	1230	439	2771	0.7373	0.3074	0.4339	50
DEL	574	574	75	1117	0.8844	0.3394	0.4905	50
Total	1802	1800	513	3892	0.7784	0.3162	0.4497	60
INS	1228	1226	438	2775	0.7371	0.3064	0.4329	60
DEL	574	574	75	1117	0.8844	0.3394	0.4905	60
Total	1802	1800	513	3892	0.7784	0.3162	0.4497	75
INS	1228	1226	438	2775	0.7371	0.3064	0.4329	75
DEL	574	574	75	1117	0.8844	0.3394	0.4905	75
Total	1802	1800	513	3892	0.7784	0.3162	0.4497	90
INS	1228	1226	438	2775	0.7371	0.3064	0.4329	90
DEL	574	574	75	1117	0.8844	0.3394	0.4905	90
Total	1802	1800	513	3892	0.7784	0.3162	0.4497	99
INS	1228	1226	438	2775	0.7371	0.3064	0.4329	99
DEL	574	574	75	1117	0.8844	0.3394	0.4905	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
