type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	8144	7976	3164	20512	0.7202	0.28	0.4032	0
INS	1528	1506	400	15846	0.7925	0.0868	0.1565	0
DEL	6616	6470	2764	4666	0.7053	0.581	0.6371	0
Total	8074	7904	3147	20584	0.7195	0.2775	0.4005	2
INS	1509	1483	387	15869	0.7959	0.0855	0.1544	2
DEL	6565	6421	2760	4715	0.704	0.5766	0.634	2
Total	8060	7892	3139	20596	0.7197	0.277	0.4	3
INS	1509	1483	387	15869	0.7959	0.0855	0.1544	3
DEL	6551	6409	2752	4727	0.7042	0.5755	0.6334	3
Total	7979	7827	3080	20661	0.7215	0.2747	0.3979	4
INS	1500	1474	386	15878	0.7953	0.0849	0.1534	4
DEL	6479	6353	2694	4783	0.7063	0.5705	0.6312	4
Total	7818	7691	2976	20797	0.7243	0.27	0.3934	5
INS	1492	1466	380	15886	0.797	0.0845	0.1528	5
DEL	6326	6225	2596	4911	0.709	0.559	0.6251	5
Total	7417	7341	2757	21147	0.729	0.2577	0.3808	7
INS	1424	1403	357	15949	0.7996	0.0809	0.1469	7
DEL	5993	5938	2400	5198	0.714	0.5332	0.6105	7
Total	7059	7007	2567	21481	0.7333	0.246	0.3684	10
INS	1354	1337	340	16015	0.7993	0.0771	0.1406	10
DEL	5705	5670	2227	5466	0.7192	0.5092	0.5962	10
Total	6738	6701	2400	21787	0.7374	0.2352	0.3566	12
INS	1300	1287	320	16065	0.8025	0.0742	0.1358	12
DEL	5438	5414	2080	5722	0.7233	0.4862	0.5815	12
Total	6453	6448	2274	22040	0.7394	0.2263	0.3465	14
INS	1250	1245	302	16107	0.8054	0.0717	0.1317	14
DEL	5203	5203	1972	5933	0.7252	0.4672	0.5683	14
Total	5773	5762	1896	22726	0.7528	0.2023	0.3189	21
INS	1134	1123	268	16229	0.8088	0.0647	0.1198	21
DEL	4639	4639	1628	6497	0.7402	0.4166	0.5331	21
Total	5100	5102	1613	23386	0.7597	0.1791	0.2899	27
INS	1016	1002	243	16350	0.807	0.0577	0.1077	27
DEL	4084	4100	1370	7036	0.7488	0.3682	0.4937	27
Total	4430	4426	1409	24062	0.7587	0.1554	0.258	35
INS	898	887	216	16465	0.8061	0.0511	0.0961	35
DEL	3532	3539	1193	7597	0.7475	0.3178	0.446	35
Total	3644	3634	1167	24854	0.7574	0.1276	0.2184	45
INS	778	766	185	16586	0.8079	0.0441	0.0836	45
DEL	2866	2868	982	8268	0.7448	0.2575	0.3827	45
Total	3245	3226	1043	25262	0.7568	0.1132	0.1969	50
INS	729	722	171	16630	0.81	0.0416	0.0791	50
DEL	2516	2504	872	8632	0.7426	0.2249	0.3452	50
Total	2651	2602	890	25886	0.7487	0.0913	0.1628	60
INS	638	632	145	16720	0.8148	0.0364	0.0697	60
DEL	2013	1970	745	9166	0.7299	0.1769	0.2848	60
Total	2039	1985	716	26503	0.7401	0.0697	0.1274	75
INS	546	543	122	16809	0.8174	0.0313	0.0603	75
DEL	1493	1442	594	9694	0.7154	0.1295	0.2193	75
Total	1607	1533	582	26955	0.7341	0.0538	0.1003	90
INS	454	450	95	16902	0.827	0.0259	0.0502	90
DEL	1153	1083	487	10053	0.703	0.0973	0.1709	90
Total	1452	1381	521	27107	0.7359	0.0485	0.091	99
INS	408	402	85	16950	0.8276	0.0232	0.0451	99
DEL	1044	979	436	10157	0.7054	0.0879	0.1563	99
Total	1232	1156	452	27332	0.7316	0.0406	0.0769	110
INS	350	342	75	17010	0.8235	0.0197	0.0385	110
DEL	882	814	377	10322	0.7006	0.0731	0.1324	110
Total	897	824	324	27664	0.7346	0.0289	0.0556	133
INS	242	236	52	17116	0.8231	0.0136	0.0268	133
DEL	655	588	272	10548	0.7066	0.0528	0.0983	133
Total	636	580	239	27908	0.7269	0.0204	0.0397	167
INS	168	164	43	17188	0.7962	0.0095	0.0188	167
DEL	468	416	196	10720	0.7048	0.0374	0.071	167
Total	636	580	239	27908	0.7269	0.0204	0.0397	180
INS	168	164	43	17188	0.7962	0.0095	0.0188	180
DEL	468	416	196	10720	0.7048	0.0374	0.071	180
Total	636	580	239	27908	0.7269	0.0204	0.0397	250
INS	168	164	43	17188	0.7962	0.0095	0.0188	250
DEL	468	416	196	10720	0.7048	0.0374	0.071	250
Total	636	580	239	27908	0.7269	0.0204	0.0397	350
INS	168	164	43	17188	0.7962	0.0095	0.0188	350
DEL	468	416	196	10720	0.7048	0.0374	0.071	350
Total	636	580	239	27908	0.7269	0.0204	0.0397	450
INS	168	164	43	17188	0.7962	0.0095	0.0188	450
DEL	468	416	196	10720	0.7048	0.0374	0.071	450
Total	636	580	239	27908	0.7269	0.0204	0.0397	550
INS	168	164	43	17188	0.7962	0.0095	0.0188	550
DEL	468	416	196	10720	0.7048	0.0374	0.071	550
Total	636	580	239	27908	0.7269	0.0204	0.0397	650
INS	168	164	43	17188	0.7962	0.0095	0.0188	650
DEL	468	416	196	10720	0.7048	0.0374	0.071	650
