type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	6030	5719	4871	21410	0.5532	0.2108	0.3053	0
INS	1047	989	817	15243	0.5617	0.0609	0.1099	0
DEL	4983	4730	4054	6167	0.5514	0.4341	0.4858	0
Total	5995	5686	4824	21443	0.5541	0.2096	0.3041	2
INS	1042	985	790	15247	0.5688	0.0607	0.1097	2
DEL	4953	4701	4034	6196	0.5511	0.4314	0.484	2
Total	5984	5677	4814	21452	0.5542	0.2093	0.3038	3
INS	1042	985	790	15247	0.5688	0.0607	0.1097	3
DEL	4942	4692	4024	6205	0.5512	0.4306	0.4835	3
Total	5926	5622	4742	21507	0.5555	0.2072	0.3018	4
INS	1040	983	783	15249	0.5705	0.0606	0.1096	4
DEL	4886	4639	3959	6258	0.5524	0.4257	0.4808	4
Total	5839	5545	4583	21584	0.5603	0.2044	0.2995	5
INS	1032	978	773	15254	0.5717	0.0603	0.1091	5
DEL	4807	4567	3810	6330	0.5579	0.4191	0.4786	5
Total	5638	5376	4143	21753	0.5764	0.1982	0.295	7
INS	988	947	712	15285	0.5812	0.0583	0.106	7
DEL	4650	4429	3431	6468	0.5754	0.4064	0.4764	7
Total	5434	5198	3759	21931	0.5911	0.1916	0.2894	10
INS	956	916	666	15316	0.5894	0.0564	0.1029	10
DEL	4478	4282	3093	6615	0.5915	0.393	0.4722	10
Total	5243	5021	3487	22108	0.6006	0.1851	0.283	12
INS	935	897	622	15335	0.6005	0.0553	0.1013	12
DEL	4308	4124	2865	6773	0.6006	0.3785	0.4644	12
Total	5089	4883	3259	22246	0.6096	0.18	0.2779	14
INS	903	870	587	15362	0.606	0.0536	0.0985	14
DEL	4186	4013	2672	6884	0.6104	0.3683	0.4594	14
Total	4592	4425	2690	22704	0.6306	0.1631	0.2592	21
INS	849	820	511	15412	0.6243	0.0505	0.0934	21
DEL	3743	3605	2179	7292	0.632	0.3308	0.4343	21
Total	4108	3971	2288	23158	0.6423	0.1464	0.2384	27
INS	795	771	438	15461	0.6448	0.0475	0.0885	27
DEL	3313	3200	1850	7697	0.6417	0.2937	0.403	27
Total	3561	3473	1961	23656	0.6449	0.128	0.2136	35
INS	727	707	385	15525	0.6538	0.0436	0.0817	35
DEL	2834	2766	1576	8131	0.6426	0.2538	0.3639	35
Total	2984	2929	1621	24200	0.648	0.108	0.1851	45
INS	651	639	336	15593	0.6596	0.0394	0.0744	45
DEL	2333	2290	1285	8607	0.6448	0.2101	0.3169	45
Total	2611	2595	1463	24534	0.6409	0.0957	0.1665	50
INS	604	594	308	15638	0.6623	0.0366	0.0694	50
DEL	2007	2001	1155	8896	0.6347	0.1836	0.2848	50
Total	2140	2132	1217	24997	0.6375	0.0786	0.1399	60
INS	549	541	258	15691	0.6803	0.0333	0.0635	60
DEL	1591	1591	959	9306	0.6239	0.146	0.2366	60
Total	1661	1666	967	25463	0.632	0.0614	0.1119	75
INS	471	466	210	15766	0.6916	0.0287	0.0551	75
DEL	1190	1200	757	9697	0.6112	0.1101	0.1866	75
Total	1317	1329	762	25800	0.6335	0.049	0.091	90
INS	396	393	168	15839	0.7021	0.0242	0.0468	90
DEL	921	936	594	9961	0.6079	0.0859	0.1505	90
Total	1160	1174	688	25955	0.6277	0.0433	0.081	99
INS	348	345	154	15887	0.6932	0.0213	0.0413	99
DEL	812	829	534	10068	0.6033	0.0761	0.1352	99
Total	975	989	567	26140	0.6323	0.0365	0.069	110
INS	292	289	136	15943	0.6822	0.0178	0.0347	110
DEL	683	700	431	10197	0.6131	0.0642	0.1162	110
Total	723	738	427	26391	0.6287	0.0272	0.0521	133
INS	224	224	98	16008	0.6957	0.0138	0.0271	133
DEL	499	514	329	10383	0.6027	0.0472	0.0875	133
Total	508	519	332	26610	0.6048	0.0191	0.037	167
INS	161	161	82	16071	0.6626	0.0099	0.0195	167
DEL	347	358	250	10539	0.5812	0.0329	0.0623	167
Total	508	519	332	26610	0.6048	0.0191	0.037	180
INS	161	161	82	16071	0.6626	0.0099	0.0195	180
DEL	347	358	250	10539	0.5812	0.0329	0.0623	180
Total	508	519	332	26610	0.6048	0.0191	0.037	250
INS	161	161	82	16071	0.6626	0.0099	0.0195	250
DEL	347	358	250	10539	0.5812	0.0329	0.0623	250
Total	508	519	332	26610	0.6048	0.0191	0.037	350
INS	161	161	82	16071	0.6626	0.0099	0.0195	350
DEL	347	358	250	10539	0.5812	0.0329	0.0623	350
Total	508	519	332	26610	0.6048	0.0191	0.037	450
INS	161	161	82	16071	0.6626	0.0099	0.0195	450
DEL	347	358	250	10539	0.5812	0.0329	0.0623	450
Total	508	519	332	26610	0.6048	0.0191	0.037	550
INS	161	161	82	16071	0.6626	0.0099	0.0195	550
DEL	347	358	250	10539	0.5812	0.0329	0.0623	550
Total	508	519	332	26610	0.6048	0.0191	0.037	650
INS	161	161	82	16071	0.6626	0.0099	0.0195	650
DEL	347	358	250	10539	0.5812	0.0329	0.0623	650
