type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2333	2260	214	5076	0.916	0.3081	0.4611	0
INS	1003	1001	157	4189	0.8647	0.1929	0.3154	0
DEL	1330	1259	57	887	0.9589	0.5867	0.728	0
Total	2324	2247	214	5089	0.9157	0.3063	0.459	2
INS	995	989	157	4201	0.8637	0.1906	0.3123	2
DEL	1329	1258	57	888	0.9589	0.5862	0.7276	2
Total	2324	2247	214	5089	0.9157	0.3063	0.459	3
INS	995	989	157	4201	0.8637	0.1906	0.3123	3
DEL	1329	1258	57	888	0.9589	0.5862	0.7276	3
Total	2320	2243	213	5093	0.9159	0.3058	0.4585	4
INS	992	987	156	4203	0.8641	0.1902	0.3118	4
DEL	1328	1256	57	890	0.9588	0.5853	0.7269	4
Total	2314	2238	212	5098	0.9161	0.3051	0.4577	5
INS	987	982	155	4208	0.8643	0.1892	0.3104	5
DEL	1327	1256	57	890	0.9588	0.5853	0.7269	5
Total	2268	2198	204	5138	0.9175	0.2996	0.4517	7
INS	949	948	148	4242	0.8651	0.1827	0.3017	7
DEL	1319	1250	56	896	0.9593	0.5825	0.7249	7
Total	2225	2157	199	5179	0.9179	0.294	0.4454	10
INS	913	911	145	4279	0.8629	0.1755	0.2917	10
DEL	1312	1246	54	900	0.9605	0.5806	0.7237	10
Total	2186	2114	194	5222	0.9185	0.2882	0.4387	12
INS	887	883	140	4307	0.8637	0.1701	0.2842	12
DEL	1299	1231	54	915	0.9601	0.5736	0.7182	12
Total	2146	2077	189	5259	0.9191	0.2831	0.4329	14
INS	856	853	135	4337	0.8638	0.1644	0.2762	14
DEL	1290	1224	54	922	0.9598	0.5704	0.7156	14
Total	2044	1985	172	5351	0.9224	0.2706	0.4184	21
INS	801	801	119	4389	0.8707	0.1543	0.2621	21
DEL	1243	1184	53	962	0.9591	0.5517	0.7005	21
Total	1928	1862	155	5474	0.9256	0.2538	0.3984	27
INS	741	737	105	4453	0.8759	0.142	0.2444	27
DEL	1187	1125	50	1021	0.9596	0.5242	0.678	27
Total	1742	1678	143	5658	0.9241	0.2287	0.3667	35
INS	676	672	95	4518	0.8768	0.1295	0.2257	35
DEL	1066	1006	48	1140	0.9569	0.4688	0.6293	35
Total	1526	1460	131	5876	0.9209	0.199	0.3273	45
INS	607	607	85	4583	0.8772	0.117	0.2065	45
DEL	919	853	46	1293	0.9523	0.3975	0.5609	45
Total	1365	1294	119	6042	0.9198	0.1764	0.296	50
INS	564	559	76	4631	0.8812	0.1077	0.1919	50
DEL	801	735	43	1411	0.9491	0.3425	0.5034	50
Total	1193	1114	111	6222	0.9149	0.1519	0.2605	60
INS	507	495	70	4695	0.8787	0.0954	0.1721	60
DEL	686	619	41	1527	0.9436	0.2884	0.4418	60
Total	980	903	100	6433	0.9074	0.1231	0.2168	75
INS	432	420	61	4770	0.8763	0.0809	0.1481	75
DEL	548	483	39	1663	0.9336	0.2251	0.3627	75
Total	840	763	84	6573	0.9091	0.104	0.1866	90
INS	354	342	54	4848	0.8676	0.0659	0.1225	90
DEL	486	421	30	1725	0.9419	0.1962	0.3248	90
Total	771	698	80	6638	0.906	0.0951	0.1721	99
INS	315	303	50	4887	0.863	0.0584	0.1094	99
DEL	456	395	30	1751	0.9383	0.1841	0.3078	99
Total	668	600	71	6736	0.9039	0.0818	0.15	110
INS	260	246	45	4944	0.8525	0.0474	0.0898	110
DEL	408	354	26	1792	0.9401	0.165	0.2807	110
Total	533	473	54	6863	0.908	0.0645	0.1204	133
INS	197	187	32	5003	0.8603	0.036	0.0691	133
DEL	336	286	22	1860	0.9385	0.1333	0.2334	133
Total	394	352	49	6984	0.8894	0.048	0.0911	167
INS	136	130	29	5060	0.8242	0.025	0.0485	167
DEL	258	222	20	1924	0.9281	0.1034	0.1861	167
Total	394	352	49	6984	0.8894	0.048	0.0911	180
INS	136	130	29	5060	0.8242	0.025	0.0485	180
DEL	258	222	20	1924	0.9281	0.1034	0.1861	180
Total	394	352	49	6984	0.8894	0.048	0.0911	250
INS	136	130	29	5060	0.8242	0.025	0.0485	250
DEL	258	222	20	1924	0.9281	0.1034	0.1861	250
Total	394	352	49	6984	0.8894	0.048	0.0911	350
INS	136	130	29	5060	0.8242	0.025	0.0485	350
DEL	258	222	20	1924	0.9281	0.1034	0.1861	350
Total	394	352	49	6984	0.8894	0.048	0.0911	450
INS	136	130	29	5060	0.8242	0.025	0.0485	450
DEL	258	222	20	1924	0.9281	0.1034	0.1861	450
Total	394	352	49	6984	0.8894	0.048	0.0911	550
INS	136	130	29	5060	0.8242	0.025	0.0485	550
DEL	258	222	20	1924	0.9281	0.1034	0.1861	550
Total	394	352	49	6984	0.8894	0.048	0.0911	650
INS	136	130	29	5060	0.8242	0.025	0.0485	650
DEL	258	222	20	1924	0.9281	0.1034	0.1861	650
