type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1827	1675	574	4518	0.7609	0.2705	0.3991	0
INS	747	716	383	3605	0.6611	0.1657	0.265	0
DEL	1080	959	191	913	0.8497	0.5123	0.6392	0
Total	1823	1671	569	4522	0.7621	0.2698	0.3985	2
INS	744	713	378	3608	0.6631	0.165	0.2642	2
DEL	1079	958	191	914	0.8496	0.5118	0.6388	2
Total	1823	1671	569	4522	0.7621	0.2698	0.3985	3
INS	744	713	378	3608	0.6631	0.165	0.2642	3
DEL	1079	958	191	914	0.8496	0.5118	0.6388	3
Total	1821	1669	566	4524	0.7629	0.2695	0.3983	4
INS	743	712	375	3609	0.6646	0.1648	0.2641	4
DEL	1078	957	191	915	0.8495	0.5112	0.6383	4
Total	1819	1668	563	4525	0.7636	0.2693	0.3982	5
INS	741	711	372	3610	0.6658	0.1645	0.2638	5
DEL	1078	957	191	915	0.8495	0.5112	0.6383	5
Total	1794	1649	535	4544	0.7703	0.2663	0.3958	7
INS	722	697	346	3624	0.676	0.1613	0.2605	7
DEL	1072	952	189	920	0.8501	0.5085	0.6364	7
Total	1775	1632	509	4561	0.7771	0.2635	0.3936	10
INS	708	683	323	3638	0.6867	0.1581	0.257	10
DEL	1067	949	186	923	0.8516	0.5069	0.6355	10
Total	1753	1611	488	4582	0.7822	0.2601	0.3904	12
INS	697	672	303	3649	0.697	0.1555	0.2543	12
DEL	1056	939	185	933	0.8509	0.5016	0.6311	12
Total	1724	1588	472	4605	0.7851	0.2564	0.3866	14
INS	675	654	289	3667	0.7002	0.1514	0.249	14
DEL	1049	934	183	938	0.8515	0.4989	0.6292	14
Total	1649	1527	430	4666	0.7932	0.2466	0.3762	21
INS	641	624	252	3697	0.7178	0.1444	0.2404	21
DEL	1008	903	178	969	0.8499	0.4824	0.6155	21
Total	1560	1453	387	4740	0.8012	0.2346	0.3629	27
INS	605	591	216	3730	0.7369	0.1368	0.2308	27
DEL	955	862	171	1010	0.8481	0.4605	0.5969	27
Total	1400	1319	351	4874	0.7995	0.213	0.3364	35
INS	556	546	189	3775	0.7463	0.1264	0.2162	35
DEL	844	773	162	1099	0.839	0.4129	0.5534	35
Total	1214	1162	316	5031	0.7935	0.1876	0.3035	45
INS	504	497	164	3824	0.7545	0.115	0.1996	45
DEL	710	665	152	1207	0.8237	0.3552	0.4964	45
Total	1071	1042	294	5151	0.7846	0.1683	0.2772	50
INS	470	463	149	3858	0.7593	0.1072	0.1879	50
DEL	601	579	145	1293	0.8056	0.3093	0.447	50
Total	923	906	265	5287	0.7769	0.1463	0.2462	60
INS	432	425	124	3896	0.777	0.0984	0.1747	60
DEL	491	481	141	1391	0.7769	0.2569	0.3861	60
Total	743	743	231	5450	0.7628	0.12	0.2074	75
INS	369	364	104	3957	0.7801	0.0842	0.152	75
DEL	374	379	127	1493	0.7465	0.2025	0.3186	75
Total	630	632	196	5561	0.7627	0.1021	0.1801	90
INS	304	302	86	4019	0.7795	0.0699	0.1283	90
DEL	326	330	110	1542	0.7477	0.1763	0.2853	90
Total	577	581	181	5612	0.7612	0.0938	0.167	99
INS	270	269	77	4052	0.7781	0.0623	0.1154	99
DEL	307	312	104	1560	0.747	0.1667	0.2726	99
Total	495	499	157	5694	0.7592	0.0806	0.1457	110
INS	224	222	64	4099	0.7778	0.0514	0.0964	110
DEL	271	277	93	1595	0.7445	0.148	0.2469	110
Total	389	393	123	5800	0.7598	0.0635	0.1172	133
INS	172	172	44	4149	0.7963	0.0398	0.0758	133
DEL	217	221	79	1651	0.7331	0.1181	0.2034	133
Total	288	292	103	5901	0.7366	0.0472	0.0887	167
INS	120	120	38	4201	0.7595	0.0278	0.0536	167
DEL	168	172	65	1700	0.721	0.0919	0.163	167
Total	288	292	103	5901	0.7366	0.0472	0.0887	180
INS	120	120	38	4201	0.7595	0.0278	0.0536	180
DEL	168	172	65	1700	0.721	0.0919	0.163	180
Total	288	292	103	5901	0.7366	0.0472	0.0887	250
INS	120	120	38	4201	0.7595	0.0278	0.0536	250
DEL	168	172	65	1700	0.721	0.0919	0.163	250
Total	288	292	103	5901	0.7366	0.0472	0.0887	350
INS	120	120	38	4201	0.7595	0.0278	0.0536	350
DEL	168	172	65	1700	0.721	0.0919	0.163	350
Total	288	292	103	5901	0.7366	0.0472	0.0887	450
INS	120	120	38	4201	0.7595	0.0278	0.0536	450
DEL	168	172	65	1700	0.721	0.0919	0.163	450
Total	288	292	103	5901	0.7366	0.0472	0.0887	550
INS	120	120	38	4201	0.7595	0.0278	0.0536	550
DEL	168	172	65	1700	0.721	0.0919	0.163	550
Total	288	292	103	5901	0.7366	0.0472	0.0887	650
INS	120	120	38	4201	0.7595	0.0278	0.0536	650
DEL	168	172	65	1700	0.721	0.0919	0.163	650
