type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9057	8654	2987	17599	0.752	0.3296	0.4583	0
INS	1358	1355	713	12058	0.6557	0.101	0.175	0
DEL	7699	7299	2274	5541	0.772	0.5685	0.6548	0
Total	8987	8583	2970	17670	0.7516	0.3269	0.4556	2
INS	1342	1337	700	12076	0.6572	0.0997	0.1731	2
DEL	7645	7246	2270	5594	0.7711	0.5643	0.6517	2
Total	8974	8575	2967	17678	0.7515	0.3266	0.4553	3
INS	1342	1337	700	12076	0.6572	0.0997	0.1731	3
DEL	7632	7238	2267	5602	0.771	0.5637	0.6513	3
Total	8906	8518	2937	17735	0.752	0.3245	0.4534	4
INS	1339	1335	698	12078	0.6573	0.0995	0.1728	4
DEL	7567	7183	2239	5657	0.7717	0.5594	0.6486	4
Total	8726	8357	2852	17896	0.7537	0.3183	0.4476	5
INS	1331	1327	689	12086	0.6589	0.0989	0.172	5
DEL	7395	7030	2163	5810	0.7737	0.5475	0.6412	5
Total	8244	7932	2644	18321	0.7572	0.3021	0.4319	7
INS	1275	1271	658	12142	0.6596	0.0948	0.1658	7
DEL	6969	6661	1986	6179	0.7782	0.5188	0.6226	7
Total	7833	7554	2481	18699	0.7595	0.2877	0.4173	10
INS	1223	1217	625	12196	0.6618	0.0907	0.1595	10
DEL	6610	6337	1856	6503	0.7808	0.4935	0.6048	10
Total	7505	7255	2335	18998	0.7627	0.2763	0.4056	12
INS	1179	1175	605	12238	0.6609	0.0876	0.1547	12
DEL	6326	6080	1730	6760	0.7853	0.4735	0.5908	12
Total	7252	7008	2218	19245	0.7658	0.2669	0.3958	14
INS	1149	1140	573	12273	0.6672	0.085	0.1508	14
DEL	6103	5868	1645	6972	0.7877	0.457	0.5784	14
Total	6472	6268	1915	19985	0.7717	0.2388	0.3647	21
INS	1057	1050	515	12363	0.6724	0.0783	0.1403	21
DEL	5415	5218	1400	7622	0.7946	0.4064	0.5378	21
Total	5807	5643	1699	20610	0.7736	0.2149	0.3364	27
INS	976	968	487	12445	0.6671	0.0722	0.1303	27
DEL	4831	4675	1212	8165	0.7994	0.3641	0.5003	27
Total	5070	4917	1493	21336	0.7725	0.1873	0.3015	35
INS	885	875	435	12538	0.6705	0.0652	0.1188	35
DEL	4185	4042	1058	8798	0.7982	0.3148	0.4515	35
Total	4273	4138	1240	22115	0.7751	0.1576	0.2619	45
INS	793	783	382	12630	0.6749	0.0584	0.1075	45
DEL	3480	3355	858	9485	0.8022	0.2613	0.3942	45
Total	3871	3746	1123	22507	0.7751	0.1427	0.241	50
INS	737	725	353	12688	0.6761	0.0541	0.1002	50
DEL	3134	3021	770	9819	0.8028	0.2353	0.3639	50
Total	3200	3087	968	23166	0.7678	0.1176	0.204	60
INS	664	647	318	12766	0.6762	0.0482	0.09	60
DEL	2536	2440	650	10400	0.796	0.19	0.3068	60
Total	2517	2420	785	23833	0.7623	0.0922	0.1645	75
INS	562	549	269	12864	0.6763	0.0409	0.0771	75
DEL	1955	1871	516	10969	0.7912	0.1457	0.2461	75
Total	2021	1913	629	24340	0.7626	0.0729	0.1331	90
INS	469	454	217	12959	0.6837	0.0338	0.0644	90
DEL	1552	1459	412	11381	0.7902	0.1136	0.1986	90
Total	1813	1713	572	24540	0.7602	0.0652	0.1201	99
INS	422	408	203	13005	0.6752	0.0304	0.0582	99
DEL	1391	1305	369	11535	0.7903	0.1016	0.1801	99
Total	1517	1427	487	24826	0.757	0.0544	0.1015	110
INS	356	343	176	13070	0.6692	0.0256	0.0493	110
DEL	1161	1084	311	11756	0.7887	0.0844	0.1525	110
Total	1132	1065	364	25188	0.7567	0.0406	0.0771	133
INS	265	252	131	13161	0.6692	0.0188	0.0366	133
DEL	867	813	233	12027	0.7882	0.0633	0.1172	133
Total	757	711	260	25542	0.7443	0.0271	0.0523	167
INS	191	180	94	13233	0.6702	0.0134	0.0263	167
DEL	566	531	166	12309	0.7732	0.0414	0.0786	167
Total	757	711	260	25542	0.7443	0.0271	0.0523	180
INS	191	180	94	13233	0.6702	0.0134	0.0263	180
DEL	566	531	166	12309	0.7732	0.0414	0.0786	180
Total	757	711	260	25542	0.7443	0.0271	0.0523	250
INS	191	180	94	13233	0.6702	0.0134	0.0263	250
DEL	566	531	166	12309	0.7732	0.0414	0.0786	250
Total	757	711	260	25542	0.7443	0.0271	0.0523	350
INS	191	180	94	13233	0.6702	0.0134	0.0263	350
DEL	566	531	166	12309	0.7732	0.0414	0.0786	350
Total	757	711	260	25542	0.7443	0.0271	0.0523	450
INS	191	180	94	13233	0.6702	0.0134	0.0263	450
DEL	566	531	166	12309	0.7732	0.0414	0.0786	450
Total	757	711	260	25542	0.7443	0.0271	0.0523	550
INS	191	180	94	13233	0.6702	0.0134	0.0263	550
DEL	566	531	166	12309	0.7732	0.0414	0.0786	550
Total	757	711	260	25542	0.7443	0.0271	0.0523	650
INS	191	180	94	13233	0.6702	0.0134	0.0263	650
DEL	566	531	166	12309	0.7732	0.0414	0.0786	650
