type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	6720	6470	4886	16895	0.579	0.2769	0.3746	0
INS	991	937	993	10183	0.4995	0.0843	0.1443	0
DEL	5729	5533	3893	6712	0.5954	0.4519	0.5138	0
Total	6677	6426	4842	16939	0.5797	0.275	0.373	2
INS	985	930	970	10190	0.5038	0.0836	0.1434	2
DEL	5692	5496	3872	6749	0.5951	0.4488	0.5117	2
Total	6673	6421	4830	16944	0.5801	0.2748	0.3729	3
INS	985	930	970	10190	0.5038	0.0836	0.1434	3
DEL	5688	5491	3860	6754	0.5957	0.4484	0.5117	3
Total	6633	6383	4772	16982	0.5816	0.2732	0.3718	4
INS	985	930	965	10190	0.5051	0.0836	0.1435	4
DEL	5648	5453	3807	6792	0.5974	0.4453	0.5103	4
Total	6535	6284	4611	17081	0.5863	0.2689	0.3687	5
INS	980	925	954	10195	0.5067	0.0832	0.1429	5
DEL	5555	5359	3657	6886	0.603	0.4376	0.5072	5
Total	6321	6104	4153	17261	0.6035	0.2612	0.3646	7
INS	952	901	897	10219	0.5149	0.081	0.14	7
DEL	5369	5203	3256	7042	0.6225	0.4249	0.5051	7
Total	6082	5897	3826	17468	0.6138	0.2524	0.3577	10
INS	925	879	840	10241	0.5241	0.079	0.1373	10
DEL	5157	5018	2986	7227	0.6333	0.4098	0.4976	10
Total	5902	5737	3543	17628	0.6249	0.2455	0.3525	12
INS	902	860	801	10260	0.5297	0.0773	0.1349	12
DEL	5000	4877	2742	7368	0.6458	0.3983	0.4927	12
Total	5724	5573	3362	17792	0.63	0.2385	0.346	14
INS	883	842	760	10278	0.5374	0.0757	0.1327	14
DEL	4841	4731	2602	7514	0.6504	0.3864	0.4848	14
Total	5182	5054	2860	18311	0.6444	0.2163	0.3239	21
INS	827	790	676	10330	0.5502	0.071	0.1258	21
DEL	4355	4264	2184	7981	0.666	0.3482	0.4573	21
Total	4701	4597	2481	18768	0.6546	0.1967	0.3025	27
INS	766	738	629	10382	0.5491	0.0664	0.1185	27
DEL	3935	3859	1852	8386	0.68	0.3151	0.4306	27
Total	4133	4056	2131	19309	0.6598	0.1736	0.2749	35
INS	704	683	549	10437	0.5619	0.0614	0.1107	35
DEL	3429	3373	1582	8872	0.6843	0.2755	0.3928	35
Total	3503	3456	1738	19909	0.6684	0.1479	0.2422	45
INS	646	630	472	10490	0.5778	0.0567	0.1033	45
DEL	2857	2826	1266	9419	0.6929	0.2308	0.3463	45
Total	3164	3131	1573	20234	0.6679	0.134	0.2232	50
INS	598	582	437	10538	0.5778	0.0523	0.0959	50
DEL	2566	2549	1136	9696	0.6931	0.2082	0.3202	50
Total	2588	2585	1353	20780	0.6567	0.1106	0.1893	60
INS	539	531	393	10589	0.5783	0.0478	0.0883	60
DEL	2049	2054	960	10191	0.681	0.1677	0.2691	60
Total	2017	2026	1065	21339	0.6544	0.0867	0.1531	75
INS	456	446	323	10674	0.5854	0.0401	0.0751	75
DEL	1561	1580	742	10665	0.6778	0.129	0.2167	75
Total	1613	1619	848	21746	0.6554	0.0693	0.1253	90
INS	389	381	253	10739	0.6059	0.0343	0.0649	90
DEL	1224	1238	595	11007	0.6729	0.1011	0.1758	90
Total	1433	1443	775	21922	0.649	0.0618	0.1129	99
INS	348	342	236	10778	0.5959	0.0308	0.0586	99
DEL	1085	1101	539	11144	0.6681	0.0899	0.1585	99
Total	1190	1197	655	22168	0.645	0.0512	0.0949	110
INS	297	291	202	10829	0.5952	0.0262	0.0502	110
DEL	893	906	453	11339	0.6634	0.074	0.1331	110
Total	883	891	496	22474	0.6403	0.0381	0.0719	133
INS	220	216	152	10904	0.5914	0.0194	0.0376	133
DEL	663	675	344	11570	0.6584	0.0551	0.1017	133
Total	598	603	350	22762	0.6308	0.0258	0.0496	167
INS	156	154	111	10966	0.5843	0.0138	0.027	167
DEL	442	449	239	11796	0.649	0.0367	0.0695	167
Total	598	603	350	22762	0.6308	0.0258	0.0496	180
INS	156	154	111	10966	0.5843	0.0138	0.027	180
DEL	442	449	239	11796	0.649	0.0367	0.0695	180
Total	598	603	350	22762	0.6308	0.0258	0.0496	250
INS	156	154	111	10966	0.5843	0.0138	0.027	250
DEL	442	449	239	11796	0.649	0.0367	0.0695	250
Total	598	603	350	22762	0.6308	0.0258	0.0496	350
INS	156	154	111	10966	0.5843	0.0138	0.027	350
DEL	442	449	239	11796	0.649	0.0367	0.0695	350
Total	598	603	350	22762	0.6308	0.0258	0.0496	450
INS	156	154	111	10966	0.5843	0.0138	0.027	450
DEL	442	449	239	11796	0.649	0.0367	0.0695	450
Total	598	603	350	22762	0.6308	0.0258	0.0496	550
INS	156	154	111	10966	0.5843	0.0138	0.027	550
DEL	442	449	239	11796	0.649	0.0367	0.0695	550
Total	598	603	350	22762	0.6308	0.0258	0.0496	650
INS	156	154	111	10966	0.5843	0.0138	0.027	650
DEL	442	449	239	11796	0.649	0.0367	0.0695	650
