type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2398	2242	424	4400	0.8498	0.3375	0.4831	0
INS	928	928	363	3609	0.7188	0.2045	0.3184	0
DEL	1470	1314	61	791	0.9602	0.6242	0.7566	0
Total	2390	2231	419	4411	0.8508	0.3359	0.4816	2
INS	922	920	358	3617	0.7203	0.2028	0.3165	2
DEL	1468	1311	61	794	0.9601	0.6228	0.7555	2
Total	2390	2231	419	4411	0.8508	0.3359	0.4816	3
INS	922	920	358	3617	0.7203	0.2028	0.3165	3
DEL	1468	1311	61	794	0.9601	0.6228	0.7555	3
Total	2386	2228	419	4414	0.8506	0.3354	0.4811	4
INS	921	919	358	3618	0.7201	0.2026	0.3162	4
DEL	1465	1309	61	796	0.96	0.6219	0.7548	4
Total	2374	2216	416	4426	0.8509	0.3336	0.4793	5
INS	916	914	355	3623	0.7207	0.2015	0.3149	5
DEL	1458	1302	61	803	0.9598	0.6185	0.7522	5
Total	2336	2187	407	4455	0.8516	0.3293	0.4749	7
INS	884	888	346	3649	0.7187	0.1957	0.3076	7
DEL	1452	1299	61	806	0.9597	0.6171	0.7512	7
Total	2299	2151	395	4491	0.8534	0.3238	0.4695	10
INS	857	859	336	3678	0.7184	0.1893	0.2996	10
DEL	1442	1292	59	813	0.9607	0.6138	0.749	10
Total	2268	2118	383	4524	0.8555	0.3189	0.4646	12
INS	834	834	324	3703	0.7202	0.1838	0.2929	12
DEL	1434	1284	59	821	0.9605	0.61	0.7461	12
Total	2234	2085	368	4557	0.8586	0.3139	0.4597	14
INS	816	814	310	3723	0.7247	0.1794	0.2876	14
DEL	1418	1271	58	834	0.9607	0.6038	0.7415	14
Total	2143	1998	344	4644	0.8617	0.3008	0.4459	21
INS	766	764	287	3773	0.7274	0.1684	0.2735	21
DEL	1377	1234	57	871	0.9603	0.5862	0.728	21
Total	2044	1904	327	4738	0.8621	0.2867	0.4303	27
INS	721	718	272	3819	0.7261	0.1583	0.2599	27
DEL	1323	1186	55	919	0.9601	0.5634	0.7101	27
Total	1890	1757	299	4885	0.8634	0.2645	0.4049	35
INS	665	660	245	3877	0.7308	0.1455	0.2427	35
DEL	1225	1097	54	1008	0.9578	0.5211	0.675	35
Total	1689	1573	272	5069	0.8613	0.2368	0.3715	45
INS	598	592	221	3945	0.7302	0.1305	0.2214	45
DEL	1091	981	51	1124	0.9553	0.466	0.6264	45
Total	1568	1463	260	5179	0.8578	0.2203	0.3506	50
INS	558	550	211	3987	0.7256	0.1212	0.2077	50
DEL	1010	913	49	1192	0.9537	0.4337	0.5963	50
Total	1383	1284	239	5358	0.8527	0.1933	0.3152	60
INS	512	501	191	4036	0.7283	0.1104	0.1917	60
DEL	871	783	48	1322	0.9478	0.372	0.5343	60
Total	1161	1082	206	5560	0.8493	0.1629	0.2734	75
INS	434	424	159	4113	0.7319	0.0935	0.1658	75
DEL	727	658	47	1447	0.9393	0.3126	0.4691	75
Total	1008	926	170	5716	0.8557	0.1394	0.2397	90
INS	364	353	129	4184	0.7383	0.0778	0.1408	90
DEL	644	573	41	1532	0.9401	0.2722	0.4222	90
Total	923	847	160	5795	0.8523	0.1275	0.2218	99
INS	326	317	120	4220	0.7309	0.0699	0.1276	99
DEL	597	530	40	1575	0.9372	0.2518	0.397	99
Total	811	735	138	5907	0.8546	0.1107	0.196	110
INS	275	263	102	4274	0.7294	0.058	0.1075	110
DEL	536	472	36	1633	0.9371	0.2242	0.3618	110
Total	635	572	114	6070	0.8478	0.0861	0.1563	133
INS	202	191	80	4346	0.7163	0.0421	0.0795	133
DEL	433	381	34	1724	0.9272	0.181	0.3029	133
Total	437	395	83	6247	0.8404	0.0595	0.1111	167
INS	142	133	58	4404	0.71	0.0293	0.0563	167
DEL	295	262	25	1843	0.9219	0.1245	0.2194	167
Total	437	395	83	6247	0.8404	0.0595	0.1111	180
INS	142	133	58	4404	0.71	0.0293	0.0563	180
DEL	295	262	25	1843	0.9219	0.1245	0.2194	180
Total	437	395	83	6247	0.8404	0.0595	0.1111	250
INS	142	133	58	4404	0.71	0.0293	0.0563	250
DEL	295	262	25	1843	0.9219	0.1245	0.2194	250
Total	437	395	83	6247	0.8404	0.0595	0.1111	350
INS	142	133	58	4404	0.71	0.0293	0.0563	350
DEL	295	262	25	1843	0.9219	0.1245	0.2194	350
Total	437	395	83	6247	0.8404	0.0595	0.1111	450
INS	142	133	58	4404	0.71	0.0293	0.0563	450
DEL	295	262	25	1843	0.9219	0.1245	0.2194	450
Total	437	395	83	6247	0.8404	0.0595	0.1111	550
INS	142	133	58	4404	0.71	0.0293	0.0563	550
DEL	295	262	25	1843	0.9219	0.1245	0.2194	550
Total	437	395	83	6247	0.8404	0.0595	0.1111	650
INS	142	133	58	4404	0.71	0.0293	0.0563	650
DEL	295	262	25	1843	0.9219	0.1245	0.2194	650
