type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1927	1828	730	3772	0.7253	0.3264	0.4502	0
INS	735	712	508	2874	0.5913	0.1985	0.2972	0
DEL	1192	1116	222	898	0.843	0.5541	0.6687	0
Total	1921	1822	723	3778	0.7266	0.3254	0.4495	2
INS	731	708	501	2878	0.5933	0.1974	0.2962	2
DEL	1190	1114	222	900	0.8428	0.5531	0.6679	2
Total	1921	1822	723	3778	0.7266	0.3254	0.4495	3
INS	731	708	501	2878	0.5933	0.1974	0.2962	3
DEL	1190	1114	222	900	0.8428	0.5531	0.6679	3
Total	1919	1821	721	3779	0.7269	0.3252	0.4494	4
INS	731	708	500	2878	0.5938	0.1974	0.2963	4
DEL	1188	1113	221	901	0.8432	0.5526	0.6676	4
Total	1910	1812	715	3788	0.7276	0.3236	0.448	5
INS	727	704	496	2882	0.5944	0.1963	0.2951	5
DEL	1183	1108	219	906	0.8438	0.5501	0.666	5
Total	1887	1796	692	3804	0.7317	0.3207	0.4459	7
INS	709	690	474	2896	0.5993	0.1924	0.2913	7
DEL	1178	1106	218	908	0.8438	0.5492	0.6653	7
Total	1864	1777	667	3823	0.7365	0.3173	0.4435	10
INS	695	677	451	2909	0.6065	0.1888	0.288	10
DEL	1169	1100	216	914	0.844	0.5462	0.6632	10
Total	1848	1762	642	3838	0.7422	0.3146	0.4419	12
INS	684	667	429	2919	0.6146	0.186	0.2856	12
DEL	1164	1095	213	919	0.8453	0.5437	0.6618	12
Total	1823	1739	622	3861	0.7456	0.3105	0.4384	14
INS	672	655	411	2931	0.6205	0.1827	0.2823	14
DEL	1151	1084	211	930	0.8451	0.5382	0.6576	14
Total	1752	1674	581	3926	0.751	0.2989	0.4276	21
INS	637	623	375	2963	0.6294	0.1737	0.2723	21
DEL	1115	1051	206	963	0.8441	0.5218	0.6449	21
Total	1664	1598	558	4002	0.7489	0.2854	0.4133	27
INS	598	589	356	2997	0.6268	0.1642	0.2602	27
DEL	1066	1009	202	1005	0.8407	0.501	0.6278	27
Total	1533	1482	513	4118	0.7493	0.2646	0.3911	35
INS	557	553	316	3033	0.638	0.1542	0.2484	35
DEL	976	929	197	1085	0.8321	0.4613	0.5935	35
Total	1368	1332	459	4268	0.7488	0.2379	0.3611	45
INS	510	507	277	3079	0.648	0.1414	0.2321	45
DEL	858	825	182	1189	0.825	0.4096	0.5474	45
Total	1263	1237	435	4363	0.7438	0.2209	0.3406	50
INS	478	473	260	3113	0.6477	0.1319	0.2192	50
DEL	785	764	175	1250	0.8177	0.3793	0.5182	50
Total	1094	1084	404	4516	0.7303	0.1936	0.3061	60
INS	438	435	236	3151	0.6499	0.1213	0.2044	60
DEL	656	649	168	1365	0.7961	0.3222	0.4587	60
Total	905	906	344	4694	0.7246	0.1618	0.2645	75
INS	369	364	194	3222	0.6554	0.1015	0.1758	75
DEL	536	542	150	1472	0.7813	0.2691	0.4003	75
Total	780	780	285	4820	0.7324	0.1393	0.2341	90
INS	315	311	151	3275	0.676	0.0867	0.1537	90
DEL	465	469	134	1545	0.7763	0.2329	0.3583	90
Total	706	708	274	4892	0.7204	0.1264	0.2151	99
INS	280	278	142	3308	0.6635	0.0775	0.1388	99
DEL	426	430	132	1584	0.7634	0.2135	0.3337	99
Total	615	615	242	4985	0.7176	0.1098	0.1905	110
INS	238	235	122	3351	0.6611	0.0655	0.1192	110
DEL	377	380	120	1634	0.7586	0.1887	0.3022	110
Total	476	476	195	5124	0.7094	0.085	0.1518	133
INS	175	173	93	3413	0.653	0.0482	0.0898	133
DEL	301	303	102	1711	0.7469	0.1504	0.2504	133
Total	333	332	139	5268	0.7055	0.0593	0.1094	167
INS	121	120	68	3466	0.6402	0.0335	0.0637	167
DEL	212	212	71	1802	0.7491	0.1053	0.1846	167
Total	333	332	139	5268	0.7055	0.0593	0.1094	180
INS	121	120	68	3466	0.6402	0.0335	0.0637	180
DEL	212	212	71	1802	0.7491	0.1053	0.1846	180
Total	333	332	139	5268	0.7055	0.0593	0.1094	250
INS	121	120	68	3466	0.6402	0.0335	0.0637	250
DEL	212	212	71	1802	0.7491	0.1053	0.1846	250
Total	333	332	139	5268	0.7055	0.0593	0.1094	350
INS	121	120	68	3466	0.6402	0.0335	0.0637	350
DEL	212	212	71	1802	0.7491	0.1053	0.1846	350
Total	333	332	139	5268	0.7055	0.0593	0.1094	450
INS	121	120	68	3466	0.6402	0.0335	0.0637	450
DEL	212	212	71	1802	0.7491	0.1053	0.1846	450
Total	333	332	139	5268	0.7055	0.0593	0.1094	550
INS	121	120	68	3466	0.6402	0.0335	0.0637	550
DEL	212	212	71	1802	0.7491	0.1053	0.1846	550
Total	333	332	139	5268	0.7055	0.0593	0.1094	650
INS	121	120	68	3466	0.6402	0.0335	0.0637	650
DEL	212	212	71	1802	0.7491	0.1053	0.1846	650
