type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1221	980	358	4712	0.7733	0.1722	0.2817	0
INS	0	0	0	4001	NA	0	NA	0
DEL	1221	980	358	711	0.7733	0.5795	0.6625	0
Total	1221	980	358	4712	0.7733	0.1722	0.2817	2
INS	0	0	0	4001	NA	0	NA	2
DEL	1221	980	358	711	0.7733	0.5795	0.6625	2
Total	1221	980	358	4712	0.7733	0.1722	0.2817	3
INS	0	0	0	4001	NA	0	NA	3
DEL	1221	980	358	711	0.7733	0.5795	0.6625	3
Total	1221	980	358	4712	0.7733	0.1722	0.2817	4
INS	0	0	0	4001	NA	0	NA	4
DEL	1221	980	358	711	0.7733	0.5795	0.6625	4
Total	1215	975	356	4717	0.7734	0.1713	0.2805	5
INS	0	0	0	4001	NA	0	NA	5
DEL	1215	975	356	716	0.7734	0.5766	0.6607	5
Total	1207	968	356	4724	0.7722	0.1701	0.2788	7
INS	0	0	0	4001	NA	0	NA	7
DEL	1207	968	356	723	0.7722	0.5724	0.6575	7
Total	1204	965	354	4727	0.7728	0.1695	0.278	10
INS	0	0	0	4001	NA	0	NA	10
DEL	1204	965	354	726	0.7728	0.5707	0.6565	10
Total	1203	964	353	4728	0.7731	0.1694	0.2779	12
INS	0	0	0	4001	NA	0	NA	12
DEL	1203	964	353	727	0.7731	0.5701	0.6563	12
Total	1196	957	351	4735	0.7731	0.1681	0.2762	14
INS	0	0	0	4001	NA	0	NA	14
DEL	1196	957	351	734	0.7731	0.5659	0.6535	14
Total	1170	932	345	4760	0.7723	0.1637	0.2701	21
INS	0	0	0	4001	NA	0	NA	21
DEL	1170	932	345	759	0.7723	0.5512	0.6433	21
Total	1160	922	343	4770	0.7718	0.162	0.2678	27
INS	0	0	0	4001	NA	0	NA	27
DEL	1160	922	343	769	0.7718	0.5452	0.639	27
Total	1132	900	334	4792	0.7722	0.1581	0.2625	35
INS	0	0	0	4001	NA	0	NA	35
DEL	1132	900	334	791	0.7722	0.5322	0.6301	35
Total	1102	872	326	4820	0.7717	0.1532	0.2556	45
INS	0	0	0	4001	NA	0	NA	45
DEL	1102	872	326	819	0.7717	0.5157	0.6182	45
Total	1097	867	323	4825	0.7725	0.1523	0.2544	50
INS	0	0	0	4001	NA	0	NA	50
DEL	1097	867	323	824	0.7725	0.5127	0.6163	50
Total	1062	834	315	4858	0.7712	0.1465	0.2462	60
INS	0	0	0	4001	NA	0	NA	60
DEL	1062	834	315	857	0.7712	0.4932	0.6016	60
Total	1020	797	300	4895	0.7727	0.14	0.2371	75
INS	0	0	0	4001	NA	0	NA	75
DEL	1020	797	300	894	0.7727	0.4713	0.5855	75
Total	981	765	293	4927	0.77	0.1344	0.2289	90
INS	0	0	0	4001	NA	0	NA	90
DEL	981	765	293	926	0.77	0.4524	0.5699	90
Total	967	750	283	4942	0.7736	0.1318	0.2252	99
INS	0	0	0	4001	NA	0	NA	99
DEL	967	750	283	941	0.7736	0.4435	0.5638	99
Total	953	736	276	4956	0.7754	0.1293	0.2216	110
INS	0	0	0	4001	NA	0	NA	110
DEL	953	736	276	955	0.7754	0.4352	0.5575	110
Total	906	695	264	4997	0.7744	0.1221	0.2109	133
INS	0	0	0	4001	NA	0	NA	133
DEL	906	695	264	996	0.7744	0.411	0.537	133
Total	835	634	245	5058	0.7731	0.1114	0.1947	167
INS	0	0	0	4001	NA	0	NA	167
DEL	835	634	245	1057	0.7731	0.3749	0.5049	167
Total	794	601	232	5091	0.7739	0.1056	0.1858	180
INS	0	0	0	4001	NA	0	NA	180
DEL	794	601	232	1090	0.7739	0.3554	0.4871	180
Total	670	498	199	5194	0.771	0.0875	0.1572	250
INS	0	0	0	4001	NA	0	NA	250
DEL	670	498	199	1193	0.771	0.2945	0.4262	250
Total	513	372	144	5320	0.7808	0.0654	0.1207	350
INS	0	0	0	4001	NA	0	NA	350
DEL	513	372	144	1319	0.7808	0.22	0.3433	350
Total	396	277	98	5415	0.8016	0.0487	0.0918	450
INS	0	0	0	4001	NA	0	NA	450
DEL	396	277	98	1414	0.8016	0.1638	0.272	450
Total	330	223	66	5469	0.8333	0.0392	0.0749	550
INS	0	0	0	4001	NA	0	NA	550
DEL	330	223	66	1468	0.8333	0.1319	0.2278	550
Total	270	171	39	5521	0.8738	0.03	0.058	650
INS	0	0	0	4001	NA	0	NA	650
DEL	270	171	39	1520	0.8738	0.1011	0.1812	650
