type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	4211	3917	283	26938	0.937	0.1269	0.2235	0
INS	0	0	0	18945	NA	0	NA	0
DEL	4211	3917	283	7993	0.937	0.3289	0.4869	0
Total	4211	3917	283	26938	0.937	0.1269	0.2235	2
INS	0	0	0	18945	NA	0	NA	2
DEL	4211	3917	283	7993	0.937	0.3289	0.4869	2
Total	4211	3917	283	26938	0.937	0.1269	0.2235	3
INS	0	0	0	18945	NA	0	NA	3
DEL	4211	3917	283	7993	0.937	0.3289	0.4869	3
Total	4211	3917	283	26938	0.937	0.1269	0.2235	4
INS	0	0	0	18945	NA	0	NA	4
DEL	4211	3917	283	7993	0.937	0.3289	0.4869	4
Total	4174	3891	276	26964	0.938	0.1261	0.2223	5
INS	0	0	0	18945	NA	0	NA	5
DEL	4174	3891	276	8019	0.938	0.3267	0.4846	5
Total	4144	3865	268	26990	0.9393	0.1253	0.2211	7
INS	0	0	0	18945	NA	0	NA	7
DEL	4144	3865	268	8045	0.9393	0.3245	0.4824	7
Total	4108	3829	261	27026	0.9403	0.1241	0.2193	10
INS	0	0	0	18945	NA	0	NA	10
DEL	4108	3829	261	8081	0.9403	0.3215	0.4792	10
Total	4107	3827	260	27028	0.9405	0.124	0.2191	12
INS	0	0	0	18945	NA	0	NA	12
DEL	4107	3827	260	8083	0.9405	0.3213	0.479	12
Total	4078	3797	251	27058	0.942	0.1231	0.2177	14
INS	0	0	0	18945	NA	0	NA	14
DEL	4078	3797	251	8113	0.942	0.3188	0.4764	14
Total	3994	3711	239	27144	0.9435	0.1203	0.2134	21
INS	0	0	0	18945	NA	0	NA	21
DEL	3994	3711	239	8199	0.9435	0.3116	0.4685	21
Total	3928	3646	228	27209	0.9451	0.1182	0.2101	27
INS	0	0	0	18945	NA	0	NA	27
DEL	3928	3646	228	8264	0.9451	0.3061	0.4624	27
Total	3810	3552	212	27303	0.9473	0.1151	0.2053	35
INS	0	0	0	18945	NA	0	NA	35
DEL	3810	3552	212	8358	0.9473	0.2982	0.4536	35
Total	3718	3464	199	27391	0.9492	0.1123	0.2008	45
INS	0	0	0	18945	NA	0	NA	45
DEL	3718	3464	199	8446	0.9492	0.2908	0.4452	45
Total	3660	3406	194	27449	0.9497	0.1104	0.1978	50
INS	0	0	0	18945	NA	0	NA	50
DEL	3660	3406	194	8504	0.9497	0.286	0.4396	50
Total	3559	3302	173	27553	0.9536	0.107	0.1924	60
INS	0	0	0	18945	NA	0	NA	60
DEL	3559	3302	173	8608	0.9536	0.2772	0.4295	60
Total	3394	3142	155	27713	0.9563	0.1018	0.184	75
INS	0	0	0	18945	NA	0	NA	75
DEL	3394	3142	155	8768	0.9563	0.2638	0.4135	75
Total	3199	2962	147	27893	0.9561	0.096	0.1745	90
INS	0	0	0	18945	NA	0	NA	90
DEL	3199	2962	147	8948	0.9561	0.2487	0.3947	90
Total	3116	2884	142	27971	0.9564	0.0935	0.1703	99
INS	0	0	0	18945	NA	0	NA	99
DEL	3116	2884	142	9026	0.9564	0.2421	0.3864	99
Total	3055	2826	138	28029	0.9568	0.0916	0.1672	110
INS	0	0	0	18945	NA	0	NA	110
DEL	3055	2826	138	9084	0.9568	0.2373	0.3803	110
Total	2845	2642	122	28213	0.9589	0.0856	0.1572	133
INS	0	0	0	18945	NA	0	NA	133
DEL	2845	2642	122	9268	0.9589	0.2218	0.3603	133
Total	2604	2427	109	28428	0.9598	0.0787	0.1455	167
INS	0	0	0	18945	NA	0	NA	167
DEL	2604	2427	109	9483	0.9598	0.2038	0.3362	167
Total	2442	2288	99	28567	0.961	0.0742	0.1378	180
INS	0	0	0	18945	NA	0	NA	180
DEL	2442	2288	99	9622	0.961	0.1921	0.3202	180
Total	2021	1885	69	28970	0.967	0.0611	0.1149	250
INS	0	0	0	18945	NA	0	NA	250
DEL	2021	1885	69	10025	0.967	0.1583	0.2721	250
Total	1514	1412	47	29443	0.9699	0.0458	0.0875	350
INS	0	0	0	18945	NA	0	NA	350
DEL	1514	1412	47	10498	0.9699	0.1186	0.2114	350
Total	1142	1079	32	29776	0.9727	0.035	0.0676	450
INS	0	0	0	18945	NA	0	NA	450
DEL	1142	1079	32	10831	0.9727	0.0906	0.1658	450
Total	853	803	19	30052	0.9782	0.026	0.0507	550
INS	0	0	0	18945	NA	0	NA	550
DEL	853	803	19	11107	0.9782	0.0674	0.1261	550
Total	650	615	11	30240	0.9834	0.0199	0.039	650
INS	0	0	0	18945	NA	0	NA	650
DEL	650	615	11	11295	0.9834	0.0516	0.0981	650
