type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2750	2519	1287	24610	0.6812	0.0929	0.1635	0
INS	0	0	0	16232	NA	0	NA	0
DEL	2750	2519	1287	8378	0.6812	0.2312	0.3452	0
Total	2750	2519	1287	24610	0.6812	0.0929	0.1635	2
INS	0	0	0	16232	NA	0	NA	2
DEL	2750	2519	1287	8378	0.6812	0.2312	0.3452	2
Total	2750	2519	1287	24610	0.6812	0.0929	0.1635	3
INS	0	0	0	16232	NA	0	NA	3
DEL	2750	2519	1287	8378	0.6812	0.2312	0.3452	3
Total	2750	2519	1287	24610	0.6812	0.0929	0.1635	4
INS	0	0	0	16232	NA	0	NA	4
DEL	2750	2519	1287	8378	0.6812	0.2312	0.3452	4
Total	2727	2501	1273	24628	0.6818	0.0922	0.1624	5
INS	0	0	0	16232	NA	0	NA	5
DEL	2727	2501	1273	8396	0.6818	0.2295	0.3434	5
Total	2707	2482	1259	24647	0.6826	0.0915	0.1614	7
INS	0	0	0	16232	NA	0	NA	7
DEL	2707	2482	1259	8415	0.6826	0.2278	0.3416	7
Total	2687	2459	1245	24670	0.6834	0.0906	0.16	10
INS	0	0	0	16232	NA	0	NA	10
DEL	2687	2459	1245	8438	0.6834	0.2257	0.3393	10
Total	2685	2456	1243	24673	0.6836	0.0905	0.1598	12
INS	0	0	0	16232	NA	0	NA	12
DEL	2685	2456	1243	8441	0.6836	0.2254	0.339	12
Total	2665	2431	1232	24698	0.6839	0.0896	0.1584	14
INS	0	0	0	16232	NA	0	NA	14
DEL	2665	2431	1232	8466	0.6839	0.2231	0.3364	14
Total	2598	2355	1211	24774	0.6821	0.0868	0.154	21
INS	0	0	0	16232	NA	0	NA	21
DEL	2598	2355	1211	8542	0.6821	0.2161	0.3282	21
Total	2547	2295	1194	24834	0.6808	0.0846	0.1505	27
INS	0	0	0	16232	NA	0	NA	27
DEL	2547	2295	1194	8602	0.6808	0.2106	0.3217	27
Total	2464	2224	1152	24905	0.6814	0.082	0.1464	35
INS	0	0	0	16232	NA	0	NA	35
DEL	2464	2224	1152	8673	0.6814	0.2041	0.3141	35
Total	2407	2159	1120	24970	0.6824	0.0796	0.1426	45
INS	0	0	0	16232	NA	0	NA	45
DEL	2407	2159	1120	8738	0.6824	0.1981	0.3071	45
Total	2377	2127	1094	25002	0.6848	0.0784	0.1407	50
INS	0	0	0	16232	NA	0	NA	50
DEL	2377	2127	1094	8770	0.6848	0.1952	0.3038	50
Total	2307	2050	1058	25079	0.6856	0.0756	0.1362	60
INS	0	0	0	16232	NA	0	NA	60
DEL	2307	2050	1058	8847	0.6856	0.1881	0.2952	60
Total	2194	1941	1005	25188	0.6858	0.0715	0.1295	75
INS	0	0	0	16232	NA	0	NA	75
DEL	2194	1941	1005	8956	0.6858	0.1781	0.2828	75
Total	2065	1810	949	25319	0.6851	0.0667	0.1216	90
INS	0	0	0	16232	NA	0	NA	90
DEL	2065	1810	949	9087	0.6851	0.1661	0.2674	90
Total	2014	1752	924	25377	0.6855	0.0646	0.1181	99
INS	0	0	0	16232	NA	0	NA	99
DEL	2014	1752	924	9145	0.6855	0.1608	0.2605	99
Total	1981	1717	902	25412	0.6871	0.0633	0.1159	110
INS	0	0	0	16232	NA	0	NA	110
DEL	1981	1717	902	9180	0.6871	0.1576	0.2564	110
Total	1831	1579	843	25550	0.6847	0.0582	0.1073	133
INS	0	0	0	16232	NA	0	NA	133
DEL	1831	1579	843	9318	0.6847	0.1449	0.2392	133
Total	1672	1439	772	25690	0.6841	0.053	0.0984	167
INS	0	0	0	16232	NA	0	NA	167
DEL	1672	1439	772	9458	0.6841	0.1321	0.2214	167
Total	1545	1329	746	25800	0.6744	0.049	0.0914	180
INS	0	0	0	16232	NA	0	NA	180
DEL	1545	1329	746	9568	0.6744	0.122	0.2066	180
Total	1262	1066	625	26063	0.6688	0.0393	0.0742	250
INS	0	0	0	16232	NA	0	NA	250
DEL	1262	1066	625	9831	0.6688	0.0978	0.1706	250
Total	929	757	486	26372	0.6565	0.0279	0.0535	350
INS	0	0	0	16232	NA	0	NA	350
DEL	929	757	486	10140	0.6565	0.0695	0.1257	350
Total	719	570	356	26559	0.6688	0.021	0.0407	450
INS	0	0	0	16232	NA	0	NA	450
DEL	719	570	356	10327	0.6688	0.0523	0.097	450
Total	577	438	231	26691	0.7141	0.0161	0.0315	550
INS	0	0	0	16232	NA	0	NA	550
DEL	577	438	231	10459	0.7141	0.0402	0.0761	550
Total	477	355	151	26774	0.7596	0.0131	0.0258	650
INS	0	0	0	16232	NA	0	NA	650
DEL	477	355	151	10542	0.7596	0.0326	0.0625	650
