type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1673	1472	60	5864	0.9654	0.2007	0.3323	0
INS	0	0	0	5190	NA	0	NA	0
DEL	1673	1472	60	674	0.9654	0.6859	0.802	0
Total	1673	1472	60	5864	0.9654	0.2007	0.3323	2
INS	0	0	0	5190	NA	0	NA	2
DEL	1673	1472	60	674	0.9654	0.6859	0.802	2
Total	1673	1472	60	5864	0.9654	0.2007	0.3323	3
INS	0	0	0	5190	NA	0	NA	3
DEL	1673	1472	60	674	0.9654	0.6859	0.802	3
Total	1673	1472	60	5864	0.9654	0.2007	0.3323	4
INS	0	0	0	5190	NA	0	NA	4
DEL	1673	1472	60	674	0.9654	0.6859	0.802	4
Total	1665	1467	58	5869	0.9663	0.2	0.3314	5
INS	0	0	0	5190	NA	0	NA	5
DEL	1665	1467	58	679	0.9663	0.6836	0.8007	5
Total	1655	1461	57	5875	0.9667	0.1992	0.3303	7
INS	0	0	0	5190	NA	0	NA	7
DEL	1655	1461	57	685	0.9667	0.6808	0.7989	7
Total	1641	1452	57	5884	0.9664	0.1979	0.3285	10
INS	0	0	0	5190	NA	0	NA	10
DEL	1641	1452	57	694	0.9664	0.6766	0.7959	10
Total	1641	1452	57	5884	0.9664	0.1979	0.3285	12
INS	0	0	0	5190	NA	0	NA	12
DEL	1641	1452	57	694	0.9664	0.6766	0.7959	12
Total	1632	1445	55	5891	0.9674	0.197	0.3273	14
INS	0	0	0	5190	NA	0	NA	14
DEL	1632	1445	55	701	0.9674	0.6733	0.794	14
Total	1605	1422	52	5914	0.9686	0.1938	0.323	21
INS	0	0	0	5190	NA	0	NA	21
DEL	1605	1422	52	724	0.9686	0.6626	0.7869	21
Total	1586	1410	51	5926	0.9688	0.1922	0.3208	27
INS	0	0	0	5190	NA	0	NA	27
DEL	1586	1410	51	736	0.9688	0.657	0.783	27
Total	1546	1375	46	5961	0.9711	0.1874	0.3142	35
INS	0	0	0	5190	NA	0	NA	35
DEL	1546	1375	46	771	0.9711	0.6407	0.772	35
Total	1501	1340	46	5996	0.9703	0.1827	0.3075	45
INS	0	0	0	5190	NA	0	NA	45
DEL	1501	1340	46	806	0.9703	0.6244	0.7598	45
Total	1488	1331	46	6005	0.97	0.1814	0.3056	50
INS	0	0	0	5190	NA	0	NA	50
DEL	1488	1331	46	815	0.97	0.6202	0.7566	50
Total	1451	1299	42	6037	0.9719	0.1771	0.2996	60
INS	0	0	0	5190	NA	0	NA	60
DEL	1451	1299	42	847	0.9719	0.6053	0.746	60
Total	1380	1236	38	6100	0.9732	0.1685	0.2873	75
INS	0	0	0	5190	NA	0	NA	75
DEL	1380	1236	38	910	0.9732	0.576	0.7237	75
Total	1319	1187	36	6149	0.9734	0.1618	0.2775	90
INS	0	0	0	5190	NA	0	NA	90
DEL	1319	1187	36	959	0.9734	0.5531	0.7054	90
Total	1295	1169	34	6167	0.9744	0.1594	0.274	99
INS	0	0	0	5190	NA	0	NA	99
DEL	1295	1169	34	977	0.9744	0.5447	0.6988	99
Total	1270	1151	34	6185	0.9739	0.1569	0.2703	110
INS	0	0	0	5190	NA	0	NA	110
DEL	1270	1151	34	995	0.9739	0.5363	0.6917	110
Total	1192	1088	29	6248	0.9762	0.1483	0.2575	133
INS	0	0	0	5190	NA	0	NA	133
DEL	1192	1088	29	1058	0.9762	0.507	0.6674	133
Total	1070	987	23	6349	0.979	0.1345	0.2365	167
INS	0	0	0	5190	NA	0	NA	167
DEL	1070	987	23	1159	0.979	0.4599	0.6258	167
Total	990	917	20	6419	0.9802	0.125	0.2217	180
INS	0	0	0	5190	NA	0	NA	180
DEL	990	917	20	1229	0.9802	0.4273	0.5952	180
Total	813	757	15	6579	0.9819	0.1032	0.1868	250
INS	0	0	0	5190	NA	0	NA	250
DEL	813	757	15	1389	0.9819	0.3527	0.519	250
Total	616	583	11	6753	0.9825	0.0795	0.1471	350
INS	0	0	0	5190	NA	0	NA	350
DEL	616	583	11	1563	0.9825	0.2717	0.4257	350
Total	457	435	8	6901	0.9828	0.0593	0.1119	450
INS	0	0	0	5190	NA	0	NA	450
DEL	457	435	8	1711	0.9828	0.2027	0.3361	450
Total	339	320	5	7016	0.9855	0.0436	0.0835	550
INS	0	0	0	5190	NA	0	NA	550
DEL	339	320	5	1826	0.9855	0.1491	0.259	550
Total	268	254	2	7082	0.9926	0.0346	0.0669	650
INS	0	0	0	5190	NA	0	NA	650
DEL	268	254	2	1892	0.9926	0.1184	0.2116	650
