type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	4612	4145	271	22108	0.9445	0.1579	0.2706	0
INS	0	0	0	13413	NA	0	NA	0
DEL	4612	4145	271	8695	0.9445	0.3228	0.4812	0
Total	4612	4145	271	22108	0.9445	0.1579	0.2706	2
INS	0	0	0	13413	NA	0	NA	2
DEL	4612	4145	271	8695	0.9445	0.3228	0.4812	2
Total	4612	4145	271	22108	0.9445	0.1579	0.2706	3
INS	0	0	0	13413	NA	0	NA	3
DEL	4612	4145	271	8695	0.9445	0.3228	0.4812	3
Total	4612	4145	271	22108	0.9445	0.1579	0.2706	4
INS	0	0	0	13413	NA	0	NA	4
DEL	4612	4145	271	8695	0.9445	0.3228	0.4812	4
Total	4576	4118	265	22135	0.9453	0.1569	0.2691	5
INS	0	0	0	13413	NA	0	NA	5
DEL	4576	4118	265	8722	0.9453	0.3207	0.4789	5
Total	4543	4084	259	22169	0.9461	0.1556	0.2672	7
INS	0	0	0	13413	NA	0	NA	7
DEL	4543	4084	259	8756	0.9461	0.3181	0.4761	7
Total	4510	4053	250	22200	0.9475	0.1544	0.2655	10
INS	0	0	0	13413	NA	0	NA	10
DEL	4510	4053	250	8787	0.9475	0.3157	0.4736	10
Total	4508	4052	250	22201	0.9475	0.1543	0.2654	12
INS	0	0	0	13413	NA	0	NA	12
DEL	4508	4052	250	8788	0.9475	0.3156	0.4735	12
Total	4481	4028	245	22225	0.9482	0.1534	0.2641	14
INS	0	0	0	13413	NA	0	NA	14
DEL	4481	4028	245	8812	0.9482	0.3137	0.4714	14
Total	4393	3944	230	22309	0.9502	0.1502	0.2594	21
INS	0	0	0	13413	NA	0	NA	21
DEL	4393	3944	230	8896	0.9502	0.3072	0.4643	21
Total	4310	3868	222	22385	0.951	0.1473	0.2551	27
INS	0	0	0	13413	NA	0	NA	27
DEL	4310	3868	222	8972	0.951	0.3012	0.4575	27
Total	4211	3778	206	22475	0.9534	0.1439	0.2501	35
INS	0	0	0	13413	NA	0	NA	35
DEL	4211	3778	206	9062	0.9534	0.2942	0.4496	35
Total	4094	3675	192	22578	0.9552	0.14	0.2442	45
INS	0	0	0	13413	NA	0	NA	45
DEL	4094	3675	192	9165	0.9552	0.2862	0.4404	45
Total	4026	3622	188	22631	0.9554	0.138	0.2412	50
INS	0	0	0	13413	NA	0	NA	50
DEL	4026	3622	188	9218	0.9554	0.2821	0.4356	50
Total	3891	3500	175	22753	0.957	0.1333	0.234	60
INS	0	0	0	13413	NA	0	NA	60
DEL	3891	3500	175	9340	0.957	0.2726	0.4243	60
Total	3683	3311	158	22942	0.9589	0.1261	0.2229	75
INS	0	0	0	13413	NA	0	NA	75
DEL	3683	3311	158	9529	0.9589	0.2579	0.4065	75
Total	3502	3147	147	23106	0.9597	0.1199	0.2132	90
INS	0	0	0	13413	NA	0	NA	90
DEL	3502	3147	147	9693	0.9597	0.2451	0.3905	90
Total	3435	3080	139	23173	0.9611	0.1173	0.2091	99
INS	0	0	0	13413	NA	0	NA	99
DEL	3435	3080	139	9760	0.9611	0.2399	0.384	99
Total	3360	3008	131	23245	0.9625	0.1146	0.2048	110
INS	0	0	0	13413	NA	0	NA	110
DEL	3360	3008	131	9832	0.9625	0.2343	0.3769	110
Total	3151	2818	116	23435	0.9645	0.1073	0.1931	133
INS	0	0	0	13413	NA	0	NA	133
DEL	3151	2818	116	10022	0.9645	0.2195	0.3576	133
Total	2882	2575	96	23678	0.9678	0.0981	0.1781	167
INS	0	0	0	13413	NA	0	NA	167
DEL	2882	2575	96	10265	0.9678	0.2005	0.3322	167
Total	2728	2441	89	23812	0.9684	0.093	0.1697	180
INS	0	0	0	13413	NA	0	NA	180
DEL	2728	2441	89	10399	0.9684	0.1901	0.3178	180
Total	2229	1966	65	24287	0.9717	0.0749	0.1391	250
INS	0	0	0	13413	NA	0	NA	250
DEL	2229	1966	65	10874	0.9717	0.1531	0.2645	250
Total	1616	1417	41	24836	0.9753	0.054	0.1023	350
INS	0	0	0	13413	NA	0	NA	350
DEL	1616	1417	41	11423	0.9753	0.1104	0.1983	350
Total	1171	1015	31	25238	0.9742	0.0387	0.0744	450
INS	0	0	0	13413	NA	0	NA	450
DEL	1171	1015	31	11825	0.9742	0.079	0.1461	450
Total	851	742	20	25511	0.977	0.0283	0.055	550
INS	0	0	0	13413	NA	0	NA	550
DEL	851	742	20	12098	0.977	0.0578	0.1091	550
Total	625	533	13	25720	0.9796	0.0203	0.0398	650
INS	0	0	0	13413	NA	0	NA	650
DEL	625	533	13	12307	0.9796	0.0415	0.0796	650
