type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2954	2871	1425	20494	0.6746	0.1229	0.2079	0
INS	0	0	0	11120	NA	0	NA	0
DEL	2954	2871	1425	9374	0.6746	0.2345	0.348	0
Total	2954	2871	1425	20494	0.6746	0.1229	0.2079	2
INS	0	0	0	11120	NA	0	NA	2
DEL	2954	2871	1425	9374	0.6746	0.2345	0.348	2
Total	2954	2871	1425	20494	0.6746	0.1229	0.2079	3
INS	0	0	0	11120	NA	0	NA	3
DEL	2954	2871	1425	9374	0.6746	0.2345	0.348	3
Total	2954	2871	1425	20494	0.6746	0.1229	0.2079	4
INS	0	0	0	11120	NA	0	NA	4
DEL	2954	2871	1425	9374	0.6746	0.2345	0.348	4
Total	2933	2849	1413	20516	0.6749	0.1219	0.2065	5
INS	0	0	0	11120	NA	0	NA	5
DEL	2933	2849	1413	9396	0.6749	0.2327	0.3461	5
Total	2909	2823	1402	20542	0.6748	0.1208	0.2049	7
INS	0	0	0	11120	NA	0	NA	7
DEL	2909	2823	1402	9422	0.6748	0.2305	0.3436	7
Total	2888	2799	1385	20566	0.6759	0.1198	0.2035	10
INS	0	0	0	11120	NA	0	NA	10
DEL	2888	2799	1385	9446	0.6759	0.2286	0.3416	10
Total	2887	2798	1384	20567	0.676	0.1198	0.2035	12
INS	0	0	0	11120	NA	0	NA	12
DEL	2887	2798	1384	9447	0.676	0.2285	0.3416	12
Total	2869	2776	1376	20589	0.6759	0.1188	0.2021	14
INS	0	0	0	11120	NA	0	NA	14
DEL	2869	2776	1376	9469	0.6759	0.2267	0.3395	14
Total	2810	2710	1351	20655	0.6753	0.116	0.198	21
INS	0	0	0	11120	NA	0	NA	21
DEL	2810	2710	1351	9535	0.6753	0.2213	0.3334	21
Total	2748	2647	1331	20718	0.6737	0.1133	0.194	27
INS	0	0	0	11120	NA	0	NA	27
DEL	2748	2647	1331	9598	0.6737	0.2162	0.3273	27
Total	2671	2579	1296	20786	0.6733	0.1104	0.1897	35
INS	0	0	0	11120	NA	0	NA	35
DEL	2671	2579	1296	9666	0.6733	0.2106	0.3208	35
Total	2594	2498	1262	20867	0.6727	0.1069	0.1845	45
INS	0	0	0	11120	NA	0	NA	45
DEL	2594	2498	1262	9747	0.6727	0.204	0.3131	45
Total	2550	2450	1242	20915	0.6725	0.1049	0.1815	50
INS	0	0	0	11120	NA	0	NA	50
DEL	2550	2450	1242	9795	0.6725	0.2001	0.3084	50
Total	2466	2363	1203	21002	0.6721	0.1011	0.1758	60
INS	0	0	0	11120	NA	0	NA	60
DEL	2466	2363	1203	9882	0.6721	0.193	0.2999	60
Total	2339	2231	1132	21134	0.6739	0.0955	0.1673	75
INS	0	0	0	11120	NA	0	NA	75
DEL	2339	2231	1132	10014	0.6739	0.1822	0.2868	75
Total	2211	2104	1074	21261	0.6731	0.09	0.1588	90
INS	0	0	0	11120	NA	0	NA	90
DEL	2211	2104	1074	10141	0.6731	0.1718	0.2737	90
Total	2164	2050	1059	21315	0.6714	0.0877	0.1551	99
INS	0	0	0	11120	NA	0	NA	99
DEL	2164	2050	1059	10195	0.6714	0.1674	0.268	99
Total	2115	1994	1026	21371	0.6734	0.0853	0.1514	110
INS	0	0	0	11120	NA	0	NA	110
DEL	2115	1994	1026	10251	0.6734	0.1628	0.2622	110
Total	1985	1864	961	21501	0.6738	0.0798	0.1427	133
INS	0	0	0	11120	NA	0	NA	133
DEL	1985	1864	961	10381	0.6738	0.1522	0.2483	133
Total	1793	1673	889	21692	0.6685	0.0716	0.1293	167
INS	0	0	0	11120	NA	0	NA	167
DEL	1793	1673	889	10572	0.6685	0.1366	0.2268	167
Total	1692	1581	849	21784	0.6659	0.0677	0.1229	180
INS	0	0	0	11120	NA	0	NA	180
DEL	1692	1581	849	10664	0.6659	0.1291	0.2163	180
Total	1342	1217	723	22148	0.6499	0.0521	0.0965	250
INS	0	0	0	11120	NA	0	NA	250
DEL	1342	1217	723	11028	0.6499	0.0994	0.1724	250
Total	932	809	564	22556	0.623	0.0346	0.0656	350
INS	0	0	0	11120	NA	0	NA	350
DEL	932	809	564	11436	0.623	0.0661	0.1195	350
Total	680	566	418	22799	0.6193	0.0242	0.0466	450
INS	0	0	0	11120	NA	0	NA	450
DEL	680	566	418	11679	0.6193	0.0462	0.086	450
Total	536	435	277	22930	0.6593	0.0186	0.0362	550
INS	0	0	0	11120	NA	0	NA	550
DEL	536	435	277	11810	0.6593	0.0355	0.0674	550
Total	427	330	172	23035	0.7129	0.0141	0.0277	650
INS	0	0	0	11120	NA	0	NA	650
DEL	427	330	172	11915	0.7129	0.0269	0.0518	650
