type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1788	1500	61	5142	0.967	0.2258	0.3661	0
INS	0	0	0	4537	NA	0	NA	0
DEL	1788	1500	61	605	0.967	0.7126	0.8205	0
Total	1788	1500	61	5142	0.967	0.2258	0.3661	2
INS	0	0	0	4537	NA	0	NA	2
DEL	1788	1500	61	605	0.967	0.7126	0.8205	2
Total	1788	1500	61	5142	0.967	0.2258	0.3661	3
INS	0	0	0	4537	NA	0	NA	3
DEL	1788	1500	61	605	0.967	0.7126	0.8205	3
Total	1788	1500	61	5142	0.967	0.2258	0.3661	4
INS	0	0	0	4537	NA	0	NA	4
DEL	1788	1500	61	605	0.967	0.7126	0.8205	4
Total	1780	1496	61	5146	0.9669	0.2252	0.3653	5
INS	0	0	0	4537	NA	0	NA	5
DEL	1780	1496	61	609	0.9669	0.7107	0.8192	5
Total	1770	1487	60	5155	0.9672	0.2239	0.3636	7
INS	0	0	0	4537	NA	0	NA	7
DEL	1770	1487	60	618	0.9672	0.7064	0.8165	7
Total	1759	1477	59	5165	0.9675	0.2224	0.3617	10
INS	0	0	0	4537	NA	0	NA	10
DEL	1759	1477	59	628	0.9675	0.7017	0.8134	10
Total	1758	1477	59	5165	0.9675	0.2224	0.3617	12
INS	0	0	0	4537	NA	0	NA	12
DEL	1758	1477	59	628	0.9675	0.7017	0.8134	12
Total	1750	1474	59	5168	0.9674	0.2219	0.361	14
INS	0	0	0	4537	NA	0	NA	14
DEL	1750	1474	59	631	0.9674	0.7002	0.8124	14
Total	1717	1450	59	5192	0.9668	0.2183	0.3562	21
INS	0	0	0	4537	NA	0	NA	21
DEL	1717	1450	59	655	0.9668	0.6888	0.8045	21
Total	1690	1426	58	5216	0.9668	0.2147	0.3514	27
INS	0	0	0	4537	NA	0	NA	27
DEL	1690	1426	58	679	0.9668	0.6774	0.7966	27
Total	1656	1396	54	5246	0.9684	0.2102	0.3454	35
INS	0	0	0	4537	NA	0	NA	35
DEL	1656	1396	54	709	0.9684	0.6632	0.7873	35
Total	1605	1356	51	5286	0.9692	0.2042	0.3373	45
INS	0	0	0	4537	NA	0	NA	45
DEL	1605	1356	51	749	0.9692	0.6442	0.774	45
Total	1585	1341	50	5301	0.9694	0.2019	0.3342	50
INS	0	0	0	4537	NA	0	NA	50
DEL	1585	1341	50	764	0.9694	0.6371	0.7689	50
Total	1523	1288	50	5354	0.9682	0.1939	0.3231	60
INS	0	0	0	4537	NA	0	NA	60
DEL	1523	1288	50	817	0.9682	0.6119	0.7499	60
Total	1445	1225	49	5417	0.9672	0.1844	0.3097	75
INS	0	0	0	4537	NA	0	NA	75
DEL	1445	1225	49	880	0.9672	0.5819	0.7266	75
Total	1372	1165	46	5477	0.9676	0.1754	0.297	90
INS	0	0	0	4537	NA	0	NA	90
DEL	1372	1165	46	940	0.9676	0.5534	0.7041	90
Total	1344	1140	45	5502	0.9676	0.1716	0.2915	99
INS	0	0	0	4537	NA	0	NA	99
DEL	1344	1140	45	965	0.9676	0.5416	0.6945	99
Total	1307	1106	42	5536	0.9689	0.1665	0.2842	110
INS	0	0	0	4537	NA	0	NA	110
DEL	1307	1106	42	999	0.9689	0.5254	0.6813	110
Total	1227	1030	39	5612	0.9692	0.1551	0.2674	133
INS	0	0	0	4537	NA	0	NA	133
DEL	1227	1030	39	1075	0.9692	0.4893	0.6503	133
Total	1115	938	33	5704	0.9713	0.1412	0.2466	167
INS	0	0	0	4537	NA	0	NA	167
DEL	1115	938	33	1167	0.9713	0.4456	0.6109	167
Total	1045	880	32	5762	0.9703	0.1325	0.2332	180
INS	0	0	0	4537	NA	0	NA	180
DEL	1045	880	32	1225	0.9703	0.4181	0.5844	180
Total	860	720	24	5922	0.9729	0.1084	0.1951	250
INS	0	0	0	4537	NA	0	NA	250
DEL	860	720	24	1385	0.9729	0.342	0.5061	250
Total	617	521	16	6121	0.9747	0.0784	0.1451	350
INS	0	0	0	4537	NA	0	NA	350
DEL	617	521	16	1584	0.9747	0.2475	0.3948	350
Total	443	366	11	6276	0.9758	0.0551	0.1043	450
INS	0	0	0	4537	NA	0	NA	450
DEL	443	366	11	1739	0.9758	0.1739	0.2952	450
Total	315	260	7	6382	0.9783	0.0391	0.0752	550
INS	0	0	0	4537	NA	0	NA	550
DEL	315	260	7	1845	0.9783	0.1235	0.2193	550
Total	233	186	4	6456	0.9831	0.028	0.0544	650
INS	0	0	0	4537	NA	0	NA	650
DEL	233	186	4	1919	0.9831	0.0884	0.1622	650
