type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1253	1113	407	4487	0.7548	0.1988	0.3147	0
INS	0	0	0	3586	NA	0	NA	0
DEL	1253	1113	407	901	0.7548	0.5526	0.6381	0
Total	1253	1113	407	4487	0.7548	0.1988	0.3147	2
INS	0	0	0	3586	NA	0	NA	2
DEL	1253	1113	407	901	0.7548	0.5526	0.6381	2
Total	1253	1113	407	4487	0.7548	0.1988	0.3147	3
INS	0	0	0	3586	NA	0	NA	3
DEL	1253	1113	407	901	0.7548	0.5526	0.6381	3
Total	1253	1113	407	4487	0.7548	0.1988	0.3147	4
INS	0	0	0	3586	NA	0	NA	4
DEL	1253	1113	407	901	0.7548	0.5526	0.6381	4
Total	1250	1110	407	4490	0.7544	0.1982	0.3139	5
INS	0	0	0	3586	NA	0	NA	5
DEL	1250	1110	407	904	0.7544	0.5511	0.6369	5
Total	1242	1103	405	4497	0.7541	0.197	0.3124	7
INS	0	0	0	3586	NA	0	NA	7
DEL	1242	1103	405	911	0.7541	0.5477	0.6345	7
Total	1233	1094	402	4506	0.7541	0.1954	0.3104	10
INS	0	0	0	3586	NA	0	NA	10
DEL	1233	1094	402	920	0.7541	0.5432	0.6315	10
Total	1233	1094	402	4506	0.7541	0.1954	0.3104	12
INS	0	0	0	3586	NA	0	NA	12
DEL	1233	1094	402	920	0.7541	0.5432	0.6315	12
Total	1230	1092	401	4508	0.7541	0.195	0.3099	14
INS	0	0	0	3586	NA	0	NA	14
DEL	1230	1092	401	922	0.7541	0.5422	0.6308	14
Total	1211	1073	397	4527	0.7531	0.1916	0.3055	21
INS	0	0	0	3586	NA	0	NA	21
DEL	1211	1073	397	941	0.7531	0.5328	0.6241	21
Total	1188	1050	395	4550	0.7505	0.1875	0.3	27
INS	0	0	0	3586	NA	0	NA	27
DEL	1188	1050	395	964	0.7505	0.5214	0.6153	27
Total	1158	1021	388	4579	0.749	0.1823	0.2932	35
INS	0	0	0	3586	NA	0	NA	35
DEL	1158	1021	388	993	0.749	0.507	0.6047	35
Total	1126	989	377	4611	0.7492	0.1766	0.2858	45
INS	0	0	0	3586	NA	0	NA	45
DEL	1126	989	377	1025	0.7492	0.4911	0.5933	45
Total	1112	975	369	4625	0.7508	0.1741	0.2827	50
INS	0	0	0	3586	NA	0	NA	50
DEL	1112	975	369	1039	0.7508	0.4841	0.5887	50
Total	1072	938	359	4662	0.7491	0.1675	0.2738	60
INS	0	0	0	3586	NA	0	NA	60
DEL	1072	938	359	1076	0.7491	0.4657	0.5743	60
Total	1013	886	345	4714	0.7459	0.1582	0.261	75
INS	0	0	0	3586	NA	0	NA	75
DEL	1013	886	345	1128	0.7459	0.4399	0.5534	75
Total	957	837	327	4763	0.7453	0.1495	0.249	90
INS	0	0	0	3586	NA	0	NA	90
DEL	957	837	327	1177	0.7453	0.4156	0.5336	90
Total	939	819	322	4781	0.7446	0.1462	0.2444	99
INS	0	0	0	3586	NA	0	NA	99
DEL	939	819	322	1195	0.7446	0.4067	0.5261	99
Total	911	791	311	4809	0.7455	0.1412	0.2374	110
INS	0	0	0	3586	NA	0	NA	110
DEL	911	791	311	1223	0.7455	0.3928	0.5145	110
Total	853	735	295	4865	0.743	0.1312	0.223	133
INS	0	0	0	3586	NA	0	NA	133
DEL	853	735	295	1279	0.743	0.3649	0.4894	133
Total	770	659	274	4941	0.7375	0.1177	0.203	167
INS	0	0	0	3586	NA	0	NA	167
DEL	770	659	274	1355	0.7375	0.3272	0.4533	167
Total	723	619	260	4981	0.7355	0.1105	0.1921	180
INS	0	0	0	3586	NA	0	NA	180
DEL	723	619	260	1395	0.7355	0.3073	0.4335	180
Total	578	484	227	5116	0.718	0.0864	0.1542	250
INS	0	0	0	3586	NA	0	NA	250
DEL	578	484	227	1530	0.718	0.2403	0.3601	250
Total	408	329	169	5271	0.7071	0.0588	0.1086	350
INS	0	0	0	3586	NA	0	NA	350
DEL	408	329	169	1685	0.7071	0.1634	0.2655	350
Total	292	221	122	5379	0.7053	0.0395	0.0748	450
INS	0	0	0	3586	NA	0	NA	450
DEL	292	221	122	1793	0.7053	0.1097	0.1899	450
Total	234	169	72	5431	0.7647	0.0302	0.0581	550
INS	0	0	0	3586	NA	0	NA	550
DEL	234	169	72	1845	0.7647	0.0839	0.1512	550
Total	190	130	38	5470	0.8333	0.0232	0.0451	650
INS	0	0	0	3586	NA	0	NA	650
DEL	190	130	38	1884	0.8333	0.0645	0.1197	650
