type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	13081	13016	13032	11893	0.5009	0.5225	0.5115	0
INS	7947	7713	9799	7031	0.4478	0.5231	0.4825	0
DEL	5134	5303	3233	4862	0.6136	0.5217	0.5639	0
Total	12814	12748	12376	12161	0.5087	0.5118	0.5102	2
INS	7704	7472	9179	7272	0.4563	0.5068	0.4802	2
DEL	5110	5276	3197	4889	0.6151	0.519	0.563	2
Total	12780	12718	12269	12191	0.5102	0.5106	0.5104	3
INS	7681	7454	9092	7290	0.4579	0.5056	0.4806	3
DEL	5099	5264	3177	4901	0.6161	0.5179	0.5627	3
Total	12732	12676	12173	12233	0.5112	0.5089	0.51	4
INS	7642	7420	9008	7324	0.459	0.5033	0.4801	4
DEL	5090	5256	3165	4909	0.6166	0.5171	0.5625	4
Total	12698	12649	12060	12260	0.5129	0.5078	0.5103	5
INS	7619	7402	8922	7342	0.4606	0.502	0.4804	5
DEL	5079	5247	3138	4918	0.6181	0.5162	0.5626	5
Total	12615	12564	11895	12345	0.5147	0.5044	0.5095	7
INS	7561	7345	8801	7399	0.4621	0.4982	0.4795	7
DEL	5054	5219	3094	4946	0.6203	0.5134	0.5618	7
Total	12486	12443	11609	12466	0.5182	0.4995	0.5087	10
INS	7474	7268	8564	7476	0.466	0.4929	0.4791	10
DEL	5012	5175	3045	4990	0.6221	0.5091	0.56	10
Total	12409	12371	11442	12538	0.5203	0.4966	0.5082	12
INS	7424	7222	8435	7522	0.4681	0.4898	0.4787	12
DEL	4985	5149	3007	5016	0.6237	0.5065	0.559	12
Total	12327	12279	11244	12630	0.523	0.493	0.5076	14
INS	7372	7167	8290	7577	0.4707	0.4861	0.4783	14
DEL	4955	5112	2954	5053	0.6265	0.5029	0.5579	14
Total	12050	11993	10677	12916	0.5302	0.4815	0.5047	21
INS	7181	6984	7868	7760	0.4772	0.4737	0.4754	21
DEL	4869	5009	2809	5156	0.6341	0.4928	0.5546	21
Total	11787	11726	10260	13183	0.5346	0.4708	0.5007	27
INS	7013	6824	7570	7920	0.4809	0.4628	0.4717	27
DEL	4774	4902	2690	5263	0.6396	0.4822	0.5499	27
Total	11388	11326	9696	13583	0.5401	0.4547	0.4937	35
INS	6747	6562	7178	8182	0.4845	0.4451	0.464	35
DEL	4641	4764	2518	5401	0.6483	0.4687	0.5441	35
Total	10948	10890	9005	14019	0.5487	0.4372	0.4866	45
INS	6464	6297	6675	8447	0.492	0.4271	0.4573	45
DEL	4484	4593	2330	5572	0.6581	0.4518	0.5358	45
Total	10741	10672	8748	14237	0.5511	0.4284	0.4821	50
INS	6323	6154	6482	8590	0.4938	0.4174	0.4524	50
DEL	4418	4518	2266	5647	0.661	0.4445	0.5316	50
Total	10427	10368	8272	14541	0.5576	0.4162	0.4766	60
INS	6107	5952	6134	8792	0.4989	0.4037	0.4463	60
DEL	4320	4416	2138	5749	0.6689	0.4344	0.5267	60
Total	9901	9857	7551	15052	0.5673	0.3957	0.4662	75
INS	5760	5636	5642	9108	0.5052	0.3823	0.4352	75
DEL	4141	4221	1909	5944	0.6845	0.4152	0.5169	75
Total	9416	9378	6975	15531	0.5745	0.3765	0.4549	90
INS	5452	5341	5226	9403	0.5106	0.3622	0.4238	90
DEL	3964	4037	1749	6128	0.6939	0.3971	0.5051	90
Total	9142	9110	6699	15799	0.5771	0.3657	0.4477	99
INS	5273	5174	5037	9570	0.5114	0.3509	0.4162	99
DEL	3869	3936	1662	6229	0.6995	0.3872	0.4985	99
Total	8757	8722	6331	16187	0.5804	0.3502	0.4368	110
INS	5022	4928	4778	9816	0.5124	0.3342	0.4045	110
DEL	3735	3794	1553	6371	0.7063	0.3732	0.4884	110
Total	8043	8004	5671	16905	0.5865	0.3213	0.4152	133
INS	4591	4507	4296	10237	0.5166	0.3057	0.3841	133
DEL	3452	3497	1375	6668	0.7151	0.344	0.4645	133
Total	6975	6940	4781	17969	0.5933	0.2786	0.3792	167
INS	3933	3866	3660	10878	0.518	0.2622	0.3482	167
DEL	3042	3074	1121	7091	0.7307	0.3024	0.4278	167
Total	6589	6557	4480	18352	0.5953	0.2632	0.365	180
INS	3715	3650	3457	11094	0.518	0.2476	0.335	180
DEL	2874	2907	1023	7258	0.7375	0.286	0.4122	180
Total	4937	4919	3256	19990	0.6026	0.1975	0.2975	250
INS	2705	2664	2566	12080	0.5132	0.1807	0.2673	250
DEL	2232	2255	690	7910	0.7639	0.2218	0.3438	250
Total	3354	3352	2204	21557	0.6035	0.1346	0.2201	350
INS	1780	1763	1784	12981	0.4994	0.1196	0.193	350
DEL	1574	1589	420	8576	0.7894	0.1563	0.2609	350
Total	2347	2342	1513	22567	0.608	0.094	0.1628	450
INS	1208	1194	1254	13550	0.4907	0.081	0.139	450
DEL	1139	1148	259	9017	0.8147	0.1129	0.1983	450
Total	1701	1696	1048	23213	0.6188	0.0681	0.1227	550
INS	808	798	890	13946	0.4759	0.0541	0.0972	550
DEL	893	898	158	9267	0.8497	0.0883	0.16	550
Total	1190	1188	751	23721	0.6131	0.0477	0.0885	650
INS	556	553	644	14191	0.4633	0.0375	0.0694	650
DEL	634	635	107	9530	0.8556	0.0625	0.1165	650
