type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	4214	4156	1510	1536	0.7362	0.7301	0.7331	0
INS	2973	2914	1339	1087	0.6895	0.7283	0.7084	0
DEL	1241	1242	171	449	0.8789	0.7345	0.8002	0
Total	4210	4151	1490	1541	0.7386	0.7293	0.7339	2
INS	2969	2909	1319	1092	0.6924	0.7271	0.7093	2
DEL	1241	1242	171	449	0.8789	0.7345	0.8002	2
Total	4209	4151	1485	1541	0.7392	0.7293	0.7342	3
INS	2968	2909	1314	1092	0.6931	0.7271	0.7097	3
DEL	1241	1242	171	449	0.8789	0.7345	0.8002	3
Total	4209	4151	1482	1541	0.7396	0.7293	0.7344	4
INS	2968	2909	1311	1092	0.6936	0.7271	0.71	4
DEL	1241	1242	171	449	0.8789	0.7345	0.8002	4
Total	4207	4149	1477	1543	0.7401	0.7289	0.7345	5
INS	2966	2907	1306	1094	0.6943	0.7266	0.7101	5
DEL	1241	1242	171	449	0.8789	0.7345	0.8002	5
Total	4203	4147	1474	1545	0.7404	0.7286	0.7345	7
INS	2962	2905	1303	1096	0.6945	0.7261	0.7099	7
DEL	1241	1242	171	449	0.8789	0.7345	0.8002	7
Total	4199	4144	1464	1548	0.7415	0.728	0.7347	10
INS	2958	2902	1293	1099	0.6958	0.7253	0.7102	10
DEL	1241	1242	171	449	0.8789	0.7345	0.8002	10
Total	4196	4142	1457	1550	0.7423	0.7277	0.7349	12
INS	2955	2900	1286	1101	0.6968	0.7248	0.7105	12
DEL	1241	1242	171	449	0.8789	0.7345	0.8002	12
Total	4192	4138	1452	1554	0.7427	0.727	0.7348	14
INS	2951	2896	1281	1105	0.6973	0.7238	0.7103	14
DEL	1241	1242	171	449	0.8789	0.7345	0.8002	14
Total	4180	4130	1428	1562	0.7454	0.7256	0.7354	21
INS	2939	2888	1259	1113	0.7001	0.7218	0.7108	21
DEL	1241	1242	169	449	0.8801	0.7345	0.8007	21
Total	4172	4125	1412	1567	0.7471	0.7247	0.7357	27
INS	2931	2883	1243	1118	0.7022	0.7206	0.7113	27
DEL	1241	1242	169	449	0.8801	0.7345	0.8007	27
Total	4141	4095	1379	1597	0.7502	0.7194	0.7345	35
INS	2903	2856	1214	1145	0.7051	0.7138	0.7094	35
DEL	1238	1239	165	452	0.8824	0.7327	0.8006	35
Total	4107	4065	1334	1627	0.7548	0.7142	0.7339	45
INS	2870	2827	1173	1174	0.7099	0.7066	0.7082	45
DEL	1237	1238	161	453	0.8848	0.7321	0.8012	45
Total	4090	4046	1314	1646	0.7568	0.7108	0.7331	50
INS	2853	2808	1153	1193	0.7122	0.7018	0.707	50
DEL	1237	1238	161	453	0.8848	0.7321	0.8012	50
Total	4054	4014	1292	1678	0.7583	0.7052	0.7308	60
INS	2818	2777	1131	1224	0.7136	0.6941	0.7037	60
DEL	1236	1237	161	454	0.8848	0.7315	0.8009	60
Total	3972	3939	1224	1753	0.7644	0.692	0.7264	75
INS	2742	2708	1074	1293	0.7186	0.6768	0.6971	75
DEL	1230	1231	150	460	0.8913	0.728	0.8014	75
Total	3903	3872	1182	1820	0.7676	0.6803	0.7213	90
INS	2685	2653	1036	1348	0.7216	0.6631	0.6911	90
DEL	1218	1219	146	472	0.893	0.7209	0.7978	90
Total	3841	3811	1159	1881	0.7682	0.6695	0.7155	99
INS	2631	2600	1017	1401	0.7212	0.6498	0.6836	99
DEL	1210	1211	142	480	0.895	0.7161	0.7956	99
Total	3750	3723	1120	1969	0.77	0.6541	0.7073	110
INS	2555	2526	984	1475	0.722	0.6313	0.6736	110
DEL	1195	1197	136	494	0.8978	0.7079	0.7916	110
Total	3542	3526	1047	2166	0.7718	0.6195	0.6873	133
INS	2379	2361	918	1640	0.7216	0.5901	0.6493	133
DEL	1163	1165	129	526	0.9002	0.6889	0.7805	133
Total	3168	3156	927	2536	0.7736	0.5545	0.646	167
INS	2092	2079	813	1922	0.7201	0.5196	0.6036	167
DEL	1076	1077	114	614	0.9042	0.6369	0.7474	167
Total	3030	3016	884	2676	0.7741	0.5299	0.6291	180
INS	1989	1974	778	2027	0.7188	0.4934	0.5851	180
DEL	1041	1042	106	649	0.9076	0.6162	0.734	180
Total	2316	2307	681	3385	0.7728	0.4053	0.5317	250
INS	1467	1456	599	2545	0.7101	0.3639	0.4812	250
DEL	849	851	82	840	0.9119	0.5033	0.6486	250
Total	1610	1607	479	4085	0.7707	0.2823	0.4132	350
INS	983	978	419	3023	0.7011	0.2444	0.3625	350
DEL	627	629	60	1062	0.9127	0.372	0.5286	350
Total	1140	1139	344	4553	0.7682	0.2001	0.3175	450
INS	699	696	307	3305	0.6948	0.174	0.2783	450
DEL	441	443	37	1248	0.9226	0.262	0.4081	450
Total	831	830	244	4862	0.773	0.1458	0.2453	550
INS	478	476	223	3525	0.6819	0.119	0.2026	550
DEL	353	354	21	1337	0.9439	0.2093	0.3426	550
Total	601	599	168	5093	0.7815	0.1052	0.1854	650
INS	352	350	155	3651	0.6943	0.0875	0.1554	650
DEL	249	249	13	1442	0.9504	0.1473	0.2551	650
