type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	21894	22981	5911	7874	0.7874	0.7448	0.7655	0
INS	15023	15259	4183	3686	0.7822	0.8054	0.7936	0
DEL	6871	7722	1728	4188	0.799	0.6484	0.7159	0
Total	21334	22474	5523	8381	0.7944	0.7284	0.76	2
INS	14505	14797	3813	4148	0.7918	0.7811	0.7864	2
DEL	6829	7677	1710	4233	0.7997	0.6446	0.7138	2
Total	21244	22370	5455	8485	0.7957	0.725	0.7587	3
INS	14435	14718	3763	4227	0.7932	0.7769	0.785	3
DEL	6809	7652	1692	4258	0.801	0.6425	0.713	3
Total	21148	22274	5405	8581	0.7964	0.7219	0.7573	4
INS	14361	14648	3721	4297	0.7942	0.7732	0.7836	4
DEL	6787	7626	1684	4284	0.8012	0.6403	0.7118	4
Total	21041	22161	5338	8694	0.7976	0.7182	0.7558	5
INS	14275	14558	3674	4387	0.7953	0.7684	0.7816	5
DEL	6766	7603	1664	4307	0.8026	0.6384	0.7111	5
Total	20848	21972	5225	8883	0.7996	0.7121	0.7533	7
INS	14119	14417	3593	4528	0.7971	0.761	0.7786	7
DEL	6729	7555	1632	4355	0.8048	0.6343	0.7094	7
Total	20548	21714	5039	9141	0.8031	0.7037	0.7501	10
INS	13900	14251	3453	4694	0.801	0.7522	0.7758	10
DEL	6648	7463	1586	4447	0.8074	0.6266	0.7056	10
Total	20367	21543	4932	9312	0.8051	0.6982	0.7478	12
INS	13767	14135	3374	4810	0.8032	0.7461	0.7736	12
DEL	6600	7408	1558	4502	0.809	0.622	0.7033	12
Total	20170	21362	4829	9493	0.8068	0.6923	0.7452	14
INS	13617	14006	3297	4939	0.8051	0.7393	0.7708	14
DEL	6553	7356	1532	4554	0.8105	0.6176	0.701	14
Total	19595	20830	4502	10025	0.8132	0.6751	0.7377	21
INS	13155	13604	3069	5341	0.8108	0.7181	0.7616	21
DEL	6440	7226	1433	4684	0.818	0.6067	0.6967	21
Total	19098	20362	4267	10493	0.8174	0.6599	0.7303	27
INS	12790	13281	2908	5664	0.8148	0.701	0.7536	27
DEL	6308	7081	1359	4829	0.8227	0.5945	0.6902	27
Total	18387	19678	3975	11177	0.8222	0.6378	0.7184	35
INS	12305	12866	2724	6079	0.8188	0.6791	0.7424	35
DEL	6082	6812	1251	5098	0.8294	0.572	0.6771	35
Total	17533	18792	3632	12063	0.8284	0.609	0.702	45
INS	11709	12287	2499	6658	0.8241	0.6486	0.7259	45
DEL	5824	6505	1133	5405	0.8371	0.5462	0.6611	45
Total	17164	18432	3503	12423	0.8305	0.5974	0.6949	50
INS	11450	12052	2408	6893	0.8262	0.6362	0.7189	50
DEL	5714	6380	1095	5530	0.8392	0.5357	0.654	50
Total	16444	17715	3243	13140	0.8353	0.5741	0.6805	60
INS	10960	11595	2225	7350	0.8312	0.612	0.705	60
DEL	5484	6120	1018	5790	0.8434	0.5139	0.6387	60
Total	15420	16710	2850	14145	0.844	0.5416	0.6598	75
INS	10260	10943	1969	8002	0.839	0.5776	0.6842	75
DEL	5160	5767	881	6143	0.8542	0.4842	0.6181	75
Total	14567	15849	2580	15006	0.8495	0.5137	0.6402	90
INS	9641	10352	1780	8593	0.8441	0.5464	0.6634	90
DEL	4926	5497	800	6413	0.8603	0.4615	0.6007	90
Total	14080	15368	2428	15487	0.8529	0.4981	0.6289	99
INS	9301	10036	1679	8909	0.8471	0.5297	0.6518	99
DEL	4779	5332	749	6578	0.8645	0.4477	0.5899	99
Total	13442	14716	2235	16139	0.8574	0.4769	0.6129	110
INS	8866	9611	1557	9334	0.8506	0.5073	0.6356	110
DEL	4576	5105	678	6805	0.871	0.4286	0.5745	110
Total	12218	13478	1923	17377	0.864	0.4368	0.5803	133
INS	8032	8801	1346	10144	0.8565	0.4646	0.6024	133
DEL	4186	4677	577	7233	0.8789	0.3927	0.5428	133
Total	10539	11790	1543	19065	0.8723	0.3821	0.5314	167
INS	6907	7700	1091	11245	0.8636	0.4064	0.5527	167
DEL	3632	4090	452	7820	0.8893	0.3434	0.4955	167
Total	9947	11207	1416	19648	0.8754	0.3632	0.5134	180
INS	6512	7322	1009	11623	0.8658	0.3865	0.5344	180
DEL	3435	3885	407	8025	0.8941	0.3262	0.478	180
Total	7186	8336	940	22519	0.8843	0.2702	0.4139	250
INS	4726	5492	686	13453	0.8732	0.2899	0.4353	250
DEL	2460	2844	254	9066	0.9064	0.2388	0.378	250
Total	4662	5548	546	25307	0.8952	0.1798	0.2995	350
INS	3009	3591	406	15354	0.8811	0.1895	0.3119	350
DEL	1653	1957	140	9953	0.9219	0.1643	0.2789	350
Total	3207	3857	331	26998	0.9064	0.125	0.2197	450
INS	2059	2467	248	16478	0.8925	0.1302	0.2272	450
DEL	1148	1390	83	10520	0.9326	0.1167	0.2074	450
Total	2255	2676	216	28179	0.9126	0.0867	0.1584	550
INS	1425	1670	157	17275	0.9008	0.0881	0.1605	550
DEL	830	1006	59	10904	0.9336	0.0845	0.155	550
Total	1561	1844	147	29011	0.9139	0.0598	0.1123	650
INS	975	1132	104	17813	0.9036	0.0598	0.1122	650
DEL	586	712	43	11198	0.9316	0.0598	0.1124	650
