type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5599	6208	492	1128	0.9192	0.8462	0.8812	0
INS	4232	4645	419	545	0.9099	0.895	0.9024	0
DEL	1367	1563	73	583	0.9493	0.7283	0.8242	0
Total	5581	6190	489	1146	0.9194	0.8438	0.88	2
INS	4214	4627	416	563	0.9102	0.8915	0.9008	2
DEL	1367	1563	73	583	0.9493	0.7283	0.8242	2
Total	5579	6188	489	1148	0.9194	0.8435	0.8798	3
INS	4212	4625	416	565	0.9101	0.8911	0.9005	3
DEL	1367	1563	73	583	0.9493	0.7283	0.8242	3
Total	5575	6184	488	1152	0.9195	0.843	0.8796	4
INS	4208	4621	415	569	0.9102	0.8904	0.9002	4
DEL	1367	1563	73	583	0.9493	0.7283	0.8242	4
Total	5573	6182	486	1154	0.9198	0.8427	0.8796	5
INS	4206	4619	413	571	0.9106	0.89	0.9002	5
DEL	1367	1563	73	583	0.9493	0.7283	0.8242	5
Total	5564	6177	484	1159	0.92	0.842	0.8793	7
INS	4197	4614	411	576	0.9108	0.889	0.8998	7
DEL	1367	1563	73	583	0.9493	0.7283	0.8242	7
Total	5557	6172	480	1164	0.9205	0.8413	0.8791	10
INS	4190	4609	407	581	0.9115	0.8881	0.8996	10
DEL	1367	1563	73	583	0.9493	0.7283	0.8242	10
Total	5550	6168	475	1168	0.9212	0.8408	0.8792	12
INS	4183	4605	402	585	0.9123	0.8873	0.8996	12
DEL	1367	1563	73	583	0.9493	0.7283	0.8242	12
Total	5537	6157	472	1179	0.9215	0.8393	0.8785	14
INS	4170	4594	399	596	0.9127	0.8852	0.8987	14
DEL	1367	1563	73	583	0.9493	0.7283	0.8242	14
Total	5512	6136	465	1200	0.9222	0.8364	0.8772	21
INS	4147	4575	392	615	0.9136	0.8815	0.8973	21
DEL	1365	1561	73	585	0.9492	0.7274	0.8236	21
Total	5493	6116	456	1220	0.9233	0.8337	0.8762	27
INS	4128	4555	383	635	0.9151	0.8776	0.896	27
DEL	1365	1561	73	585	0.9492	0.7274	0.8236	27
Total	5451	6075	440	1261	0.9253	0.8281	0.874	35
INS	4088	4516	368	674	0.9174	0.8701	0.8931	35
DEL	1363	1559	72	587	0.9498	0.7265	0.8233	35
Total	5384	6012	429	1324	0.9262	0.8195	0.8696	45
INS	4027	4458	357	732	0.9186	0.859	0.8878	45
DEL	1357	1554	72	592	0.9496	0.7241	0.8217	45
Total	5362	5998	427	1338	0.9262	0.8176	0.8685	50
INS	4007	4446	355	744	0.9186	0.8566	0.8865	50
DEL	1355	1552	72	594	0.9495	0.7232	0.821	50
Total	5296	5938	409	1398	0.9283	0.8094	0.8648	60
INS	3952	4397	338	793	0.9212	0.8472	0.8827	60
DEL	1344	1541	71	605	0.9498	0.7181	0.8179	60
Total	5161	5811	378	1525	0.9318	0.7921	0.8563	75
INS	3838	4291	312	899	0.9248	0.8268	0.8731	75
DEL	1323	1520	66	626	0.9525	0.7083	0.8124	75
Total	5030	5677	357	1659	0.9337	0.7739	0.8463	90
INS	3718	4168	292	1022	0.9272	0.8031	0.8607	90
DEL	1312	1509	65	637	0.9528	0.7032	0.8092	90
Total	4937	5594	342	1742	0.9352	0.7625	0.8401	99
INS	3631	4093	278	1097	0.9289	0.7886	0.853	99
DEL	1306	1501	64	645	0.9533	0.6994	0.8068	99
Total	4784	5449	321	1887	0.9371	0.7428	0.8287	110
INS	3505	3977	262	1213	0.9304	0.7663	0.8404	110
DEL	1279	1472	59	674	0.9559	0.6859	0.7987	110
Total	4466	5136	287	2200	0.9396	0.7001	0.8024	133
INS	3253	3734	235	1456	0.9326	0.7195	0.8123	133
DEL	1213	1402	52	744	0.9589	0.6533	0.7771	133
Total	3986	4672	236	2664	0.9441	0.6369	0.7607	167
INS	2861	3360	195	1830	0.9362	0.6474	0.7655	167
DEL	1125	1312	41	834	0.9648	0.6114	0.7485	167
Total	3802	4484	223	2852	0.9446	0.6112	0.7422	180
INS	2709	3206	184	1984	0.9364	0.6177	0.7444	180
DEL	1093	1278	39	868	0.9655	0.5955	0.7366	180
Total	2835	3447	148	3889	0.9504	0.4699	0.6289	250
INS	1990	2429	122	2761	0.9422	0.468	0.6254	250
DEL	845	1018	26	1128	0.9701	0.4744	0.6372	250
Total	1841	2313	86	5023	0.9554	0.3153	0.4741	350
INS	1265	1589	73	3601	0.9454	0.3062	0.4626	350
DEL	576	724	13	1422	0.9779	0.3374	0.5017	350
Total	1300	1656	43	5680	0.968	0.2257	0.3661	450
INS	899	1128	37	4062	0.9605	0.2173	0.3544	450
DEL	401	528	6	1618	0.9853	0.246	0.3937	450
Total	911	1151	23	6185	0.9754	0.1569	0.2703	550
INS	618	756	21	4434	0.9671	0.1457	0.2532	550
DEL	293	395	2	1751	0.9932	0.1841	0.3106	550
Total	626	782	13	6554	0.9797	0.1066	0.1923	650
INS	421	507	12	4683	0.9723	0.0977	0.1776	650
DEL	205	275	1	1871	0.9951	0.1281	0.227	650
