type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	18423	19339	10125	6914	0.6453	0.7366	0.6879	0
INS	10492	10923	8535	2490	0.5514	0.8144	0.6576	0
DEL	7931	8416	1590	4424	0.833	0.6555	0.7337	0
Total	18128	19066	9531	7187	0.6554	0.7262	0.689	2
INS	10223	10684	7960	2729	0.5622	0.7965	0.6591	2
DEL	7905	8382	1571	4458	0.8342	0.6528	0.7324	2
Total	18068	19015	9429	7238	0.6571	0.7243	0.6891	3
INS	10185	10654	7872	2759	0.564	0.7943	0.6596	3
DEL	7883	8361	1557	4479	0.8351	0.6512	0.7318	3
Total	18001	18956	9319	7297	0.6589	0.7221	0.6891	4
INS	10134	10615	7778	2798	0.5658	0.7914	0.6598	4
DEL	7867	8341	1541	4499	0.8362	0.6496	0.7312	4
Total	17936	18886	9232	7367	0.6602	0.7194	0.6885	5
INS	10104	10583	7702	2830	0.5674	0.789	0.6601	5
DEL	7832	8303	1530	4537	0.8366	0.6467	0.7295	5
Total	17787	18750	9074	7503	0.6622	0.7142	0.6872	7
INS	10021	10518	7565	2895	0.5698	0.7842	0.66	7
DEL	7766	8232	1509	4608	0.8373	0.6411	0.7262	7
Total	17601	18570	8845	7683	0.6655	0.7073	0.6858	10
INS	9915	10432	7377	2981	0.5734	0.7778	0.6601	10
DEL	7686	8138	1468	4702	0.8396	0.6338	0.7223	10
Total	17490	18473	8693	7780	0.668	0.7037	0.6854	12
INS	9844	10379	7248	3034	0.5759	0.7738	0.6603	12
DEL	7646	8094	1445	4746	0.8411	0.6304	0.7207	12
Total	17333	18319	8525	7934	0.6703	0.6978	0.6838	14
INS	9761	10311	7098	3102	0.579	0.7687	0.6605	14
DEL	7572	8008	1427	4832	0.8414	0.6237	0.7164	14
Total	16890	17920	8033	8333	0.6777	0.6826	0.6801	21
INS	9485	10094	6681	3319	0.5867	0.7526	0.6594	21
DEL	7405	7826	1352	5014	0.8456	0.6095	0.7084	21
Total	16542	17574	7653	8679	0.6837	0.6694	0.6765	27
INS	9264	9898	6372	3515	0.5925	0.7379	0.6573	27
DEL	7278	7676	1281	5164	0.8503	0.5978	0.702	27
Total	15996	17070	7187	9183	0.69	0.6502	0.6695	35
INS	8939	9626	5995	3787	0.5986	0.7177	0.6528	35
DEL	7057	7444	1192	5396	0.8555	0.5798	0.6912	35
Total	15274	16369	6688	9884	0.6955	0.6235	0.6575	45
INS	8514	9234	5591	4179	0.6036	0.6884	0.6432	45
DEL	6760	7135	1097	5705	0.8604	0.5557	0.6753	45
Total	14965	16059	6461	10194	0.6985	0.6117	0.6522	50
INS	8339	9078	5400	4335	0.607	0.6768	0.64	50
DEL	6626	6981	1061	5859	0.862	0.5437	0.6668	50
Total	14486	15591	6038	10662	0.7058	0.5939	0.645	60
INS	8032	8809	5044	4604	0.6143	0.6568	0.6348	60
DEL	6454	6782	994	6058	0.8665	0.5282	0.6563	60
Total	13657	14794	5472	11459	0.7139	0.5635	0.6298	75
INS	7551	8381	4597	5032	0.6216	0.6248	0.6232	75
DEL	6106	6413	875	6427	0.8747	0.4995	0.6359	75
Total	12994	14171	5011	12082	0.7217	0.5398	0.6176	90
INS	7162	8046	4220	5367	0.6292	0.5999	0.6142	90
DEL	5832	6125	791	6715	0.8806	0.477	0.6188	90
Total	12605	13774	4779	12479	0.7251	0.5247	0.6088	99
INS	6948	7843	4032	5570	0.6328	0.5847	0.6078	99
DEL	5657	5931	747	6909	0.8834	0.4619	0.6066	99
Total	12013	13183	4484	13070	0.7282	0.5022	0.5944	110
INS	6607	7516	3791	5897	0.6354	0.5604	0.5955	110
DEL	5406	5667	693	7173	0.8864	0.4414	0.5893	110
Total	10978	12135	3965	14118	0.7347	0.4622	0.5674	133
INS	5989	6916	3364	6497	0.6403	0.5156	0.5712	133
DEL	4989	5219	601	7621	0.8925	0.4065	0.5586	133
Total	9555	10711	3279	15542	0.7445	0.408	0.5271	167
INS	5227	6163	2812	7250	0.6502	0.4595	0.5385	167
DEL	4328	4548	467	8292	0.9026	0.3542	0.5088	167
Total	9012	10168	3048	16085	0.7473	0.3873	0.5102	180
INS	4949	5894	2622	7519	0.6537	0.4394	0.5255	180
DEL	4063	4274	426	8566	0.9051	0.3329	0.4868	180
Total	6555	7586	2121	18667	0.7555	0.289	0.4181	250
INS	3645	4518	1847	8895	0.6637	0.3368	0.4468	250
DEL	2910	3068	274	9772	0.9139	0.2389	0.3788	250
Total	4247	5053	1372	21200	0.7558	0.1925	0.3068	350
INS	2375	3060	1218	10353	0.661	0.2281	0.3392	350
DEL	1872	1993	154	10847	0.924	0.1552	0.2658	350
Total	2895	3476	915	22777	0.7598	0.1324	0.2255	450
INS	1597	2092	819	11321	0.661	0.156	0.2524	450
DEL	1298	1384	96	11456	0.9311	0.1078	0.1932	450
Total	2029	2436	628	23817	0.7636	0.0928	0.1655	550
INS	1085	1426	564	11987	0.658	0.1063	0.183	550
DEL	944	1010	64	11830	0.9365	0.0787	0.1452	550
Total	1435	1714	435	24539	0.7674	0.0653	0.1204	650
INS	758	990	391	12423	0.6597	0.0738	0.1327	650
DEL	677	724	44	12116	0.939	0.0564	0.1064	650
