type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	12765	12792	14277	10573	0.472	0.5475	0.507	0
INS	6619	6401	11161	4719	0.3723	0.5756	0.4521	0
DEL	6146	6391	3116	5854	0.6636	0.5219	0.5843	0
Total	12599	12635	13592	10730	0.481	0.5408	0.5092	2
INS	6464	6263	10508	4857	0.3809	0.5632	0.4544	2
DEL	6135	6372	3084	5873	0.6655	0.5204	0.5841	2
Total	12568	12601	13467	10764	0.4827	0.5393	0.5094	3
INS	6448	6247	10404	4873	0.3826	0.5618	0.4552	3
DEL	6120	6354	3063	5891	0.6664	0.5189	0.5835	3
Total	12534	12566	13329	10799	0.4846	0.5378	0.5098	4
INS	6423	6227	10289	4893	0.3843	0.56	0.4558	4
DEL	6111	6339	3040	5906	0.6678	0.5177	0.5832	4
Total	12494	12524	13221	10841	0.4859	0.536	0.5097	5
INS	6407	6212	10201	4908	0.3858	0.5586	0.4564	5
DEL	6087	6312	3020	5933	0.6684	0.5155	0.5821	5
Total	12412	12439	13017	10926	0.4881	0.5324	0.5093	7
INS	6365	6173	10038	4947	0.388	0.5551	0.4567	7
DEL	6047	6266	2979	5979	0.67	0.5117	0.5802	7
Total	12306	12323	12720	11042	0.4917	0.5274	0.5089	10
INS	6309	6119	9810	5001	0.3914	0.5503	0.4574	10
DEL	5997	6204	2910	6041	0.6733	0.5067	0.5782	10
Total	12253	12267	12538	11098	0.4943	0.525	0.5092	12
INS	6284	6093	9658	5027	0.3942	0.5479	0.4585	12
DEL	5969	6174	2880	6071	0.6745	0.5042	0.577	12
Total	12165	12173	12308	11192	0.4971	0.521	0.5088	14
INS	6242	6055	9475	5065	0.3971	0.5445	0.4593	14
DEL	5923	6118	2833	6127	0.6765	0.4996	0.5747	14
Total	11922	11937	11684	11428	0.505	0.5109	0.5079	21
INS	6103	5934	8974	5186	0.4048	0.5336	0.4604	21
DEL	5819	6003	2710	6242	0.6823	0.4902	0.5705	21
Total	11733	11736	11203	11629	0.5116	0.5023	0.5069	27
INS	5994	5831	8599	5289	0.4107	0.5244	0.4606	27
DEL	5739	5905	2604	6340	0.6879	0.4822	0.567	27
Total	11390	11391	10594	11974	0.5181	0.4875	0.5023	35
INS	5817	5659	8122	5461	0.4173	0.5089	0.4586	35
DEL	5573	5732	2472	6513	0.6927	0.4681	0.5587	35
Total	10959	10971	9920	12394	0.5249	0.4695	0.4957	45
INS	5586	5450	7613	5670	0.4232	0.4901	0.4542	45
DEL	5373	5521	2307	6724	0.6996	0.4509	0.5484	45
Total	10772	10781	9605	12584	0.5286	0.4614	0.4927	50
INS	5488	5364	7368	5756	0.4269	0.4824	0.453	50
DEL	5284	5417	2237	6828	0.7026	0.4424	0.5429	50
Total	10487	10495	9064	12870	0.5364	0.4492	0.4889	60
INS	5321	5206	6936	5914	0.4341	0.4682	0.4505	60
DEL	5166	5289	2128	6956	0.7083	0.4319	0.5366	60
Total	9983	9982	8273	13383	0.5468	0.4272	0.4797	75
INS	5038	4934	6361	6186	0.442	0.4437	0.4428	75
DEL	4945	5048	1912	7197	0.7212	0.4122	0.5246	75
Total	9556	9555	7663	13810	0.555	0.4089	0.4709	90
INS	4804	4715	5901	6405	0.4488	0.424	0.436	90
DEL	4752	4840	1762	7405	0.7295	0.3953	0.5128	90
Total	9301	9291	7345	14074	0.5588	0.3976	0.4646	99
INS	4677	4589	5666	6531	0.4522	0.4127	0.4315	99
DEL	4624	4702	1679	7543	0.7336	0.384	0.5041	99
Total	8899	8887	6918	14478	0.5626	0.3804	0.4539	110
INS	4464	4384	5351	6736	0.4548	0.3942	0.4223	110
DEL	4435	4503	1567	7742	0.7389	0.3677	0.491	110
Total	8179	8165	6168	15200	0.5701	0.3495	0.4333	133
INS	4056	3989	4782	7131	0.4589	0.3587	0.4027	133
DEL	4123	4176	1386	8069	0.7484	0.341	0.4685	133
Total	7148	7140	5217	16225	0.5781	0.3056	0.3998	167
INS	3547	3492	4082	7628	0.4649	0.314	0.3748	167
DEL	3601	3648	1135	8597	0.7603	0.2979	0.4281	167
Total	6753	6741	4875	16624	0.5808	0.2885	0.3855	180
INS	3365	3309	3826	7811	0.4679	0.2976	0.3638	180
DEL	3388	3432	1049	8813	0.7636	0.2803	0.4101	180
Total	4904	4880	3520	18485	0.5821	0.2089	0.3075	250
INS	2460	2422	2807	8698	0.4671	0.2178	0.2971	250
DEL	2444	2458	713	9787	0.7742	0.2007	0.3188	250
Total	3167	3146	2333	20219	0.5758	0.1346	0.2182	350
INS	1588	1566	1898	9554	0.4555	0.1408	0.2151	350
DEL	1579	1580	435	10665	0.784	0.129	0.2215	350
Total	2192	2180	1556	21185	0.5848	0.0933	0.1609	450
INS	1059	1046	1300	10074	0.4489	0.0941	0.1556	450
DEL	1133	1134	256	11111	0.8157	0.0926	0.1663	450
Total	1565	1562	1066	21803	0.5948	0.0669	0.1203	550
INS	724	720	902	10400	0.4453	0.0647	0.113	550
DEL	841	842	164	11403	0.8368	0.0688	0.1271	550
Total	1119	1118	733	22247	0.6042	0.0478	0.0886	650
INS	499	497	635	10623	0.44	0.0447	0.0812	650
DEL	620	621	98	11624	0.8635	0.0507	0.0958	650
