type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5043	5727	1375	915	0.7858	0.8622	0.8222	0
INS	3445	4076	1294	461	0.7269	0.8984	0.8036	0
DEL	1598	1651	81	454	0.9518	0.7843	0.86	0
Total	5031	5714	1361	928	0.7871	0.8603	0.8221	2
INS	3433	4063	1280	474	0.7284	0.8955	0.8034	2
DEL	1598	1651	81	454	0.9518	0.7843	0.86	2
Total	5029	5711	1359	931	0.7873	0.8598	0.822	3
INS	3431	4060	1278	477	0.7286	0.8949	0.8032	3
DEL	1598	1651	81	454	0.9518	0.7843	0.86	3
Total	5026	5709	1355	933	0.7877	0.8595	0.822	4
INS	3428	4058	1274	479	0.7291	0.8944	0.8033	4
DEL	1598	1651	81	454	0.9518	0.7843	0.86	4
Total	5025	5708	1353	934	0.7879	0.8594	0.8221	5
INS	3427	4057	1272	480	0.7293	0.8942	0.8034	5
DEL	1598	1651	81	454	0.9518	0.7843	0.86	5
Total	5020	5707	1348	935	0.7883	0.8592	0.8222	7
INS	3422	4056	1267	481	0.7298	0.894	0.8036	7
DEL	1598	1651	81	454	0.9518	0.7843	0.86	7
Total	5014	5704	1344	938	0.7886	0.8588	0.8222	10
INS	3416	4053	1263	484	0.7301	0.8933	0.8035	10
DEL	1598	1651	81	454	0.9518	0.7843	0.86	10
Total	5010	5703	1339	939	0.7891	0.8586	0.8224	12
INS	3412	4052	1258	485	0.7306	0.8931	0.8037	12
DEL	1598	1651	81	454	0.9518	0.7843	0.86	12
Total	5008	5701	1336	941	0.7894	0.8583	0.8224	14
INS	3410	4050	1255	487	0.731	0.8927	0.8038	14
DEL	1598	1651	81	454	0.9518	0.7843	0.86	14
Total	4983	5679	1324	963	0.7901	0.855	0.8213	21
INS	3387	4029	1243	508	0.7315	0.888	0.8022	21
DEL	1596	1650	81	455	0.9517	0.7838	0.8596	21
Total	4968	5665	1311	977	0.7912	0.8529	0.8209	27
INS	3373	4016	1230	521	0.7328	0.8852	0.8018	27
DEL	1595	1649	81	456	0.9517	0.7834	0.8594	27
Total	4930	5632	1281	1010	0.7938	0.8479	0.82	35
INS	3340	3987	1201	550	0.7355	0.8788	0.8008	35
DEL	1590	1645	80	460	0.9521	0.7815	0.8584	35
Total	4875	5577	1259	1065	0.7948	0.8397	0.8166	45
INS	3289	3936	1179	601	0.7361	0.8675	0.7964	45
DEL	1586	1641	80	464	0.952	0.7796	0.8572	45
Total	4849	5553	1247	1089	0.7954	0.836	0.8152	50
INS	3265	3914	1168	623	0.7365	0.8627	0.7946	50
DEL	1584	1639	79	466	0.9525	0.7786	0.8568	50
Total	4799	5504	1213	1138	0.7982	0.8287	0.8132	60
INS	3220	3870	1135	667	0.7394	0.853	0.7921	60
DEL	1579	1634	78	471	0.9529	0.7762	0.8555	60
Total	4685	5403	1149	1239	0.8031	0.8135	0.8083	75
INS	3128	3791	1076	746	0.7441	0.8356	0.7872	75
DEL	1557	1612	73	493	0.9552	0.7658	0.8501	75
Total	4577	5308	1092	1334	0.8074	0.7992	0.8033	90
INS	3038	3711	1022	826	0.7483	0.8179	0.7816	90
DEL	1539	1597	70	508	0.9565	0.7587	0.8462	90
Total	4502	5239	1057	1403	0.8099	0.7888	0.7992	99
INS	2976	3655	992	882	0.75	0.8056	0.7768	99
DEL	1526	1584	65	521	0.9591	0.7525	0.8433	99
Total	4367	5106	1012	1536	0.8119	0.7687	0.7897	110
INS	2874	3555	952	982	0.7512	0.7836	0.7671	110
DEL	1493	1551	60	554	0.9614	0.7368	0.8342	110
Total	4089	4826	925	1816	0.8155	0.7266	0.7685	133
INS	2652	3334	870	1203	0.753	0.7348	0.7438	133
DEL	1437	1492	55	613	0.9631	0.7088	0.8166	133
Total	3697	4424	795	2218	0.823	0.6661	0.7363	167
INS	2364	3035	746	1502	0.7601	0.6689	0.7116	167
DEL	1333	1389	49	716	0.9645	0.6599	0.7836	167
Total	3519	4247	747	2395	0.8249	0.6394	0.7204	180
INS	2241	2913	701	1624	0.7617	0.6421	0.6968	180
DEL	1278	1334	46	771	0.9653	0.6337	0.7651	180
Total	2634	3292	549	3350	0.8275	0.4956	0.6199	250
INS	1680	2289	515	2248	0.7654	0.5045	0.6081	250
DEL	954	1003	34	1102	0.9656	0.4765	0.6381	250
Total	1778	2299	360	4343	0.8316	0.3461	0.4888	350
INS	1154	1635	337	2902	0.774	0.3604	0.4918	350
DEL	624	664	23	1441	0.9645	0.3154	0.4754	350
Total	1196	1578	252	5064	0.826	0.2376	0.369	450
INS	769	1122	243	3415	0.7599	0.2473	0.3732	450
DEL	427	456	9	1649	0.9794	0.2166	0.3547	450
Total	837	1100	182	5542	0.8214	0.1656	0.2756	550
INS	527	768	177	3769	0.7486	0.1693	0.2761	550
DEL	310	332	5	1773	0.9841	0.1577	0.2718	550
Total	594	770	125	5872	0.8261	0.1159	0.2033	650
INS	366	523	124	4014	0.7469	0.1153	0.1998	650
DEL	228	247	1	1858	0.9956	0.1173	0.2099	650
