type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	4215	4175	1936	1425	0.6853	0.7455	0.7141	0
INS	2771	2721	1728	865	0.6159	0.7588	0.6799	0
DEL	1444	1454	208	560	0.8741	0.7219	0.7907	0
Total	4208	4167	1918	1433	0.6869	0.7441	0.7144	2
INS	2764	2713	1710	873	0.6178	0.7566	0.6802	2
DEL	1444	1454	208	560	0.8741	0.7219	0.7907	2
Total	4208	4167	1914	1433	0.6874	0.7441	0.7146	3
INS	2764	2713	1706	873	0.6183	0.7566	0.6805	3
DEL	1444	1454	208	560	0.8741	0.7219	0.7907	3
Total	4208	4167	1907	1433	0.6881	0.7441	0.715	4
INS	2764	2713	1699	873	0.6193	0.7566	0.6811	4
DEL	1444	1454	208	560	0.8741	0.7219	0.7907	4
Total	4208	4167	1904	1433	0.6885	0.7441	0.7152	5
INS	2764	2713	1696	873	0.6197	0.7566	0.6813	5
DEL	1444	1454	208	560	0.8741	0.7219	0.7907	5
Total	4206	4166	1897	1434	0.6892	0.7439	0.7155	7
INS	2762	2712	1689	874	0.6205	0.7563	0.6817	7
DEL	1444	1454	208	560	0.8741	0.7219	0.7907	7
Total	4201	4163	1892	1437	0.6895	0.7434	0.7154	10
INS	2757	2709	1684	877	0.6208	0.7554	0.6815	10
DEL	1444	1454	208	560	0.8741	0.7219	0.7907	10
Total	4199	4163	1887	1437	0.6899	0.7434	0.7157	12
INS	2755	2709	1679	877	0.6213	0.7554	0.6818	12
DEL	1444	1454	208	560	0.8741	0.7219	0.7907	12
Total	4197	4161	1883	1439	0.6903	0.743	0.7157	14
INS	2753	2707	1675	879	0.6217	0.7549	0.6819	14
DEL	1444	1454	208	560	0.8741	0.7219	0.7907	14
Total	4184	4150	1862	1450	0.692	0.7411	0.7157	21
INS	2740	2696	1656	890	0.6233	0.7518	0.6815	21
DEL	1444	1454	206	560	0.8752	0.7219	0.7912	21
Total	4180	4146	1843	1454	0.694	0.7404	0.7164	27
INS	2736	2692	1638	894	0.6255	0.7507	0.6824	27
DEL	1444	1454	205	560	0.8757	0.7219	0.7914	27
Total	4157	4126	1801	1474	0.6977	0.7368	0.7167	35
INS	2715	2674	1599	912	0.6293	0.7457	0.6826	35
DEL	1442	1452	202	562	0.8771	0.721	0.7914	35
Total	4125	4096	1767	1504	0.7001	0.7314	0.7154	45
INS	2686	2646	1566	940	0.6317	0.7379	0.6807	45
DEL	1439	1450	201	564	0.8774	0.72	0.7909	45
Total	4109	4081	1749	1519	0.7014	0.7288	0.7148	50
INS	2671	2632	1550	954	0.6328	0.734	0.6797	50
DEL	1438	1449	199	565	0.8784	0.7195	0.791	50
Total	4076	4051	1705	1549	0.7051	0.7234	0.7141	60
INS	2642	2606	1508	980	0.6366	0.7267	0.6787	60
DEL	1434	1445	197	569	0.8792	0.7175	0.7902	60
Total	4000	3981	1617	1619	0.7121	0.7109	0.7115	75
INS	2578	2548	1432	1038	0.6429	0.7105	0.675	75
DEL	1422	1433	185	581	0.8849	0.7115	0.7888	75
Total	3923	3907	1542	1693	0.7178	0.6977	0.7076	90
INS	2513	2486	1362	1100	0.6485	0.6933	0.6702	90
DEL	1410	1421	180	593	0.8868	0.7056	0.7859	90
Total	3870	3854	1497	1746	0.7211	0.6882	0.7043	99
INS	2472	2445	1323	1141	0.6514	0.6818	0.6663	99
DEL	1398	1409	174	605	0.8893	0.6996	0.7831	99
Total	3766	3752	1433	1848	0.7244	0.67	0.6961	110
INS	2395	2370	1269	1216	0.6537	0.6609	0.6573	110
DEL	1371	1382	164	632	0.8932	0.6862	0.7761	110
Total	3540	3527	1312	2073	0.7296	0.6298	0.676	133
INS	2217	2197	1158	1389	0.6569	0.6127	0.634	133
DEL	1323	1330	154	684	0.8957	0.6604	0.7603	133
Total	3204	3196	1158	2404	0.7345	0.5707	0.6423	167
INS	1977	1961	1016	1625	0.6605	0.5468	0.5983	167
DEL	1227	1235	142	779	0.8963	0.6132	0.7282	167
Total	3052	3046	1096	2554	0.7358	0.5439	0.6255	180
INS	1876	1861	959	1725	0.6617	0.519	0.5817	180
DEL	1176	1185	137	829	0.8957	0.5884	0.7102	180
Total	2285	2284	830	3316	0.7335	0.4079	0.5243	250
INS	1409	1404	722	2182	0.6612	0.3915	0.4918	250
DEL	876	880	108	1134	0.8902	0.4369	0.5861	250
Total	1540	1540	562	4060	0.7326	0.275	0.3999	350
INS	969	968	488	2618	0.6651	0.2699	0.384	350
DEL	571	572	74	1442	0.8853	0.284	0.43	350
Total	1047	1048	385	4552	0.7311	0.1871	0.2979	450
INS	655	656	341	2930	0.6576	0.1829	0.2862	450
DEL	392	392	44	1622	0.8991	0.1946	0.32	450
Total	739	742	274	4858	0.7295	0.1325	0.2243	550
INS	450	453	248	3133	0.6447	0.1263	0.2112	550
DEL	289	289	26	1725	0.9175	0.1435	0.2482	550
Total	523	525	193	5075	0.7304	0.0938	0.1662	650
INS	307	309	180	3277	0.6304	0.0862	0.1517	650
DEL	216	216	13	1798	0.9432	0.1072	0.1925	650
