type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	24863	25615	595	2873	0.9766	0.8992	0.9363	0
INS	15415	15900	203	1452	0.987	0.9163	0.9503	0
DEL	9448	9715	392	1421	0.9602	0.8724	0.9142	0
Total	24848	25597	595	2891	0.9766	0.8985	0.9359	2
INS	15406	15889	203	1463	0.987	0.9157	0.95	2
DEL	9442	9708	392	1428	0.9601	0.8718	0.9138	2
Total	24769	25522	585	2966	0.9769	0.8959	0.9346	3
INS	15366	15849	202	1503	0.987	0.9134	0.9488	3
DEL	9403	9673	383	1463	0.9609	0.8686	0.9124	3
Total	24289	25098	466	3390	0.9812	0.881	0.9284	4
INS	15118	15605	151	1747	0.9901	0.8993	0.9425	4
DEL	9171	9493	315	1643	0.9668	0.8525	0.9061	4
Total	23856	24712	378	3776	0.9844	0.8675	0.9223	5
INS	14893	15383	122	1969	0.9919	0.8865	0.9362	5
DEL	8963	9329	256	1807	0.9722	0.8377	0.9	5
Total	23080	24014	272	4474	0.9884	0.843	0.9099	7
INS	14512	15036	83	2316	0.9943	0.8665	0.926	7
DEL	8568	8978	189	2158	0.9784	0.8062	0.884	7
Total	22056	23061	179	5427	0.9919	0.8095	0.8915	10
INS	14000	14537	56	2815	0.996	0.8378	0.9101	10
DEL	8056	8524	123	2612	0.985	0.7654	0.8614	10
Total	21404	22454	143	6034	0.9934	0.7882	0.879	12
INS	13656	14207	48	3145	0.9965	0.8188	0.899	12
DEL	7748	8247	95	2889	0.9879	0.7406	0.8466	12
Total	20623	21740	125	6748	0.994	0.7631	0.8634	14
INS	13205	13791	43	3561	0.9968	0.7948	0.8844	14
DEL	7418	7949	82	3187	0.9891	0.7138	0.8292	14
Total	19052	20210	78	8278	0.9959	0.7094	0.8286	21
INS	12356	12950	30	4402	0.9976	0.7463	0.8538	21
DEL	6696	7260	48	3876	0.9929	0.6519	0.7871	21
Total	18184	19353	60	9135	0.9967	0.6793	0.8079	27
INS	11919	12512	28	4840	0.9977	0.7211	0.8371	27
DEL	6265	6841	32	4295	0.9949	0.6143	0.7596	27
Total	17466	18651	48	9837	0.9973	0.6547	0.7905	35
INS	11557	12143	25	5209	0.9978	0.6998	0.8226	35
DEL	5909	6508	23	4628	0.9961	0.5844	0.7366	35
Total	17226	18410	47	10078	0.9973	0.6462	0.7842	45
INS	11441	12027	25	5325	0.9978	0.6931	0.818	45
DEL	5785	6383	22	4753	0.9962	0.5732	0.7277	45
Total	17226	18410	47	10078	0.9973	0.6462	0.7842	50
INS	11441	12027	25	5325	0.9978	0.6931	0.818	50
DEL	5785	6383	22	4753	0.9962	0.5732	0.7277	50
Total	17226	18410	47	10078	0.9973	0.6462	0.7842	60
INS	11441	12027	25	5325	0.9978	0.6931	0.818	60
DEL	5785	6383	22	4753	0.9962	0.5732	0.7277	60
Total	17226	18410	47	10078	0.9973	0.6462	0.7842	75
INS	11441	12027	25	5325	0.9978	0.6931	0.818	75
DEL	5785	6383	22	4753	0.9962	0.5732	0.7277	75
Total	17226	18410	47	10078	0.9973	0.6462	0.7842	90
INS	11441	12027	25	5325	0.9978	0.6931	0.818	90
DEL	5785	6383	22	4753	0.9962	0.5732	0.7277	90
Total	17226	18410	47	10078	0.9973	0.6462	0.7842	99
INS	11441	12027	25	5325	0.9978	0.6931	0.818	99
DEL	5785	6383	22	4753	0.9962	0.5732	0.7277	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
